Episode,Total Reward,Steps,Falls
289,-17.0,17,0
290,-19.0,19,0
291,-17.0,17,0
292,-19.0,19,0
293,-16.0,16,0
294,-15.0,15,0
295,-22.0,22,0
296,-21.0,21,0
297,-15.0,15,0
298,-16.0,16,0
299,-22.0,22,0
300,-20.0,20,0
301,-25.0,25,0
302,-21.0,21,0
303,-117.0,18,1
304,-15.0,15,0
305,-17.0,17,0
306,-15.0,15,0
307,-125.0,26,1
308,-15.0,15,0
309,-21.0,21,0
310,-19.0,19,0
311,-25.0,25,0
312,-22.0,22,0
313,-17.0,17,0
314,-17.0,17,0
315,-18.0,18,0
316,-21.0,21,0
317,-22.0,22,0
318,-19.0,19,0
319,-17.0,17,0
320,-15.0,15,0
321,-15.0,15,0
322,-15.0,15,0
323,-17.0,17,0
324,-23.0,23,0
325,-15.0,15,0
326,-21.0,21,0
327,-24.0,24,0
328,-15.0,15,0
329,-15.0,15,0
330,-127.0,28,1
331,-15.0,15,0
332,-19.0,19,0
333,-19.0,19,0
334,-21.0,21,0
335,-17.0,17,0
336,-15.0,15,0
337,-19.0,19,0
338,-15.0,15,0
339,-17.0,17,0
340,-23.0,23,0
341,-23.0,23,0
342,-17.0,17,0
343,-19.0,19,0
344,-17.0,17,0
345,-17.0,17,0
346,-124.0,25,1
347,-17.0,17,0
348,-16.0,16,0
349,-18.0,18,0
350,-19.0,19,0
351,-20.0,20,0
352,-20.0,20,0
353,-15.0,15,0
354,-15.0,15,0
355,-17.0,17,0
356,-15.0,15,0
357,-117.0,18,1
358,-15.0,15,0
359,-17.0,17,0
360,-15.0,15,0
361,-15.0,15,0
362,-19.0,19,0
363,-19.0,19,0
364,-15.0,15,0
365,-17.0,17,0
366,-19.0,19,0
367,-19.0,19,0
368,-15.0,15,0
369,-17.0,17,0
370,-15.0,15,0
371,-15.0,15,0
372,-17.0,17,0
373,-19.0,19,0
374,-17.0,17,0
375,-15.0,15,0
376,-15.0,15,0
377,-15.0,15,0
378,-17.0,17,0
379,-18.0,18,0
380,-19.0,19,0
381,-19.0,19,0
382,-15.0,15,0
383,-17.0,17,0
384,-15.0,15,0
385,-15.0,15,0
386,-15.0,15,0
387,-17.0,17,0
388,-22.0,22,0
389,-139.0,40,1
390,-16.0,16,0
391,-19.0,19,0
392,-21.0,21,0
393,-19.0,19,0
394,-116.0,17,1
395,-15.0,15,0
396,-15.0,15,0
397,-19.0,19,0
398,-17.0,17,0
399,-15.0,15,0
400,-17.0,17,0
401,-19.0,19,0
402,-15.0,15,0
403,-15.0,15,0
404,-15.0,15,0
405,-16.0,16,0
406,-17.0,17,0
407,-17.0,17,0
408,-15.0,15,0
409,-15.0,15,0
410,-25.0,25,0
411,-17.0,17,0
412,-17.0,17,0
413,-15.0,15,0
414,-17.0,17,0
415,-17.0,17,0
416,-20.0,20,0
417,-18.0,18,0
418,-15.0,15,0
419,-17.0,17,0
420,-15.0,15,0
421,-26.0,26,0
422,-15.0,15,0
423,-17.0,17,0
424,-17.0,17,0
425,-15.0,15,0
426,-19.0,19,0
427,-20.0,20,0
428,-17.0,17,0
429,-15.0,15,0
430,-19.0,19,0
431,-24.0,24,0
432,-15.0,15,0
433,-17.0,17,0
434,-17.0,17,0
435,-131.0,32,1
436,-117.0,18,1
437,-15.0,15,0
438,-15.0,15,0
439,-17.0,17,0
440,-19.0,19,0
441,-16.0,16,0
442,-17.0,17,0
443,-15.0,15,0
444,-21.0,21,0
445,-15.0,15,0
446,-16.0,16,0
447,-15.0,15,0
448,-15.0,15,0
449,-15.0,15,0
450,-17.0,17,0
451,-17.0,17,0
452,-117.0,18,1
453,-20.0,20,0
454,-21.0,21,0
455,-17.0,17,0
456,-18.0,18,0
457,-15.0,15,0
458,-17.0,17,0
459,-22.0,22,0
460,-15.0,15,0
461,-18.0,18,0
462,-20.0,20,0
463,-15.0,15,0
464,-17.0,17,0
465,-20.0,20,0
466,-15.0,15,0
467,-15.0,15,0
468,-15.0,15,0
469,-15.0,15,0
470,-17.0,17,0
471,-15.0,15,0
472,-20.0,20,0
473,-15.0,15,0
474,-19.0,19,0
475,-15.0,15,0
476,-19.0,19,0
477,-15.0,15,0
478,-19.0,19,0
479,-17.0,17,0
480,-15.0,15,0
481,-17.0,17,0
482,-17.0,17,0
483,-17.0,17,0
484,-15.0,15,0
485,-17.0,17,0
486,-17.0,17,0
487,-15.0,15,0
488,-17.0,17,0
489,-15.0,15,0
490,-19.0,19,0
491,-16.0,16,0
492,-25.0,25,0
493,-23.0,23,0
494,-17.0,17,0
495,-15.0,15,0
496,-17.0,17,0
497,-17.0,17,0
498,-21.0,21,0
499,-15.0,15,0
500,-15.0,15,0
501,-130.0,31,1
502,-17.0,17,0
503,-17.0,17,0
504,-17.0,17,0
505,-19.0,19,0
506,-16.0,16,0
507,-17.0,17,0
508,-15.0,15,0
509,-17.0,17,0
510,-15.0,15,0
511,-15.0,15,0
512,-15.0,15,0
513,-19.0,19,0
514,-24.0,24,0
515,-21.0,21,0
516,-16.0,16,0
517,-15.0,15,0
518,-16.0,16,0
519,-20.0,20,0
520,-19.0,19,0
521,-15.0,15,0
522,-19.0,19,0
523,-16.0,16,0
524,-17.0,17,0
525,-15.0,15,0
526,-15.0,15,0
527,-15.0,15,0
528,-17.0,17,0
529,-17.0,17,0
530,-15.0,15,0
531,-115.0,16,1
532,-18.0,18,0
533,-19.0,19,0
534,-19.0,19,0
535,-15.0,15,0
536,-18.0,18,0
537,-18.0,18,0
538,-17.0,17,0
539,-19.0,19,0
540,-16.0,16,0
541,-15.0,15,0
542,-15.0,15,0
543,-19.0,19,0
544,-15.0,15,0
545,-15.0,15,0
546,-17.0,17,0
547,-17.0,17,0
548,-19.0,19,0
549,-15.0,15,0
550,-17.0,17,0
551,-17.0,17,0
552,-17.0,17,0
553,-19.0,19,0
554,-17.0,17,0
555,-17.0,17,0
556,-17.0,17,0
557,-15.0,15,0
558,-17.0,17,0
559,-17.0,17,0
560,-19.0,19,0
561,-15.0,15,0
562,-15.0,15,0
563,-18.0,18,0
564,-17.0,17,0
565,-17.0,17,0
566,-15.0,15,0
567,-15.0,15,0
568,-19.0,19,0
569,-15.0,15,0
570,-17.0,17,0
571,-15.0,15,0
572,-16.0,16,0
573,-15.0,15,0
574,-15.0,15,0
575,-17.0,17,0
576,-15.0,15,0
577,-17.0,17,0
578,-18.0,18,0
579,-19.0,19,0
580,-18.0,18,0
581,-17.0,17,0
582,-15.0,15,0
583,-18.0,18,0
584,-21.0,21,0
585,-15.0,15,0
586,-18.0,18,0
587,-15.0,15,0
588,-15.0,15,0
589,-23.0,23,0
590,-15.0,15,0
591,-19.0,19,0
592,-15.0,15,0
593,-15.0,15,0
594,-21.0,21,0
595,-25.0,25,0
596,-20.0,20,0
597,-16.0,16,0
598,-20.0,20,0
599,-15.0,15,0
600,-17.0,17,0
601,-28.0,28,0
602,-17.0,17,0
603,-15.0,15,0
604,-17.0,17,0
605,-21.0,21,0
606,-15.0,15,0
607,-15.0,15,0
608,-17.0,17,0
609,-23.0,23,0
610,-15.0,15,0
611,-22.0,22,0
612,-15.0,15,0
613,-15.0,15,0
614,-17.0,17,0
615,-16.0,16,0
616,-15.0,15,0
617,-15.0,15,0
618,-15.0,15,0
619,-20.0,20,0
620,-23.0,23,0
621,-17.0,17,0
622,-17.0,17,0
623,-18.0,18,0
624,-16.0,16,0
625,-17.0,17,0
626,-15.0,15,0
627,-17.0,17,0
628,-17.0,17,0
629,-19.0,19,0
630,-15.0,15,0
631,-19.0,19,0
632,-17.0,17,0
633,-15.0,15,0
634,-19.0,19,0
635,-17.0,17,0
636,-15.0,15,0
637,-17.0,17,0
638,-15.0,15,0
639,-19.0,19,0
640,-21.0,21,0
641,-19.0,19,0
642,-15.0,15,0
643,-15.0,15,0
644,-19.0,19,0
645,-15.0,15,0
646,-18.0,18,0
647,-17.0,17,0
648,-17.0,17,0
649,-15.0,15,0
650,-17.0,17,0
651,-19.0,19,0
652,-17.0,17,0
653,-17.0,17,0
654,-18.0,18,0
655,-17.0,17,0
656,-17.0,17,0
657,-23.0,23,0
658,-15.0,15,0
659,-15.0,15,0
660,-15.0,15,0
661,-15.0,15,0
662,-123.0,24,1
663,-16.0,16,0
664,-15.0,15,0
665,-17.0,17,0
666,-15.0,15,0
667,-135.0,36,1
668,-17.0,17,0
669,-17.0,17,0
670,-22.0,22,0
671,-115.0,16,1
672,-21.0,21,0
673,-15.0,15,0
674,-15.0,15,0
675,-17.0,17,0
676,-19.0,19,0
677,-15.0,15,0
678,-20.0,20,0
679,-17.0,17,0
680,-15.0,15,0
681,-120.0,21,1
682,-17.0,17,0
683,-17.0,17,0
684,-15.0,15,0
685,-15.0,15,0
686,-17.0,17,0
687,-15.0,15,0
688,-15.0,15,0
689,-19.0,19,0
690,-15.0,15,0
691,-24.0,24,0
692,-17.0,17,0
693,-16.0,16,0
694,-19.0,19,0
695,-23.0,23,0
696,-15.0,15,0
697,-15.0,15,0
698,-24.0,24,0
699,-17.0,17,0
700,-15.0,15,0
701,-15.0,15,0
702,-17.0,17,0
703,-17.0,17,0
704,-16.0,16,0
705,-21.0,21,0
706,-15.0,15,0
707,-15.0,15,0
708,-17.0,17,0
709,-15.0,15,0
710,-17.0,17,0
711,-15.0,15,0
712,-17.0,17,0
713,-19.0,19,0
714,-18.0,18,0
715,-17.0,17,0
716,-15.0,15,0
717,-18.0,18,0
718,-17.0,17,0
719,-21.0,21,0
720,-15.0,15,0
721,-16.0,16,0
722,-19.0,19,0
723,-15.0,15,0
724,-16.0,16,0
725,-15.0,15,0
726,-21.0,21,0
727,-15.0,15,0
728,-119.0,20,1
729,-18.0,18,0
730,-131.0,32,1
731,-15.0,15,0
732,-17.0,17,0
733,-15.0,15,0
734,-23.0,23,0
735,-130.0,31,1
736,-17.0,17,0
737,-17.0,17,0
738,-19.0,19,0
739,-21.0,21,0
740,-19.0,19,0
741,-16.0,16,0
742,-17.0,17,0
743,-19.0,19,0
744,-16.0,16,0
745,-15.0,15,0
746,-16.0,16,0
747,-17.0,17,0
748,-17.0,17,0
749,-17.0,17,0
750,-15.0,15,0
751,-21.0,21,0
752,-19.0,19,0
753,-23.0,23,0
754,-19.0,19,0
755,-20.0,20,0
756,-16.0,16,0
757,-17.0,17,0
758,-17.0,17,0
759,-15.0,15,0
760,-23.0,23,0
761,-19.0,19,0
762,-19.0,19,0
763,-16.0,16,0
764,-15.0,15,0
765,-19.0,19,0
766,-19.0,19,0
767,-18.0,18,0
768,-19.0,19,0
769,-16.0,16,0
770,-17.0,17,0
771,-23.0,23,0
772,-17.0,17,0
773,-15.0,15,0
774,-15.0,15,0
775,-17.0,17,0
776,-15.0,15,0
777,-15.0,15,0
778,-19.0,19,0
779,-15.0,15,0
780,-21.0,21,0
781,-17.0,17,0
782,-15.0,15,0
783,-18.0,18,0
784,-15.0,15,0
785,-18.0,18,0
786,-117.0,18,1
787,-15.0,15,0
788,-15.0,15,0
789,-15.0,15,0
790,-15.0,15,0
791,-21.0,21,0
792,-19.0,19,0
793,-15.0,15,0
794,-21.0,21,0
795,-17.0,17,0
796,-15.0,15,0
797,-17.0,17,0
798,-19.0,19,0
799,-118.0,19,1
800,-15.0,15,0
801,-17.0,17,0
802,-19.0,19,0
803,-23.0,23,0
804,-17.0,17,0
805,-17.0,17,0
806,-19.0,19,0
807,-19.0,19,0
808,-17.0,17,0
809,-19.0,19,0
810,-21.0,21,0
811,-17.0,17,0
812,-17.0,17,0
813,-17.0,17,0
814,-21.0,21,0
815,-22.0,22,0
816,-15.0,15,0
817,-16.0,16,0
818,-19.0,19,0
819,-15.0,15,0
820,-15.0,15,0
821,-17.0,17,0
822,-15.0,15,0
823,-17.0,17,0
824,-15.0,15,0
825,-22.0,22,0
826,-18.0,18,0
827,-15.0,15,0
828,-23.0,23,0
829,-18.0,18,0
830,-15.0,15,0
831,-21.0,21,0
832,-17.0,17,0
833,-17.0,17,0
834,-15.0,15,0
835,-15.0,15,0
836,-17.0,17,0
837,-15.0,15,0
838,-19.0,19,0
839,-17.0,17,0
840,-15.0,15,0
841,-15.0,15,0
842,-15.0,15,0
843,-17.0,17,0
844,-17.0,17,0
845,-15.0,15,0
846,-15.0,15,0
847,-18.0,18,0
848,-19.0,19,0
849,-17.0,17,0
850,-17.0,17,0
851,-19.0,19,0
852,-15.0,15,0
853,-16.0,16,0
854,-15.0,15,0
855,-16.0,16,0
856,-19.0,19,0
857,-17.0,17,0
858,-15.0,15,0
859,-17.0,17,0
860,-21.0,21,0
861,-17.0,17,0
862,-21.0,21,0
863,-15.0,15,0
864,-16.0,16,0
865,-16.0,16,0
866,-15.0,15,0
867,-17.0,17,0
868,-17.0,17,0
869,-17.0,17,0
870,-17.0,17,0
871,-15.0,15,0
872,-17.0,17,0
873,-15.0,15,0
874,-15.0,15,0
875,-17.0,17,0
876,-17.0,17,0
877,-15.0,15,0
878,-15.0,15,0
879,-15.0,15,0
880,-15.0,15,0
881,-15.0,15,0
882,-19.0,19,0
883,-18.0,18,0
884,-15.0,15,0
885,-15.0,15,0
886,-17.0,17,0
887,-20.0,20,0
888,-15.0,15,0
889,-17.0,17,0
890,-15.0,15,0
891,-15.0,15,0
892,-17.0,17,0
893,-19.0,19,0
894,-17.0,17,0
895,-17.0,17,0
896,-19.0,19,0
897,-19.0,19,0
898,-15.0,15,0
899,-15.0,15,0
900,-21.0,21,0
901,-21.0,21,0
902,-16.0,16,0
903,-15.0,15,0
904,-18.0,18,0
905,-15.0,15,0
906,-16.0,16,0
907,-16.0,16,0
908,-19.0,19,0
909,-15.0,15,0
910,-15.0,15,0
911,-23.0,23,0
912,-17.0,17,0
913,-15.0,15,0
914,-18.0,18,0
915,-16.0,16,0
916,-22.0,22,0
917,-19.0,19,0
918,-17.0,17,0
919,-15.0,15,0
920,-16.0,16,0
921,-15.0,15,0
922,-20.0,20,0
923,-19.0,19,0
924,-15.0,15,0
925,-17.0,17,0
926,-19.0,19,0
927,-15.0,15,0
928,-17.0,17,0
929,-19.0,19,0
930,-17.0,17,0
931,-19.0,19,0
932,-21.0,21,0
933,-15.0,15,0
934,-15.0,15,0
935,-15.0,15,0
936,-17.0,17,0
937,-15.0,15,0
938,-15.0,15,0
939,-17.0,17,0
940,-15.0,15,0
941,-19.0,19,0
942,-17.0,17,0
943,-15.0,15,0
944,-17.0,17,0
945,-17.0,17,0
946,-17.0,17,0
947,-15.0,15,0
948,-20.0,20,0
949,-17.0,17,0
950,-19.0,19,0
951,-17.0,17,0
952,-15.0,15,0
953,-15.0,15,0
954,-115.0,16,1
955,-22.0,22,0
956,-15.0,15,0
957,-17.0,17,0
958,-16.0,16,0
959,-25.0,25,0
960,-17.0,17,0
961,-16.0,16,0
962,-19.0,19,0
963,-15.0,15,0
964,-17.0,17,0
965,-17.0,17,0
966,-20.0,20,0
967,-17.0,17,0
968,-16.0,16,0
969,-15.0,15,0
970,-20.0,20,0
971,-17.0,17,0
972,-21.0,21,0
973,-15.0,15,0
974,-15.0,15,0
975,-22.0,22,0
976,-18.0,18,0
977,-21.0,21,0
978,-20.0,20,0
979,-19.0,19,0
980,-17.0,17,0
981,-15.0,15,0
982,-19.0,19,0
983,-17.0,17,0
984,-17.0,17,0
985,-16.0,16,0
986,-16.0,16,0
987,-19.0,19,0
988,-15.0,15,0
989,-15.0,15,0
990,-19.0,19,0
991,-15.0,15,0
992,-19.0,19,0
993,-17.0,17,0
994,-139.0,40,1
995,-17.0,17,0
996,-23.0,23,0
997,-17.0,17,0
998,-15.0,15,0
999,-17.0,17,0
