Episode,Total Reward,Steps,Falls,Rollbacks
244,-5.0,400,0,395
245,-3.0,400,0,397
246,-3.0,335,0,332
247,-7.0,400,0,393
248,-3.0,400,0,397
249,-2.0,400,0,398
250,-12.0,400,0,388
251,-2.0,400,0,398
252,-2.0,400,0,398
253,-2.0,194,0,192
254,-6.0,400,0,394
255,-1.0,400,0,399
256,-2.0,400,0,398
257,-3.0,400,0,397
258,-5.0,400,0,395
259,-4.0,400,0,396
260,-5.0,400,0,395
261,-4.0,400,0,396
262,-4.0,400,0,396
263,-3.0,326,0,323
264,-3.0,400,0,397
265,-6.0,400,0,394
266,-6.0,400,0,394
267,-6.0,400,0,394
268,-2.0,400,0,398
269,-4.0,400,0,396
270,-4.0,395,0,391
271,-2.0,400,0,398
272,-2.0,400,0,398
273,-2.0,400,0,398
274,-2.0,400,0,398
275,-3.0,400,0,397
276,-6.0,400,0,394
277,-3.0,400,0,397
278,-3.0,400,0,397
279,-2.0,289,0,287
280,-7.0,400,0,393
281,-6.0,400,0,394
282,-5.0,400,0,395
283,-2.0,263,0,261
284,-7.0,400,0,393
285,-3.0,400,0,397
286,-8.0,400,0,392
287,-7.0,400,0,393
288,-2.0,400,0,398
289,-7.0,400,0,393
290,-4.0,400,0,396
291,-9.0,400,0,391
292,-5.0,400,0,395
293,-2.0,400,0,398
294,-7.0,400,0,393
295,-2.0,400,0,398
296,-2.0,156,0,154
297,-2.0,240,0,238
298,-4.0,400,0,396
299,-2.0,154,0,152
300,-2.0,400,0,398
301,-14.0,400,0,386
302,-3.0,356,0,353
303,-2.0,400,0,398
304,-5.0,400,0,395
305,-5.0,338,0,333
306,-2.0,322,0,320
307,-4.0,278,0,274
308,-5.0,400,0,395
309,-2.0,400,0,398
310,-5.0,325,0,320
311,-5.0,393,0,388
312,-4.0,400,0,396
313,-1.0,400,0,399
314,-2.0,400,0,398
315,-3.0,400,0,397
316,-3.0,142,0,139
317,-3.0,400,0,397
318,-3.0,156,0,153
319,-3.0,400,0,397
320,-3.0,400,0,397
321,-5.0,400,0,395
322,-3.0,400,0,397
323,-3.0,400,0,397
324,-6.0,400,0,394
325,-4.0,400,0,396
326,-9.0,400,0,391
327,-3.0,400,0,397
328,-7.0,400,0,393
329,-2.0,400,0,398
330,-4.0,387,0,383
331,-3.0,400,0,397
332,-5.0,400,0,395
333,-2.0,400,0,398
334,-1.0,400,0,399
335,-11.0,400,0,389
336,-6.0,400,0,394
337,-5.0,400,0,395
338,-3.0,400,0,397
339,-3.0,348,0,345
340,-4.0,400,0,396
341,-3.0,245,0,242
342,-3.0,400,0,397
343,-3.0,349,0,346
344,-1.0,400,0,399
345,-1.0,400,0,399
346,-6.0,400,0,394
347,-5.0,400,0,395
348,-2.0,161,0,159
349,-4.0,294,0,290
350,-4.0,400,0,396
351,-2.0,400,0,398
352,-4.0,359,0,355
353,-3.0,151,0,148
354,-2.0,400,0,398
355,-5.0,400,0,395
356,-3.0,400,0,397
357,-6.0,400,0,394
358,-2.0,400,0,398
359,-4.0,400,0,396
360,-1.0,400,0,399
361,-8.0,400,0,392
362,-10.0,400,0,390
363,-5.0,400,0,395
364,-2.0,279,0,277
365,-7.0,400,0,393
366,-2.0,319,0,317
367,-2.0,400,0,398
368,-5.0,400,0,395
369,-4.0,400,0,396
370,-4.0,400,0,396
371,-7.0,400,0,393
372,-2.0,400,0,398
373,-5.0,278,0,273
374,-9.0,400,0,391
375,-6.0,400,0,394
376,-3.0,400,0,397
377,-5.0,400,0,395
378,-4.0,400,0,396
379,-1.0,400,0,399
380,-4.0,400,0,396
381,-4.0,400,0,396
382,-6.0,400,0,394
383,-6.0,353,0,347
384,-6.0,400,0,394
385,-2.0,400,0,398
386,-5.0,400,0,395
387,-12.0,400,0,388
388,-3.0,214,0,211
389,-5.0,400,0,395
390,-5.0,400,0,395
391,-7.0,400,0,393
392,-4.0,400,0,396
393,-3.0,400,0,397
394,-4.0,400,0,396
395,-3.0,400,0,397
396,-5.0,400,0,395
397,-2.0,171,0,169
398,-2.0,400,0,398
399,-5.0,400,0,395
400,-3.0,332,0,329
401,-2.0,400,0,398
402,-6.0,400,0,394
403,-4.0,400,0,396
404,-4.0,400,0,396
405,-6.0,400,0,394
406,-2.0,400,0,398
407,-2.0,400,0,398
408,-7.0,400,0,393
409,-2.0,398,0,396
410,-9.0,400,0,391
411,-3.0,400,0,397
412,-4.0,400,0,396
413,-2.0,400,0,398
414,-2.0,400,0,398
415,-7.0,400,0,393
416,-2.0,400,0,398
417,-4.0,400,0,396
418,-2.0,218,0,216
419,-4.0,400,0,396
420,-4.0,400,0,396
421,-2.0,400,0,398
422,-2.0,400,0,398
423,-5.0,400,0,395
424,-3.0,400,0,397
425,-3.0,325,0,322
426,-10.0,400,0,390
427,-6.0,400,0,394
428,-4.0,400,0,396
429,-2.0,195,0,193
430,-4.0,400,0,396
431,-8.0,400,0,392
432,-5.0,400,0,395
433,-3.0,141,0,138
434,-3.0,400,0,397
435,-7.0,400,0,393
436,-4.0,400,0,396
437,-4.0,400,0,396
438,-3.0,400,0,397
439,-2.0,164,0,162
440,-6.0,400,0,394
441,-6.0,400,0,394
442,-4.0,400,0,396
443,-2.0,293,0,291
444,-2.0,400,0,398
445,-1.0,400,0,399
446,-4.0,400,0,396
447,-3.0,362,0,359
448,-3.0,337,0,334
449,-6.0,393,0,387
450,-2.0,189,0,187
451,-3.0,218,0,215
452,-2.0,303,0,301
453,-3.0,400,0,397
454,-2.0,400,0,398
455,-7.0,400,0,393
456,-7.0,400,0,393
457,-3.0,400,0,397
458,-7.0,400,0,393
459,-2.0,400,0,398
460,-3.0,400,0,397
461,-4.0,400,0,396
462,-3.0,400,0,397
463,-5.0,400,0,395
464,-1.0,400,0,399
465,-3.0,241,0,238
466,-7.0,400,0,393
