Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
197,-2070.0,840,139,1,0
198,-1490.0,611,100,1,0
199,-1404.0,579,94,1,0
200,-1616.0,629,112,1,0
201,-1291.0,511,89,1,0
202,-1640.0,689,108,1,0
203,-1822.0,799,116,1,0
204,-1653.0,720,106,1,0
205,-1399.0,601,91,1,0
206,-1435.0,601,95,1,0
207,-1227.0,546,78,1,0
208,-1273.0,529,85,1,0
209,-1201.0,502,80,1,0
210,-2422.0,1000,158,0,0
211,-2584.0,1000,176,0,0
212,-2295.0,930,154,1,0
213,-2467.0,1000,163,0,0
214,-2315.0,905,159,1,0
215,-2091.0,861,139,1,0
216,-1603.0,661,107,1,0
217,-754.0,289,54,1,0
218,-2476.0,1000,164,0,0
219,-1305.0,525,89,1,0
220,-2314.0,1000,146,0,0
221,-2485.0,1000,165,0,0
222,-1732.0,673,120,1,0
223,-914.0,350,65,1,0
224,-1291.0,529,87,1,0
225,-2377.0,1000,153,0,0
226,-2332.0,1000,148,0,0
227,-1017.0,408,70,1,0
228,-1412.0,596,93,1,0
229,-1752.0,747,114,1,0
230,-1304.0,542,87,1,0
231,-2350.0,1000,150,0,0
232,-473.0,197,33,1,0
233,-1693.0,706,112,1,0
234,-1456.0,568,101,1,0
235,-782.0,308,55,1,0
236,-525.0,195,39,1,0
237,-2112.0,936,133,1,0
238,-1677.0,672,114,1,0
239,-2368.0,1000,152,0,0
240,-763.0,289,55,1,0
241,-1365.0,531,95,1,0
242,-1179.0,507,77,1,0
243,-2283.0,900,156,1,0
244,-2359.0,1000,151,0,0
245,-1083.0,384,80,1,0
246,-2019.0,753,143,1,0
247,-1893.0,708,134,1,0
248,-1823.0,791,117,1,0
249,-1332.0,543,90,1,0
250,-467.0,200,32,1,0
251,-2053.0,859,135,1,0
252,-2345.0,962,156,1,0
253,-1538.0,596,107,1,0
254,-917.0,389,61,1,0
255,-1946.0,851,124,1,0
256,-744.0,306,51,1,0
257,-1471.0,628,96,1,0
258,-2219.0,944,144,1,0
259,-1429.0,532,102,1,0
260,-2386.0,1000,154,0,0
261,-1639.0,706,106,1,0
262,-1519.0,604,104,1,0
263,-1321.0,523,91,1,0
264,-258.0,108,19,1,0
265,-1322.0,560,87,1,0
266,-1013.0,422,68,1,0
267,-497.0,194,36,1,0
268,-2440.0,1000,160,0,0
269,-2104.0,901,136,1,0
270,-1484.0,677,92,1,0
271,-1684.0,724,109,1,0
272,-1543.0,601,107,1,0
273,-1819.0,760,120,1,0
274,-1751.0,701,119,1,0
275,-1480.0,592,101,1,0
276,-715.0,268,52,1,0
277,-1273.0,547,83,1,0
278,-795.0,312,56,1,0
279,-1733.0,737,113,1,0
280,-1368.0,543,94,1,0
281,-1864.0,724,129,1,0
282,-1177.0,406,88,1,0
283,-2134.0,1000,126,0,0
284,-1572.0,675,102,1,0
285,-1667.0,662,114,1,0
286,-1223.0,452,88,1,0
287,-2323.0,1000,147,0,0
288,-2283.0,927,153,1,0
289,-2358.0,930,161,1,0
290,-2503.0,1000,167,0,0
291,-2264.0,935,150,1,0
292,-2440.0,1000,160,0,0
293,-1515.0,618,102,1,0
294,-1630.0,661,110,1,0
295,-2665.0,1000,185,0,0
296,-1370.0,626,85,1,0
297,-1301.0,530,88,1,0
298,-1223.0,506,82,1,0
299,-2370.0,969,158,1,0
300,-2404.0,1000,156,0,0
301,-2397.0,969,161,1,0
302,-2378.0,950,161,1,0
303,-1766.0,725,118,1,0
304,-2351.0,959,157,1,0
305,-1261.0,598,76,1,0
306,-922.0,340,67,1,0
307,-1664.0,695,110,1,0
308,-846.0,345,58,1,0
309,-995.0,404,68,1,0
310,-1672.0,757,104,1,0
311,-2359.0,1000,151,0,0
312,-1476.0,705,88,1,0
313,-1972.0,832,129,1,0
314,-1684.0,661,116,1,0
315,-1725.0,783,107,1,0
316,-1323.0,588,84,1,0
317,-2062.0,841,138,1,0
318,-2431.0,1000,159,0,0
319,-2202.0,837,154,1,0
320,-1474.0,604,99,1,0
321,-1065.0,429,73,1,0
322,-1740.0,699,118,1,0
323,-2368.0,1000,152,0,0
324,-1006.0,415,68,1,0
325,-1083.0,546,62,1,0
326,-1755.0,741,115,1,0
327,-1360.0,580,89,1,0
328,-1558.0,661,102,1,0
329,-2318.0,944,155,1,0
330,-2491.0,982,170,1,0
331,-955.0,382,66,1,0
332,-2079.0,822,142,1,0
