Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
206,-587.0,713,0,1,105
207,-488.0,602,0,1,93
208,-834.0,1000,0,0,166
209,-274.0,361,0,1,66
210,-801.0,984,0,1,162
211,-851.0,1000,0,0,149
212,-677.0,817,0,1,119
213,-858.0,1000,0,0,142
214,-850.0,1000,0,0,150
215,-633.0,771,0,1,117
216,-841.0,1000,1,0,168
217,-235.0,321,0,1,65
218,-313.0,400,0,1,66
219,-845.0,1000,0,0,155
220,-851.0,1000,0,0,149
221,-417.0,537,0,1,99
222,-382.0,481,0,1,78
223,-438.0,554,0,1,95
224,-399.0,509,0,1,89
225,-364.0,474,0,1,89
226,-841.0,1000,0,0,159
227,-309.0,401,0,1,71
228,-478.0,600,0,1,101
229,-839.0,1000,0,0,161
230,-416.0,526,0,1,89
231,-391.0,499,0,1,87
232,-395.0,502,0,1,86
233,-849.0,1000,0,0,151
234,-698.0,870,0,1,151
235,-173.0,236,0,1,42
236,-376.0,480,0,1,83
237,-672.0,815,0,1,122
238,-791.0,966,0,1,154
239,-589.0,713,0,1,103
240,-213.0,289,0,1,55
241,-398.0,525,0,1,106
242,-295.0,377,0,1,61
243,-367.0,483,0,1,95
244,-845.0,1000,0,0,155
245,-697.0,871,0,1,153
246,-733.0,900,1,1,155
247,-511.0,634,0,1,102
248,-856.0,1000,0,0,144
249,-321.0,407,0,1,65
250,-349.0,432,0,1,62
251,-838.0,1000,0,0,162
252,-735.0,913,0,1,157
253,-648.0,785,0,1,116
254,-832.0,1000,0,0,168
255,-421.0,531,0,1,89
256,-414.0,511,0,1,76
257,-768.0,928,0,1,139
258,-843.0,1000,0,0,157
259,-729.0,876,1,1,135
260,-746.0,917,0,1,150
261,-744.0,922,0,1,157
262,-402.0,518,0,1,95
263,-325.0,417,0,1,71
264,-193.0,258,0,1,44
265,-423.0,537,0,1,93
266,-410.0,497,0,1,66
267,-116.0,163,0,1,26
268,-425.0,548,0,1,102
269,-781.0,976,0,1,174
270,-407.0,513,0,1,85
271,-841.0,1000,0,0,159
272,-806.0,987,0,1,160
273,-838.0,1000,0,0,162
274,-193.0,260,0,1,46
275,-512.0,634,0,1,101
276,-475.0,580,0,1,84
277,-473.0,586,0,1,92
278,-436.0,547,0,1,90
279,-834.0,1000,0,0,166
280,-848.0,1000,0,0,152
281,-219.0,291,0,1,51
282,-570.0,691,0,1,100
283,-359.0,452,0,1,72
284,-843.0,1000,0,0,157
285,-862.0,1000,0,0,138
286,-242.0,333,0,1,70
287,-863.0,1000,0,0,137
288,-739.0,907,0,1,147
289,-840.0,1000,0,0,160
290,-389.0,502,0,1,92
291,-483.0,600,0,1,96
292,-789.0,954,0,1,144
293,-854.0,1000,1,0,155
294,-541.0,663,0,1,101
295,-460.0,583,0,1,102
296,-399.0,515,0,1,95
297,-364.0,464,0,1,79
298,-614.0,756,0,1,121
299,-853.0,1000,0,0,147
300,-844.0,1000,0,0,156
301,-844.0,1000,0,0,156
302,-804.0,969,0,1,144
303,-748.0,925,0,1,156
304,-842.0,1000,0,0,158
305,-479.0,589,0,1,89
306,-312.0,408,0,1,75
307,-551.0,677,0,1,105
308,-263.0,343,0,1,59
309,-376.0,468,0,1,71
310,-691.0,855,0,1,143
311,-844.0,1000,0,0,156
312,-410.0,510,0,1,79
313,-801.0,984,0,1,162
314,-854.0,1000,1,0,155
315,-717.0,890,0,1,152
316,-404.0,508,0,1,83
317,-450.0,561,0,1,90
318,-841.0,1000,0,0,159
319,-534.0,668,0,1,113
320,-810.0,985,0,1,154
321,-279.0,363,1,1,72
322,-567.0,682,0,1,94
323,-647.0,811,0,1,143
324,-290.0,378,0,1,67
325,-833.0,1000,0,0,167
326,-254.0,330,0,1,55
327,-846.0,1000,0,0,154
328,-626.0,735,1,1,97
329,-719.0,892,0,1,152
330,-856.0,1000,0,0,144
331,-190.0,263,0,1,52
332,-845.0,1000,0,0,155
333,-849.0,1000,0,0,151
334,-376.0,490,0,1,93
335,-376.0,489,0,1,92
336,-843.0,1000,0,0,157
337,-395.0,495,0,1,79
338,-840.0,1000,0,0,160
339,-876.0,1000,2,0,142
340,-525.0,627,1,1,90
341,-851.0,1000,0,0,149
342,-570.0,711,0,1,120
343,-345.0,456,0,1,90
344,-426.0,537,0,1,90
345,-486.0,593,0,1,86
346,-803.0,973,0,1,149
347,-461.0,587,0,1,105
348,-369.0,481,0,1,91
349,-849.0,1000,0,0,151
350,-268.0,348,0,1,59
351,-243.0,320,0,1,56
352,-517.0,643,0,1,105
353,-335.0,437,0,1,81
354,-297.0,391,0,1,73
355,-788.0,971,0,1,162
356,-725.0,881,0,1,135
357,-822.0,1000,0,0,178
358,-859.0,1000,0,0,141
359,-288.0,384,0,1,75
360,-836.0,1000,0,0,164
361,-383.0,494,0,1,90
362,-438.0,525,0,1,66
363,-839.0,1000,0,0,161
364,-839.0,1000,0,0,161
365,-837.0,1000,0,0,163
366,-506.0,618,0,1,91
367,-773.0,944,0,1,150
368,-275.0,356,0,1,60
369,-552.0,684,0,1,111
370,-861.0,1000,0,0,139
371,-250.0,324,0,1,53
372,-245.0,324,0,1,58
373,-497.0,617,0,1,99
374,-438.0,565,0,1,106
375,-486.0,613,0,1,106
376,-534.0,659,0,1,104
377,-443.0,544,0,1,80
378,-352.0,439,0,1,66
379,-274.0,362,0,1,67
380,-288.0,379,0,1,70
381,-417.0,520,0,1,82
382,-459.0,580,0,1,100
383,-846.0,1000,0,0,154
384,-268.0,347,0,1,58
385,-431.0,558,0,1,106
386,-754.0,932,0,1,157
387,-442.0,556,0,1,93
388,-840.0,1000,0,0,160
389,-508.0,608,2,1,97
390,-265.0,349,0,1,63
391,-352.0,445,0,1,72
392,-651.0,820,0,1,148
393,-837.0,1000,0,0,163
394,-468.0,569,0,1,80
395,-845.0,1000,0,0,155
396,-356.0,452,0,1,75
397,-494.0,609,0,1,94
398,-336.0,442,0,1,85
399,-549.0,668,0,1,98
400,-781.0,956,0,1,154
401,-391.0,507,0,1,95
402,-456.0,568,0,1,91
403,-103.0,143,0,1,19
404,-372.0,473,0,1,80
405,-409.0,534,0,1,104
406,-410.0,512,0,1,81
407,-629.0,765,1,1,124
408,-473.0,592,0,1,98
409,-850.0,1000,0,0,150
410,-813.0,994,0,1,160
411,-515.0,656,0,1,120
412,-360.0,453,0,1,72
413,-328.0,409,0,1,60
414,-301.0,382,0,1,60
415,-758.0,924,0,1,145
416,-218.0,286,0,1,47
417,-854.0,1000,0,0,146
418,-223.0,291,0,1,47
419,-852.0,1000,0,0,148
420,-139.0,190,0,1,30
421,-337.0,434,0,1,76
422,-310.0,404,0,1,73
423,-848.0,1000,0,0,152
424,-593.0,711,0,1,97
425,-342.0,458,0,1,95
426,-422.0,536,0,1,93
427,-847.0,1000,0,0,153
428,-647.0,771,0,1,103
429,-832.0,1000,0,0,168
430,-367.0,456,0,1,68
431,-238.0,320,0,1,61
432,-277.0,357,0,1,59
433,-476.0,593,0,1,96
434,-842.0,1000,0,0,158
435,-285.0,371,0,1,65
436,-843.0,1000,0,0,157
437,-309.0,409,0,1,79
438,-417.0,511,0,1,73
439,-599.0,739,0,1,119
440,-849.0,1000,0,0,151
441,-396.0,499,0,1,82
442,-862.0,1000,0,0,138
443,-681.0,832,0,1,130
444,-418.0,523,0,1,84
445,-516.0,647,0,1,110
446,-849.0,1000,0,0,151
447,-757.0,935,0,1,157
448,-850.0,1000,0,0,150
449,-291.0,374,0,1,62
