Episode,Total Reward,Steps,Falls,Rollbacks
244,-17.0,17,0,0
245,-20.0,20,0,0
246,-24.0,24,0,0
247,-27.0,27,0,0
248,-15.0,15,0,0
249,-17.0,17,0,0
250,-17.0,17,0,0
251,-17.0,17,0,0
252,-15.0,15,0,0
253,-18.0,18,0,0
254,-15.0,15,0,0
255,-18.0,18,0,0
256,-15.0,15,0,0
257,-18.0,18,0,0
258,-17.0,17,0,0
259,-20.0,20,0,0
260,-19.0,19,0,0
261,-15.0,15,0,0
262,-19.0,19,0,0
263,-15.0,15,0,0
264,-17.0,17,0,0
265,-15.0,15,0,0
266,-15.0,15,0,0
267,-19.0,19,0,0
268,-15.0,15,0,0
269,-17.0,17,0,0
270,-15.0,15,0,0
271,-17.0,17,0,0
272,-19.0,19,0,0
273,-15.0,15,0,0
274,-23.0,23,0,0
275,-15.0,15,0,0
276,-15.0,15,0,0
277,-117.0,18,1,0
278,-17.0,17,0,0
279,-17.0,17,0,0
280,-23.0,23,0,0
281,-17.0,17,0,0
282,-17.0,17,0,0
283,-15.0,15,0,0
284,-17.0,17,0,0
285,-15.0,15,0,0
286,-15.0,15,0,0
287,-15.0,15,0,0
288,-19.0,19,0,0
289,-18.0,18,0,0
290,-15.0,15,0,0
291,-17.0,17,0,0
292,-19.0,19,0,0
293,-21.0,21,0,0
294,-19.0,19,0,0
295,-15.0,15,0,0
296,-115.0,16,1,0
297,-15.0,15,0,0
298,-15.0,15,0,0
299,-17.0,17,0,0
300,-17.0,17,0,0
301,-15.0,15,0,0
302,-17.0,17,0,0
303,-15.0,15,0,0
304,-115.0,16,1,0
305,-15.0,15,0,0
306,-15.0,15,0,0
307,-15.0,15,0,0
308,-15.0,15,0,0
309,-17.0,17,0,0
310,-15.0,15,0,0
311,-20.0,20,0,0
312,-15.0,15,0,0
313,-16.0,16,0,0
314,-15.0,15,0,0
315,-17.0,17,0,0
316,-15.0,15,0,0
317,-15.0,15,0,0
318,-20.0,20,0,0
319,-17.0,17,0,0
320,-19.0,19,0,0
321,-15.0,15,0,0
322,-19.0,19,0,0
323,-15.0,15,0,0
324,-15.0,15,0,0
325,-18.0,18,0,0
326,-22.0,22,0,0
327,-15.0,15,0,0
328,-24.0,24,0,0
329,-16.0,16,0,0
330,-17.0,17,0,0
331,-15.0,15,0,0
332,-20.0,20,0,0
333,-19.0,19,0,0
334,-17.0,17,0,0
335,-16.0,16,0,0
336,-17.0,17,0,0
337,-19.0,19,0,0
338,-15.0,15,0,0
339,-17.0,17,0,0
340,-17.0,17,0,0
341,-22.0,22,0,0
342,-129.0,30,1,0
343,-21.0,21,0,0
344,-16.0,16,0,0
345,-15.0,15,0,0
346,-15.0,15,0,0
347,-17.0,17,0,0
348,-17.0,17,0,0
349,-17.0,17,0,0
350,-15.0,15,0,0
351,-19.0,19,0,0
352,-21.0,21,0,0
353,-21.0,21,0,0
354,-15.0,15,0,0
355,-15.0,15,0,0
356,-19.0,19,0,0
357,-15.0,15,0,0
358,-15.0,15,0,0
359,-15.0,15,0,0
360,-17.0,17,0,0
361,-132.0,33,1,0
362,-15.0,15,0,0
363,-16.0,16,0,0
364,-17.0,17,0,0
365,-15.0,15,0,0
366,-15.0,15,0,0
367,-17.0,17,0,0
368,-21.0,21,0,0
369,-15.0,15,0,0
370,-17.0,17,0,0
371,-17.0,17,0,0
372,-17.0,17,0,0
373,-115.0,16,1,0
374,-15.0,15,0,0
375,-19.0,19,0,0
376,-20.0,20,0,0
377,-17.0,17,0,0
378,-17.0,17,0,0
379,-15.0,15,0,0
380,-16.0,16,0,0
381,-17.0,17,0,0
382,-117.0,18,1,0
383,-17.0,17,0,0
384,-18.0,18,0,0
385,-17.0,17,0,0
386,-17.0,17,0,0
387,-24.0,24,0,0
388,-18.0,18,0,0
389,-19.0,19,0,0
390,-17.0,17,0,0
391,-20.0,20,0,0
392,-21.0,21,0,0
393,-17.0,17,0,0
394,-121.0,22,1,0
395,-17.0,17,0,0
396,-19.0,19,0,0
397,-20.0,20,0,0
398,-118.0,19,1,0
399,-17.0,17,0,0
400,-17.0,17,0,0
401,-15.0,15,0,0
402,-17.0,17,0,0
403,-15.0,15,0,0
404,-16.0,16,0,0
405,-15.0,15,0,0
406,-117.0,18,1,0
407,-15.0,15,0,0
408,-17.0,17,0,0
409,-19.0,19,0,0
410,-17.0,17,0,0
411,-17.0,17,0,0
412,-15.0,15,0,0
413,-19.0,19,0,0
414,-17.0,17,0,0
415,-18.0,18,0,0
416,-17.0,17,0,0
417,-17.0,17,0,0
418,-16.0,16,0,0
419,-19.0,19,0,0
420,-18.0,18,0,0
421,-18.0,18,0,0
422,-123.0,24,1,0
423,-15.0,15,0,0
424,-15.0,15,0,0
425,-17.0,17,0,0
426,-15.0,15,0,0
427,-15.0,15,0,0
428,-115.0,16,1,0
429,-17.0,17,0,0
430,-118.0,19,1,0
431,-25.0,25,0,0
432,-17.0,17,0,0
433,-117.0,18,1,0
434,-17.0,17,0,0
435,-15.0,15,0,0
436,-15.0,15,0,0
437,-119.0,20,1,0
438,-17.0,17,0,0
439,-215.0,17,2,0
440,-17.0,17,0,0
441,-17.0,17,0,0
442,-17.0,17,0,0
443,-24.0,24,0,0
444,-18.0,18,0,0
445,-17.0,17,0,0
446,-15.0,15,0,0
447,-17.0,17,0,0
448,-19.0,19,0,0
449,-17.0,17,0,0
450,-17.0,17,0,0
451,-15.0,15,0,0
452,-17.0,17,0,0
453,-119.0,20,1,0
454,-15.0,15,0,0
455,-23.0,23,0,0
456,-19.0,19,0,0
457,-17.0,17,0,0
458,-20.0,20,0,0
459,-15.0,15,0,0
460,-17.0,17,0,0
461,-15.0,15,0,0
462,-17.0,17,0,0
463,-17.0,17,0,0
464,-23.0,23,0,0
465,-17.0,17,0,0
466,-19.0,19,0,0
467,-20.0,20,0,0
468,-15.0,15,0,0
469,-18.0,18,0,0
470,-15.0,15,0,0
471,-17.0,17,0,0
472,-19.0,19,0,0
473,-15.0,15,0,0
474,-15.0,15,0,0
475,-21.0,21,0,0
476,-17.0,17,0,0
477,-19.0,19,0,0
478,-23.0,23,0,0
479,-115.0,16,1,0
480,-15.0,15,0,0
481,-17.0,17,0,0
482,-21.0,21,0,0
483,-17.0,17,0,0
484,-17.0,17,0,0
485,-15.0,15,0,0
486,-21.0,21,0,0
487,-17.0,17,0,0
488,-19.0,19,0,0
489,-16.0,16,0,0
490,-15.0,15,0,0
491,-15.0,15,0,0
492,-19.0,19,0,0
493,-15.0,15,0,0
494,-19.0,19,0,0
495,-17.0,17,0,0
496,-16.0,16,0,0
497,-17.0,17,0,0
498,-16.0,16,0,0
499,-17.0,17,0,0
500,-15.0,15,0,0
501,-17.0,17,0,0
502,-17.0,17,0,0
503,-17.0,17,0,0
504,-17.0,17,0,0
505,-15.0,15,0,0
506,-18.0,18,0,0
507,-19.0,19,0,0
508,-15.0,15,0,0
509,-17.0,17,0,0
510,-19.0,19,0,0
511,-15.0,15,0,0
512,-15.0,15,0,0
513,-119.0,20,1,0
514,-15.0,15,0,0
515,-17.0,17,0,0
516,-17.0,17,0,0
517,-15.0,15,0,0
518,-19.0,19,0,0
519,-17.0,17,0,0
520,-15.0,15,0,0
521,-15.0,15,0,0
522,-25.0,25,0,0
523,-17.0,17,0,0
524,-15.0,15,0,0
525,-17.0,17,0,0
526,-15.0,15,0,0
527,-18.0,18,0,0
528,-17.0,17,0,0
529,-19.0,19,0,0
530,-117.0,18,1,0
531,-15.0,15,0,0
532,-19.0,19,0,0
533,-121.0,22,1,0
534,-15.0,15,0,0
535,-17.0,17,0,0
536,-118.0,19,1,0
537,-15.0,15,0,0
538,-123.0,24,1,0
539,-15.0,15,0,0
540,-19.0,19,0,0
541,-15.0,15,0,0
542,-15.0,15,0,0
543,-15.0,15,0,0
544,-15.0,15,0,0
545,-15.0,15,0,0
546,-15.0,15,0,0
547,-15.0,15,0,0
548,-16.0,16,0,0
549,-19.0,19,0,0
550,-19.0,19,0,0
551,-21.0,21,0,0
552,-15.0,15,0,0
553,-15.0,15,0,0
554,-21.0,21,0,0
555,-17.0,17,0,0
556,-19.0,19,0,0
557,-15.0,15,0,0
558,-20.0,20,0,0
559,-17.0,17,0,0
560,-15.0,15,0,0
561,-15.0,15,0,0
562,-15.0,15,0,0
563,-15.0,15,0,0
564,-21.0,21,0,0
565,-16.0,16,0,0
566,-17.0,17,0,0
567,-21.0,21,0,0
568,-21.0,21,0,0
569,-15.0,15,0,0
570,-17.0,17,0,0
571,-123.0,24,1,0
572,-15.0,15,0,0
573,-17.0,17,0,0
574,-15.0,15,0,0
575,-18.0,18,0,0
576,-18.0,18,0,0
577,-15.0,15,0,0
578,-122.0,23,1,0
579,-15.0,15,0,0
580,-17.0,17,0,0
581,-19.0,19,0,0
582,-19.0,19,0,0
583,-15.0,15,0,0
584,-17.0,17,0,0
585,-15.0,15,0,0
586,-17.0,17,0,0
587,-19.0,19,0,0
588,-15.0,15,0,0
589,-17.0,17,0,0
590,-17.0,17,0,0
591,-15.0,15,0,0
592,-123.0,24,1,0
593,-15.0,15,0,0
594,-17.0,17,0,0
595,-119.0,20,1,0
596,-15.0,15,0,0
597,-22.0,22,0,0
598,-17.0,17,0,0
599,-17.0,17,0,0
600,-16.0,16,0,0
601,-17.0,17,0,0
602,-16.0,16,0,0
603,-17.0,17,0,0
604,-15.0,15,0,0
605,-15.0,15,0,0
606,-123.0,24,1,0
607,-17.0,17,0,0
608,-15.0,15,0,0
609,-23.0,23,0,0
610,-15.0,15,0,0
611,-15.0,15,0,0
612,-15.0,15,0,0
613,-15.0,15,0,0
614,-17.0,17,0,0
615,-119.0,20,1,0
616,-19.0,19,0,0
617,-15.0,15,0,0
618,-15.0,15,0,0
619,-17.0,17,0,0
620,-15.0,15,0,0
621,-17.0,17,0,0
622,-17.0,17,0,0
623,-20.0,20,0,0
624,-17.0,17,0,0
625,-15.0,15,0,0
626,-118.0,19,1,0
627,-17.0,17,0,0
628,-127.0,28,1,0
629,-19.0,19,0,0
630,-17.0,17,0,0
631,-19.0,19,0,0
632,-18.0,18,0,0
633,-16.0,16,0,0
634,-17.0,17,0,0
635,-15.0,15,0,0
636,-15.0,15,0,0
637,-20.0,20,0,0
638,-121.0,22,1,0
639,-17.0,17,0,0
640,-19.0,19,0,0
641,-17.0,17,0,0
642,-17.0,17,0,0
643,-16.0,16,0,0
644,-21.0,21,0,0
645,-16.0,16,0,0
646,-15.0,15,0,0
647,-15.0,15,0,0
648,-15.0,15,0,0
649,-17.0,17,0,0
650,-15.0,15,0,0
651,-15.0,15,0,0
652,-19.0,19,0,0
653,-21.0,21,0,0
654,-17.0,17,0,0
655,-15.0,15,0,0
656,-17.0,17,0,0
657,-15.0,15,0,0
658,-19.0,19,0,0
659,-17.0,17,0,0
660,-15.0,15,0,0
661,-16.0,16,0,0
662,-15.0,15,0,0
663,-19.0,19,0,0
664,-16.0,16,0,0
665,-19.0,19,0,0
666,-17.0,17,0,0
667,-17.0,17,0,0
668,-120.0,21,1,0
669,-19.0,19,0,0
670,-17.0,17,0,0
671,-20.0,20,0,0
672,-17.0,17,0,0
673,-15.0,15,0,0
674,-16.0,16,0,0
675,-15.0,15,0,0
676,-15.0,15,0,0
677,-15.0,15,0,0
678,-21.0,21,0,0
679,-121.0,22,1,0
680,-17.0,17,0,0
681,-18.0,18,0,0
682,-122.0,23,1,0
683,-122.0,23,1,0
684,-15.0,15,0,0
685,-17.0,17,0,0
686,-21.0,21,0,0
687,-15.0,15,0,0
688,-15.0,15,0,0
689,-17.0,17,0,0
690,-15.0,15,0,0
691,-21.0,21,0,0
692,-17.0,17,0,0
693,-19.0,19,0,0
694,-15.0,15,0,0
695,-17.0,17,0,0
696,-17.0,17,0,0
697,-19.0,19,0,0
698,-17.0,17,0,0
699,-17.0,17,0,0
700,-18.0,18,0,0
701,-19.0,19,0,0
702,-17.0,17,0,0
703,-15.0,15,0,0
704,-17.0,17,0,0
705,-19.0,19,0,0
706,-15.0,15,0,0
707,-15.0,15,0,0
708,-20.0,20,0,0
709,-16.0,16,0,0
710,-17.0,17,0,0
711,-20.0,20,0,0
712,-15.0,15,0,0
713,-25.0,25,0,0
714,-15.0,15,0,0
715,-15.0,15,0,0
716,-21.0,21,0,0
717,-18.0,18,0,0
718,-15.0,15,0,0
719,-115.0,16,1,0
720,-17.0,17,0,0
721,-19.0,19,0,0
722,-16.0,16,0,0
723,-15.0,15,0,0
724,-17.0,17,0,0
725,-17.0,17,0,0
726,-16.0,16,0,0
727,-15.0,15,0,0
728,-15.0,15,0,0
729,-15.0,15,0,0
730,-17.0,17,0,0
731,-15.0,15,0,0
732,-19.0,19,0,0
733,-17.0,17,0,0
734,-16.0,16,0,0
735,-15.0,15,0,0
736,-121.0,22,1,0
737,-17.0,17,0,0
738,-21.0,21,0,0
739,-15.0,15,0,0
740,-15.0,15,0,0
741,-17.0,17,0,0
742,-17.0,17,0,0
743,-19.0,19,0,0
744,-15.0,15,0,0
745,-15.0,15,0,0
746,-17.0,17,0,0
