Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
240,-411.0,520,0,1
241,-306.0,390,0,1
242,-594.0,745,0,1
243,-645.0,782,1,1
244,-842.0,1000,0,0
245,-408.0,517,0,1
246,-839.0,1000,0,0
247,-848.0,1000,0,0
248,-849.0,1000,0,0
249,-461.0,569,0,1
250,-127.0,171,0,1
251,-776.0,960,0,1
252,-444.0,563,0,1
253,-640.0,776,0,1
254,-263.0,343,0,1
255,-289.0,391,0,1
256,-440.0,546,0,1
257,-442.0,560,0,1
258,-602.0,745,0,1
259,-371.0,480,0,1
260,-465.0,593,0,1
261,-439.0,560,0,1
262,-771.0,941,2,1
263,-202.0,288,0,1
264,-30.0,52,0,1
265,-371.0,473,0,1
266,-175.0,229,0,1
267,-209.0,279,0,1
268,-475.0,590,0,1
269,-849.0,1000,0,0
270,-473.0,574,0,1
271,-582.0,705,0,1
272,-442.0,555,0,1
273,-566.0,695,0,1
274,-809.0,983,0,1
275,-384.0,468,0,1
276,-327.0,415,0,1
277,-367.0,463,0,1
278,-398.0,501,0,1
279,-840.0,1000,0,0
280,-527.0,647,0,1
281,-259.0,348,0,1
282,-829.0,1000,0,0
283,-540.0,668,0,1
284,-850.0,1000,1,0
285,-814.0,1000,0,0
286,-390.0,496,0,1
287,-684.0,840,0,1
288,-858.0,1000,0,0
289,-430.0,541,0,1
290,-840.0,1000,0,0
291,-751.0,927,0,1
292,-852.0,1000,0,0
293,-767.0,949,0,1
294,-167.0,220,0,1
295,-498.0,619,0,1
296,-524.0,640,0,1
297,-371.0,462,0,1
298,-686.0,838,0,1
299,-852.0,1000,0,0
300,-624.0,775,0,1
301,-489.0,616,0,1
302,-280.0,362,0,1
303,-486.0,602,0,1
304,-610.0,747,0,1
305,-175.0,234,0,1
306,-301.0,391,0,1
307,-738.0,909,0,1
308,-353.0,440,0,1
309,-369.0,480,0,1
310,-544.0,668,0,1
311,-844.0,1000,0,0
312,-444.0,567,0,1
313,-617.0,763,0,1
314,-348.0,452,0,1
315,-545.0,671,0,1
316,-407.0,501,0,1
317,-806.0,984,0,1
318,-716.0,881,1,1
319,-861.0,1000,0,0
320,-850.0,1000,0,0
321,-264.0,360,0,1
322,-492.0,616,0,1
323,-480.0,592,0,1
324,-74.0,112,0,1
325,-472.0,587,0,1
326,-381.0,490,0,1
327,-554.0,706,0,1
328,-413.0,521,0,1
329,-503.0,630,0,1
330,-851.0,1000,0,0
331,-240.0,324,0,1
332,-837.0,1000,0,0
333,-685.0,839,0,1
334,-356.0,447,0,1
335,-412.0,515,0,1
336,-838.0,1000,0,0
337,-480.0,602,0,1
338,-848.0,1000,0,0
339,-853.0,1000,0,0
340,-372.0,478,0,1
341,-448.0,569,0,1
342,-440.0,555,0,1
343,-307.0,391,0,1
344,-294.0,381,0,1
345,-630.0,777,0,1
346,-833.0,1000,0,0
347,-385.0,488,0,1
348,-618.0,787,0,1
349,-762.0,929,0,1
350,-180.0,254,0,1
351,-266.0,342,0,1
352,-702.0,863,0,1
353,-482.0,592,0,1
354,-300.0,394,0,1
355,-803.0,977,0,1
356,-850.0,1000,1,0
357,-823.0,1000,0,0
358,-423.0,536,0,1
359,-283.0,362,0,1
360,-355.0,458,0,1
361,-658.0,802,0,1
362,-586.0,708,0,1
363,-854.0,1000,0,0
364,-819.0,1000,0,0
365,-842.0,1000,0,0
366,-444.0,563,0,1
367,-522.0,656,0,1
368,-284.0,369,0,1
369,-312.0,406,0,1
370,-548.0,683,0,1
371,-344.0,426,0,1
372,-532.0,662,0,1
373,-844.0,1000,0,0
374,-423.0,521,0,1
375,-355.0,460,0,1
376,-354.0,466,0,1
377,-275.0,363,0,1
378,-305.0,392,0,1
379,-291.0,386,0,1
380,-459.0,571,0,1
381,-479.0,586,0,1
382,-853.0,1000,0,0
383,-847.0,1000,0,0
384,-756.0,920,0,1
385,-384.0,495,0,1
386,-856.0,1000,0,0
387,-496.0,611,0,1
388,-535.0,667,0,1
389,-493.0,611,0,1
390,-376.0,473,0,1
391,-163.0,219,0,1
392,-789.0,964,0,1
393,-363.0,455,0,1
394,-423.0,508,1,1
395,-834.0,1000,0,0
396,-830.0,1000,0,0
397,-422.0,530,0,1
398,-418.0,534,0,1
399,-800.0,987,0,1
400,-612.0,733,0,1
401,-475.0,592,0,1
402,-441.0,560,0,1
403,-161.0,223,0,1
404,-319.0,401,0,1
405,-439.0,555,0,1
406,-340.0,453,0,1
407,-538.0,665,0,1
408,-463.0,584,0,1
409,-576.0,728,0,1
410,-776.0,951,0,1
411,-555.0,709,0,1
412,-855.0,1000,0,0
413,-334.0,426,0,1
414,-241.0,320,0,1
415,-335.0,443,0,1
416,-795.0,973,0,1
417,-843.0,1000,0,0
418,-716.0,866,0,1
419,-478.0,603,0,1
420,-182.0,251,0,1
421,-345.0,452,0,1
422,-234.0,316,0,1
423,-156.0,213,0,1
424,-851.0,1000,0,0
425,-412.0,521,0,1
426,-317.0,400,0,1
427,-688.0,859,0,1
428,-841.0,1000,0,0
429,-799.0,974,0,1
430,-458.0,564,0,1
431,-262.0,354,0,1
432,-184.0,257,0,1
433,-519.0,635,0,1
434,-582.0,735,0,1
435,-327.0,422,0,1
436,-861.0,1000,0,0
437,-473.0,587,0,1
438,-675.0,839,0,1
439,-604.0,736,0,1
440,-856.0,1000,0,0
441,-278.0,372,0,1
442,-420.0,555,0,1
443,-478.0,593,0,1
444,-234.0,311,0,1
445,-358.0,442,0,1
446,-789.0,960,0,1
447,-756.0,931,0,1
448,-741.0,908,0,1
449,-371.0,471,0,1
450,-847.0,1000,0,0
451,-773.0,953,0,1
452,-686.0,849,0,1
453,-806.0,987,0,1
454,-855.0,1000,0,0
455,-323.0,425,0,1
456,-256.0,334,0,1
457,-611.0,752,1,1
458,-815.0,984,1,1
459,-481.0,605,0,1
460,-286.0,380,0,1
461,-87.0,123,0,1
462,-855.0,1000,0,0
463,-732.0,911,0,1
464,-528.0,650,0,1
465,-714.0,880,0,1
466,-567.0,688,0,1
467,-307.0,389,0,1
468,-439.0,549,0,1
469,-733.0,911,0,1
470,-847.0,1000,0,0
471,-712.0,883,0,1
472,-225.0,314,0,1
473,-844.0,1000,0,0
474,-780.0,952,0,1
475,-309.0,396,0,1
476,-448.0,563,0,1
477,-563.0,696,0,1
478,-436.0,558,0,1
479,-256.0,345,0,1
480,-435.0,542,0,1
481,-782.0,964,0,1
482,-241.0,322,0,1
483,-634.0,761,0,1
484,-843.0,1000,0,0
485,-454.0,575,0,1
486,-445.0,562,0,1
487,-489.0,616,0,1
488,-849.0,1000,0,0
489,-601.0,725,0,1
490,-838.0,1000,0,0
491,-334.0,427,0,1
492,-399.0,503,0,1
493,-854.0,1000,0,0
494,-531.0,663,0,1
495,-847.0,1000,0,0
496,-323.0,411,0,1
497,-281.0,371,0,1
498,-293.0,380,0,1
499,-560.0,683,0,1
500,-376.0,490,0,1
501,-235.0,322,0,1
502,-311.0,407,0,1
503,-465.0,590,0,1
504,-528.0,656,0,1
505,-545.0,684,0,1
506,-843.0,1000,0,0
507,-403.0,495,1,1
508,-210.0,284,0,1
509,-401.0,514,0,1
510,-842.0,1000,0,0
511,-790.0,976,0,1
512,-121.0,169,0,1
513,-760.0,954,0,1
514,-850.0,1000,0,0
515,-399.0,501,0,1
516,-669.0,826,0,1
517,-796.0,964,0,1
518,-671.0,826,1,1
519,-520.0,654,0,1
520,-409.0,514,0,1
521,-820.0,1000,0,0
522,-804.0,982,0,1
523,-139.0,189,0,1
524,-428.0,529,0,1
525,-491.0,587,0,1
526,-356.0,467,0,1
527,-508.0,634,0,1
528,-358.0,462,0,1
529,-745.0,921,0,1
530,-228.0,312,0,1
531,-496.0,598,0,1
532,-300.0,388,0,1
533,-303.0,385,0,1
534,-371.0,465,0,1
535,-454.0,570,0,1
536,-322.0,409,0,1
537,-512.0,630,0,1
538,-526.0,644,0,1
539,-228.0,301,0,1
540,-254.0,334,0,1
541,-723.0,873,0,1
542,-355.0,462,0,1
543,-527.0,648,0,1
544,-364.0,466,0,1
545,-840.0,1000,0,0
546,-483.0,597,0,1
547,-321.0,421,0,1
548,-261.0,341,0,1
549,-430.0,531,0,1
550,-432.0,553,0,1
551,-361.0,468,0,1
552,-461.0,594,0,1
553,-402.0,496,0,1
554,-362.0,466,0,1
555,-501.0,624,0,1
556,-540.0,687,0,1
557,-248.0,341,0,1
558,-599.0,736,0,1
559,-474.0,584,0,1
560,-424.0,531,0,1
561,-267.0,359,0,1
562,-369.0,456,0,1
563,-573.0,718,0,1
564,-275.0,371,0,1
565,-403.0,510,0,1
566,-549.0,692,0,1
567,-855.0,1000,0,0
568,-844.0,1000,0,0
569,-588.0,721,0,1
570,-383.0,490,0,1
571,-440.0,562,0,1
572,-203.0,271,0,1
573,-740.0,920,0,1
574,-428.0,546,0,1
575,-489.0,611,0,1
576,-812.0,995,1,1
577,-853.0,1000,0,0
578,-307.0,397,0,1
579,-662.0,806,0,1
580,-63.0,95,0,1
581,-834.0,1000,0,0
582,-751.0,923,0,1
583,-553.0,682,0,1
584,-425.0,542,0,1
585,-859.0,1000,0,0
586,-243.0,318,0,1
587,-388.0,511,0,1
588,-525.0,663,0,1
589,-492.0,622,0,1
590,-434.0,554,0,1
591,-689.0,860,0,1
592,-578.0,711,0,1
593,-562.0,691,0,1
594,-464.0,579,0,1
595,-801.0,978,0,1
596,-774.0,953,0,1
597,-357.0,463,0,1
598,-474.0,588,0,1
599,-403.0,528,0,1
600,-529.0,652,0,1
601,-593.0,732,0,1
602,-454.0,577,0,1
603,-458.0,583,0,1
604,-841.0,1000,0,0
605,-589.0,738,0,1
606,-503.0,642,0,1
607,-832.0,1000,0,0
608,-493.0,590,0,1
609,-585.0,737,0,1
610,-463.0,575,0,1
611,-409.0,517,0,1
612,-417.0,536,0,1
613,-853.0,1000,0,0
614,-455.0,556,1,1
615,-854.0,1000,0,0
616,-854.0,1000,0,0
617,-849.0,1000,0,0
618,-862.0,1000,0,0
619,-481.0,599,0,1
620,-289.0,382,0,1
621,-850.0,1000,0,0
622,-823.0,997,0,1
623,-170.0,224,0,1
624,-496.0,622,0,1
625,-844.0,1000,0,0
626,-851.0,1000,0,0
627,-798.0,989,0,1
628,-608.0,739,0,1
629,-836.0,1000,0,0
630,-504.0,625,0,1
631,-543.0,671,0,1
632,-854.0,1000,1,0
633,-268.0,345,0,1
634,-396.0,509,0,1
635,-368.0,462,0,1
636,-852.0,1000,0,0
637,-515.0,627,0,1
638,-502.0,628,0,1
639,-868.0,1000,1,0
640,-801.0,974,0,1
641,-661.0,822,0,1
642,-328.0,417,0,1
643,-576.0,716,0,1
644,-631.0,762,0,1
645,-689.0,853,0,1
646,-711.0,872,0,1
647,-471.0,589,0,1
648,-305.0,388,0,1
649,-835.0,1000,0,0
650,-403.0,521,0,1
651,-480.0,582,2,1
652,-485.0,595,0,1
653,-517.0,639,0,1
654,-378.0,466,0,1
655,-493.0,605,0,1
656,-502.0,633,0,1
657,-391.0,497,0,1
658,-442.0,558,0,1
659,-790.0,968,0,1
660,-838.0,1000,0,0
661,-213.0,297,0,1
662,-440.0,550,0,1
663,-515.0,643,0,1
664,-327.0,419,0,1
665,-379.0,494,0,1
666,-265.0,347,0,1
667,-851.0,1000,0,0
668,-226.0,303,0,1
669,-486.0,601,0,1
670,-522.0,657,0,1
671,-853.0,1000,0,0
672,-341.0,448,0,1
673,-346.0,448,0,1
674,-848.0,1000,1,0
675,-815.0,993,0,1
676,-453.0,563,0,1
677,-640.0,796,0,1
678,-818.0,992,0,1
679,-771.0,947,0,1
680,-504.0,625,0,1
681,-307.0,392,0,1
682,-418.0,538,0,1
683,-350.0,446,0,1
684,-200.0,259,0,1
685,-854.0,1000,0,0
686,-346.0,429,0,1
687,-427.0,523,0,1
688,-329.0,437,0,1
689,-757.0,933,0,1
690,-138.0,196,0,1
691,-330.0,417,0,1
692,-783.0,980,0,1
693,-392.0,489,0,1
694,-618.0,757,0,1
695,-394.0,509,0,1
696,-534.0,653,0,1
697,-762.0,941,0,1
698,-786.0,964,0,1
699,-768.0,948,0,1
700,-211.0,293,0,1
701,-573.0,695,0,1
702,-559.0,690,0,1
703,-836.0,1000,0,0
704,-459.0,581,0,1
705,-800.0,966,0,1
706,-299.0,392,0,1
707,-811.0,996,0,1
708,-457.0,579,0,1
709,-845.0,1000,0,0
710,-620.0,760,1,1
711,-361.0,454,0,1
712,-796.0,977,0,1
713,-683.0,851,0,1
714,-219.0,299,0,1
715,-587.0,712,0,1
716,-499.0,625,0,1
717,-842.0,1000,0,0
718,-772.0,949,0,1
719,-446.0,532,0,1
720,-292.0,382,0,1
721,-433.0,550,0,1
722,-841.0,1000,0,0
723,-844.0,1000,0,0
724,-569.0,696,0,1
725,-837.0,1000,0,0
726,-864.0,1000,0,0
727,-664.0,827,0,1
728,-567.0,697,0,1
729,-308.0,401,0,1
730,-428.0,538,0,1
731,-388.0,483,0,1
732,-379.0,489,0,1
733,-445.0,567,0,1
734,-832.0,1000,0,0
735,-836.0,1000,0,0
736,-479.0,600,0,1
737,-354.0,462,0,1
738,-268.0,365,0,1
739,-530.0,664,0,1
740,-404.0,509,0,1
741,-455.0,579,0,1
742,-266.0,346,0,1
743,-332.0,423,0,1
744,-289.0,379,0,1
745,-855.0,1000,0,0
746,-512.0,639,0,1
747,-153.0,219,0,1
748,-678.0,840,0,1
749,-847.0,1000,0,0
750,-536.0,669,0,1
751,-855.0,1000,0,0
752,-608.0,767,0,1
753,-308.0,391,0,1
754,-786.0,966,0,1
755,-485.0,593,0,1
756,-860.0,1000,0,0
757,-433.0,541,0,1
758,-853.0,1000,0,0
759,-328.0,419,0,1
760,-850.0,1000,0,0
761,-323.0,415,0,1
762,-247.0,333,0,1
763,-155.0,209,0,1
764,-492.0,586,0,1
765,-689.0,866,0,1
766,-559.0,693,0,1
767,-396.0,504,0,1
768,-859.0,1000,0,0
769,-817.0,981,1,1
770,-477.0,602,0,1
771,-457.0,563,0,1
772,-252.0,331,0,1
773,-247.0,331,0,1
774,-422.0,527,0,1
775,-399.0,513,0,1
776,-222.0,297,0,1
777,-518.0,648,0,1
778,-843.0,1000,0,0
779,-316.0,409,0,1
780,-603.0,732,0,1
781,-844.0,1000,0,0
782,-391.0,498,0,1
783,-723.0,882,0,1
784,-519.0,657,0,1
785,-837.0,1000,0,0
786,-482.0,604,0,1
787,-839.0,1000,0,0
788,-849.0,1000,0,0
789,-841.0,1000,0,0
790,-366.0,454,0,1
791,-513.0,639,0,1
792,-326.0,417,0,1
793,-252.0,332,0,1
794,-377.0,475,0,1
795,-441.0,542,0,1
796,-577.0,704,0,1
797,-189.0,257,0,1
798,-504.0,620,0,1
799,-442.0,551,0,1
800,-712.0,864,0,1
801,-415.0,525,0,1
802,-774.0,928,0,1
803,-581.0,703,0,1
804,-837.0,1000,0,0
805,-633.0,771,0,1
806,-329.0,426,0,1
807,-148.0,207,0,1
808,-451.0,581,0,1
809,-426.0,543,0,1
810,-588.0,745,0,1
811,-403.0,510,0,1
812,-352.0,445,0,1
813,-308.0,404,0,1
814,-425.0,527,0,1
815,-846.0,1000,0,0
816,-556.0,691,0,1
817,-680.0,823,0,1
818,-568.0,676,0,1
819,-422.0,527,0,1
820,-730.0,901,0,1
821,-443.0,564,0,1
822,-756.0,899,2,1
823,-427.0,535,0,1
824,-358.0,454,0,1
825,-219.0,288,0,1
826,-635.0,765,0,1
827,-210.0,284,0,1
828,-394.0,505,0,1
829,-253.0,330,0,1
830,-392.0,493,0,1
831,-443.0,559,0,1
832,-743.0,917,0,1
833,-846.0,1000,0,0
834,-515.0,642,0,1
835,-614.0,778,0,1
836,-455.0,566,0,1
837,-277.0,363,0,1
838,-316.0,408,0,1
839,-640.0,776,0,1
840,-419.0,517,0,1
841,-464.0,584,0,1
842,-782.0,955,0,1
843,-467.0,581,0,1
844,-801.0,972,2,1
845,-842.0,1000,0,0
846,-848.0,1000,0,0
847,-842.0,1000,0,0
848,-468.0,572,0,1
849,-494.0,597,0,1
850,-625.0,774,0,1
851,-339.0,435,0,1
852,-793.0,974,0,1
853,-482.0,595,0,1
854,-817.0,992,0,1
855,-539.0,675,0,1
856,-428.0,527,0,1
857,-363.0,483,0,1
858,-281.0,365,0,1
859,-758.0,927,0,1
860,-266.0,354,0,1
861,-573.0,697,0,1
862,-568.0,705,0,1
863,-298.0,392,0,1
864,-841.0,1000,0,0
865,-353.0,458,0,1
866,-458.0,573,0,1
867,-629.0,769,0,1
868,-503.0,613,0,1
869,-438.0,572,0,1
870,-433.0,530,1,1
871,-305.0,400,0,1
872,-736.0,881,0,1
873,-325.0,423,0,1
874,-803.0,978,0,1
875,-239.0,316,0,1
876,-189.0,266,0,1
877,-853.0,1000,0,0
878,-356.0,465,0,1
879,-522.0,649,0,1
880,-471.0,590,0,1
881,-373.0,455,0,1
882,-655.0,779,0,1
883,-843.0,1000,0,0
884,-726.0,898,0,1
885,-854.0,1000,0,0
886,-744.0,920,0,1
887,-580.0,740,0,1
888,-360.0,467,0,1
889,-443.0,540,0,1
890,-443.0,564,0,1
891,-838.0,1000,0,0
892,-269.0,354,0,1
893,-840.0,1000,0,0
