Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
242,-114.0,108,3,1
243,-112.0,97,4,1
244,-62.0,56,3,1
245,-62.0,56,3,1
246,-102.0,96,3,1
247,-9.0,21,1,1
248,-136.0,94,7,1
249,-157.0,142,4,1
250,4.0,8,1,1
251,-62.0,65,2,1
252,-197.0,155,7,1
253,-210.0,150,9,1
254,-29.0,32,2,1
255,-258.0,189,10,1
256,-138.0,114,5,1
257,-321.0,234,12,1
258,-46.0,40,3,1
259,-292.0,223,10,1
260,-52.0,64,1,1
261,-163.0,139,5,1
262,-95.0,62,6,1
263,-57.0,51,3,1
264,13.0,8,0,1
265,-72.0,84,1,1
266,-16.0,10,3,1
267,-30.0,15,4,1
268,-178.0,154,5,1
269,-168.0,135,6,1
270,-242.0,164,11,1
271,-130.0,124,3,1
272,-192.0,123,10,1
273,-98.0,92,3,1
274,-4.0,16,1,1
275,-96.0,90,3,1
276,15.0,6,0,1
277,-32.0,44,1,1
278,-247.0,133,15,1
279,-81.0,75,3,1
280,1.0,20,0,1
281,-7.0,28,0,1
282,-135.0,93,7,1
283,-240.0,162,11,1
284,-66.0,60,3,1
285,3.0,18,0,1
286,-100.0,85,4,1
287,-96.0,99,2,1
288,-65.0,59,3,1
289,-58.0,52,3,1
290,-128.0,104,5,1
291,-73.0,40,6,1
292,-102.0,87,4,1
293,-199.0,121,11,1
294,-48.0,42,3,1
295,-79.0,64,4,1
296,-144.0,111,6,1
297,-168.0,117,8,1
298,-26.0,38,1,1
299,-45.0,57,1,1
300,-126.0,111,4,1
301,-217.0,184,6,1
302,-33.0,45,1,1
303,-91.0,85,3,1
304,-187.0,100,12,1
305,-76.0,70,3,1
306,-181.0,130,8,1
307,-133.0,91,7,1
308,-103.0,97,3,1
309,-82.0,76,3,1
310,-80.0,56,5,1
311,-17.0,29,1,1
312,-110.0,86,5,1
313,-124.0,100,5,1
314,-162.0,129,6,1
315,-206.0,173,6,1
316,12.0,9,0,1
317,-129.0,123,3,1
318,12.0,9,0,1
319,-39.0,51,1,1
320,-92.0,95,2,1
321,-24.0,27,2,1
322,-165.0,114,8,1
323,-186.0,171,4,1
324,12.0,9,0,1
325,-89.0,83,3,1
326,3.0,18,0,1
327,-192.0,150,7,1
328,-292.0,187,14,1
329,-118.0,112,3,1
330,-152.0,119,6,1
331,6.0,15,0,1
332,3.0,18,0,1
333,-56.0,59,2,1
334,12.0,9,0,1
335,-75.0,87,1,1
336,-181.0,148,6,1
337,-98.0,74,5,1
338,10.0,11,0,1
339,-13.0,16,2,1
340,0.0,12,1,1
341,-146.0,140,3,1
342,-32.0,35,2,1
343,-210.0,177,6,1
344,-73.0,76,2,1
345,-195.0,162,6,1
346,-103.0,97,3,1
347,-54.0,48,3,1
348,-6.0,27,0,1
349,4.0,17,0,1
350,-50.0,71,0,1
351,-59.0,53,3,1
352,-105.0,72,6,1
353,-97.0,100,2,1
354,-202.0,124,11,1
355,4.0,17,0,1
356,-150.0,117,6,1
357,-89.0,83,3,1
358,-13.0,34,0,1
359,-18.0,21,2,1
360,-96.0,81,4,1
361,1.0,20,0,1
362,-173.0,131,7,1
363,12.0,9,0,1
364,-102.0,87,4,1
365,11.0,10,0,1
366,-55.0,58,2,1
367,8.0,13,0,1
368,-78.0,81,2,1
369,-2.0,14,1,1
370,-111.0,96,4,1
371,-180.0,102,11,1
372,5.0,16,0,1
373,-31.0,52,0,1
374,-167.0,143,5,1
375,-70.0,46,5,1
376,-170.0,101,10,1
377,10.0,11,0,1
378,-67.0,43,5,1
379,-52.0,55,2,1
380,-61.0,55,3,1
381,-70.0,46,5,1
382,-11.0,32,0,1
383,-42.0,54,1,1
384,-98.0,92,3,1
385,-85.0,79,3,1
386,-74.0,68,3,1
