Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
195,-1275.0,549,83,1,0
196,-1303.0,487,93,1,0
197,-2296.0,1000,144,0,0
198,-1586.0,689,102,1,0
199,-1181.0,482,80,1,0
200,-1100.0,410,79,1,0
201,-2305.0,1000,145,0,0
202,-1509.0,567,107,1,0
203,-2368.0,1000,152,0,0
204,-1072.0,445,72,1,0
205,-1325.0,527,91,1,0
206,-1171.0,499,77,1,0
207,-1108.0,490,71,1,0
208,-378.0,147,28,1,0
209,-833.0,332,58,1,0
210,-2324.0,932,157,1,0
211,-2209.0,925,145,1,0
212,-2359.0,1000,151,0,0
213,-2413.0,1000,157,0,0
214,-2350.0,1000,150,0,0
215,-2431.0,1000,159,0,0
216,-2124.0,867,142,1,0
217,-789.0,315,55,1,0
218,-974.0,437,62,1,0
219,-2368.0,940,161,1,0
220,-2404.0,1000,156,0,0
221,-2395.0,1000,155,0,0
222,-990.0,426,65,1,0
223,-801.0,336,54,1,0
224,-1211.0,485,83,1,0
225,-1431.0,525,103,1,0
226,-1125.0,462,76,1,0
227,-613.0,238,44,1,0
228,-2388.0,969,160,1,0
229,-1465.0,604,98,1,0
230,-1425.0,555,99,1,0
231,-1099.0,436,76,1,0
232,-718.0,262,53,1,0
233,-2350.0,1000,150,0,0
234,-2445.0,999,163,1,0
235,-526.0,196,39,1,0
236,-958.0,358,69,1,0
237,-1607.0,692,104,1,0
238,-1749.0,744,114,1,0
239,-2463.0,999,165,1,0
240,-1103.0,422,78,1,0
241,-1149.0,450,80,1,0
242,-951.0,378,66,1,0
243,-1799.0,767,117,1,0
244,-2368.0,1000,152,0,0
245,-941.0,386,64,1,0
246,-2431.0,1000,159,0,0
247,-2296.0,1000,144,0,0
248,-2323.0,1000,147,0,0
249,-1253.0,482,88,1,0
250,-2395.0,1000,155,0,0
251,-2209.0,925,145,1,0
252,-2262.0,888,155,1,0
253,-1435.0,538,102,1,0
254,-832.0,340,57,1,0
255,-1356.0,558,91,1,0
256,-1659.0,726,106,1,0
257,-924.0,378,63,1,0
258,-2122.0,901,138,1,0
259,-1629.0,660,110,1,0
260,-2431.0,1000,159,0,0
261,-1447.0,595,97,1,0
262,-2503.0,1000,167,0,0
263,-482.0,206,33,1,0
264,-510.0,189,38,1,0
265,-1295.0,560,84,1,0
266,-639.0,282,42,1,0
267,-612.0,237,44,1,0
268,-2386.0,1000,154,0,0
269,-2269.0,1000,141,0,0
270,-2512.0,1000,168,0,0
271,-1582.0,613,110,1,0
272,-1151.0,470,78,1,0
273,-2350.0,1000,150,0,0
274,-2311.0,991,149,1,0
275,-828.0,327,58,1,0
276,-570.0,267,36,1,0
277,-1428.0,603,94,1,0
278,-765.0,300,54,1,0
279,-1603.0,652,108,1,0
280,-2305.0,1000,145,0,0
281,-916.0,406,59,1,0
282,-2095.0,802,146,1,0
283,-1410.0,549,98,1,0
284,-1848.0,789,120,1,0
285,-2593.0,1000,177,0,0
286,-1011.0,339,77,1,0
287,-2215.0,1000,135,0,0
288,-1830.0,807,116,1,0
289,-1020.0,384,73,1,0
290,-2434.0,988,163,1,0
291,-2402.0,983,160,1,0
292,-2350.0,1000,150,0,0
293,-1630.0,679,108,1,0
294,-907.0,352,64,1,0
295,-1320.0,522,91,1,0
296,-2114.0,857,142,1,0
297,-1043.0,398,74,1,0
298,-2323.0,1000,147,0,0
299,-1374.0,522,97,1,0
300,-2593.0,1000,177,0,0
301,-956.0,410,63,1,0
302,-2341.0,1000,149,0,0
303,-1363.0,556,92,1,0
304,-2306.0,950,153,1,0
305,-1026.0,417,70,1,0
306,-1306.0,544,87,1,0
307,-2269.0,1000,141,0,0
308,-769.0,295,55,1,0
309,-1386.0,588,91,1,0
310,-2296.0,1000,144,0,0
311,-2318.0,962,153,1,0
312,-1567.0,742,94,1,0
313,-1669.0,655,115,1,0
314,-1528.0,631,102,1,0
315,-1658.0,680,111,1,0
316,-1444.0,610,95,1,0
317,-2377.0,1000,153,0,0
318,-2359.0,1000,151,0,0
319,-2368.0,1000,152,0,0
320,-1151.0,452,80,1,0
321,-1263.0,501,87,1,0
322,-1654.0,703,108,1,0
323,-2368.0,1000,152,0,0
324,-1159.0,487,77,1,0
325,-2072.0,797,144,1,0
326,-1278.0,534,85,1,0
327,-2269.0,1000,141,0,0
328,-1308.0,528,89,1,0
329,-2323.0,1000,147,0,0
330,-2444.0,989,164,1,0
331,-1049.0,413,73,1,0
332,-2424.0,987,162,1,0
333,-2119.0,862,142,1,0
334,-732.0,312,49,1,0
335,-1978.0,775,136,1,0
336,-2260.0,1000,140,0,0
337,-1987.0,766,138,1,0
338,-2341.0,1000,149,0,0
339,-2602.0,1000,178,0,0
340,-1200.0,438,87,1,0
341,-1638.0,642,113,1,0
342,-2278.0,1000,142,0,0
343,-1205.0,452,86,1,0
344,-765.0,300,54,1,0
345,-701.0,263,51,1,0
346,-1653.0,648,114,1,0
347,-1344.0,537,92,1,0
348,-2311.0,919,157,1,0
349,-2215.0,913,147,1,0
350,-1123.0,442,78,1,0
351,-318.0,141,22,1,0
352,-2359.0,1000,151,0,0
353,-2440.0,1000,160,0,0
354,-1193.0,431,87,1,0
355,-1355.0,548,92,1,0
356,-2424.0,978,163,1,0
357,-2341.0,958,156,1,0
358,-2239.0,928,148,1,0
359,-964.0,418,63,1,0
360,-837.0,309,61,1,0
361,-1379.0,518,98,1,0
362,-1431.0,570,98,1,0
363,-1564.0,631,106,1,0
364,-2012.0,791,138,1,0
365,-1296.0,507,90,1,0
366,-1143.0,507,73,1,0
367,-2332.0,1000,148,0,0
368,-1016.0,443,66,1,0
369,-626.0,269,42,1,0
370,-2449.0,1000,161,0,0
371,-950.0,368,67,1,0
372,-990.0,426,65,1,0
373,-1393.0,505,101,1,0
374,-2177.0,830,152,1,0
375,-2395.0,1000,155,0,0
376,-1034.0,398,73,1,0
377,-1184.0,539,74,1,0
378,-882.0,345,62,1,0
379,-1000.0,373,72,1,0
380,-1044.0,435,70,1,0
381,-868.0,349,60,1,0
382,-2227.0,862,154,1,0
383,-1835.0,785,119,1,0
384,-967.0,385,67,1,0
385,-1557.0,633,105,1,0
386,-2413.0,1000,157,0,0
387,-1413.0,570,96,1,0
388,-2332.0,1000,148,0,0
389,-2440.0,1000,160,0,0
