Agent,Environment,MeanReward,StdReward,MeanSteps,StdSteps,MeanFailures,StdFailures,MeanSuccesses,StdSuccesses,MeanRollbacks,StdRollbacks
Baseline,Taxi-v3,-1610.3410,565.5112,658.2820,235.5818,107.7630,36.5962,0.8480,0.3590,0.0000,0.0000
RollbackOnly,Taxi-v3,-367.0790,151.9707,974.8250,107.6481,0.1380,0.4593,0.0770,0.2666,607.3710,133.8950
PrecedenceOnly,Taxi-v3,-1637.6630,621.5747,672.0050,264.2021,109.0710,39.4952,0.7610,0.4265,0.0000,0.0000
ThresholdOnly,Taxi-v3,-1613.2860,567.5875,661.4100,240.7218,107.6890,36.1913,0.8250,0.3800,0.0000,0.0000
FullModel,Taxi-v3,-549.2100,227.1491,674.2660,257.4883,0.0630,0.2511,0.7680,0.4221,109.4950,38.2382
