Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
183,-798.0,984,0,1,165,True
184,-186.0,259,0,1,52,True
185,-286.0,373,0,1,66,True
186,-620.0,731,0,1,90,True
187,-556.0,686,0,1,109,True
188,-791.0,968,0,1,156,True
189,-439.0,548,0,1,88,True
190,-1200.0,1396,0,1,175,True
191,-1025.0,1223,0,1,177,True
192,-280.0,372,0,1,71,True
193,-471.0,590,0,1,98,True
194,-234.0,313,0,1,58,True
195,-402.0,506,0,1,83,True
196,-810.0,990,0,1,159,True
197,-935.0,1123,0,1,167,True
198,-813.0,1005,0,1,171,True
199,-407.0,498,0,1,70,True
200,-482.0,602,0,1,99,True
201,-519.0,647,0,1,107,True
202,-448.0,567,0,1,98,True
203,-443.0,544,0,1,80,True
204,-451.0,576,0,1,104,True
205,-387.0,499,0,1,91,True
206,-570.0,705,0,1,114,True
207,-435.0,544,0,1,88,True
208,-386.0,487,1,1,89,True
209,-355.0,441,0,1,65,True
210,-473.0,599,0,1,105,True
211,-412.0,520,0,1,87,True
212,-881.0,1071,0,1,169,True
213,-827.0,1004,0,1,156,True
214,-623.0,750,0,1,106,True
215,-854.0,1036,0,1,161,True
216,-679.0,843,0,1,143,True
217,-201.0,270,0,1,48,True
218,-436.0,554,0,1,97,True
219,-1021.0,1203,0,1,161,True
220,-1028.0,1206,1,1,166,True
221,-959.0,1141,0,1,161,True
222,-340.0,437,0,1,76,True
223,-422.0,530,0,1,87,True
224,-568.0,685,0,1,96,True
225,-447.0,574,0,1,106,True
226,-638.0,776,0,1,117,True
227,-306.0,402,0,1,75,True
228,-495.0,618,0,1,102,True
229,-697.0,867,0,1,149,True
230,-299.0,389,0,1,69,True
231,-416.0,534,0,1,97,True
232,-134.0,185,0,1,30,True
233,-912.0,1090,0,1,157,True
234,-264.0,346,0,1,61,True
235,-232.0,310,0,1,57,True
236,-576.0,713,0,1,116,True
237,-564.0,701,0,1,116,True
238,-465.0,597,0,1,111,True
239,-673.0,822,0,1,128,True
240,-301.0,405,0,1,83,True
241,-493.0,595,0,1,81,True
242,-244.0,321,0,1,56,True
243,-518.0,625,2,1,104,True
244,-819.0,998,0,1,158,True
245,-403.0,513,0,1,89,True
246,-811.0,987,0,1,155,True
247,-637.0,794,0,1,136,True
248,-546.0,666,0,1,99,True
249,-752.0,924,0,1,151,True
250,-188.0,253,0,1,44,True
251,-735.0,906,0,1,150,True
252,-366.0,474,0,1,87,True
253,-461.0,579,0,1,97,True
254,-234.0,315,0,1,60,True
255,-127.0,167,0,1,19,True
256,-376.0,476,0,1,79,True
257,-372.0,457,0,1,64,True
258,-405.0,513,0,1,87,True
259,-445.0,563,0,1,97,True
260,-672.0,840,0,1,147,True
261,-594.0,716,0,1,101,True
262,-498.0,624,0,1,105,True
263,-193.0,265,0,1,51,True
264,-200.0,273,0,1,52,True
265,-470.0,570,0,1,79,True
266,-436.0,555,0,1,98,True
267,-283.0,373,0,1,69,True
268,-448.0,551,0,1,82,True
269,-902.0,1082,0,1,159,True
270,-284.0,364,0,1,59,True
271,-432.0,527,0,1,74,True
272,-429.0,542,0,1,92,True
273,-1153.0,1393,0,1,219,True
274,-789.0,965,0,1,155,True
275,-412.0,533,0,1,100,True
276,-547.0,680,0,1,112,True
277,-297.0,393,0,1,75,True
278,-363.0,457,0,1,73,True
279,-590.0,760,0,1,149,True
280,-531.0,650,0,1,98,True
281,-318.0,409,0,1,70,True
282,-301.0,384,0,1,62,True
283,-459.0,582,0,1,102,True
284,-740.0,915,0,1,154,True
285,-761.0,939,0,1,157,True
286,-364.0,470,0,1,85,True
287,-596.0,740,0,1,123,True
288,-834.0,1008,1,1,162,True
289,-934.0,1109,0,1,154,True
290,-565.0,714,0,1,128,True
291,-698.0,866,0,1,147,True
292,-708.0,867,1,1,147,True
293,-704.0,848,0,1,123,True
294,-260.0,347,0,1,66,True
295,-479.0,594,0,1,94,True
296,-711.0,888,0,1,156,True
297,-407.0,510,0,1,82,True
298,-542.0,658,0,1,95,True
299,-583.0,721,0,1,117,True
300,-942.0,1128,0,1,165,True
301,-833.0,1005,0,1,151,True
302,-902.0,1081,0,1,158,True
303,-442.0,565,0,1,102,True
304,-702.0,882,0,1,159,True
305,-468.0,560,1,1,80,True
306,-326.0,426,0,1,79,True
307,-794.0,964,0,1,149,True
308,-389.0,480,0,1,70,True
309,-474.0,592,0,1,97,True
310,-589.0,734,0,1,124,True
311,-907.0,1086,0,1,158,True
312,-373.0,477,0,1,83,True
313,-481.0,600,0,1,98,True
314,-530.0,656,0,1,105,True
315,-857.0,1051,0,1,173,True
316,-363.0,468,0,1,84,True
317,-475.0,604,0,1,108,True
318,-425.0,545,0,1,99,True
319,-1204.0,1443,0,1,218,True
320,-860.0,1041,0,1,160,True
321,-244.0,323,0,1,58,True
322,-383.0,474,0,1,70,True
323,-654.0,824,0,1,149,True
324,-288.0,373,0,1,64,True
325,-464.0,573,0,1,88,True
326,-494.0,609,0,1,94,True
327,-736.0,889,0,1,132,True
328,-565.0,703,0,1,117,True
329,-887.0,1072,0,1,164,True
330,-812.0,1003,0,1,170,True
331,-308.0,397,0,1,68,True
332,-919.0,1092,1,1,161,True
333,-578.0,698,1,1,108,True
334,-380.0,488,0,1,87,True
335,-466.0,577,0,1,90,True
336,-830.0,1007,0,1,156,True
337,-669.0,841,0,1,151,True
338,-516.0,652,0,1,115,True
339,-584.0,717,0,1,112,True
340,-313.0,420,0,1,86,True
341,-632.0,767,0,1,114,True
342,-994.0,1173,0,1,158,True
343,-817.0,993,0,1,155,True
344,-352.0,453,0,1,80,True
345,-286.0,365,0,1,58,True
346,-904.0,1090,0,1,165,True
347,-862.0,1046,0,1,163,True
348,-1069.0,1262,0,1,172,True
349,-935.0,1115,0,1,159,True
350,-254.0,342,0,1,67,True
351,-928.0,1126,0,1,177,True
352,-787.0,977,0,1,169,True
353,-450.0,555,0,1,84,True
354,-310.0,413,0,1,82,True
355,-324.0,424,0,1,79,True
356,-416.0,530,0,1,93,True
357,-819.0,1001,0,1,161,True
358,-314.0,394,0,1,59,True
359,-217.0,291,0,1,53,True
360,-319.0,408,0,1,68,True
361,-388.0,476,0,1,67,True
362,-1219.0,1454,0,1,214,True
363,-788.0,957,1,1,157,True
364,-455.0,576,0,1,100,True
365,-413.0,540,0,1,106,True
366,-449.0,534,1,1,73,True
367,-967.0,1158,1,1,179,True
368,-409.0,521,0,1,91,True
369,-234.0,314,0,1,59,True
370,-608.0,738,0,1,109,True
371,-288.0,372,0,1,63,True
372,-407.0,528,0,1,100,True
373,-410.0,497,0,1,66,True
374,-506.0,626,0,1,99,True
375,-865.0,1042,0,1,156,True
376,-421.0,532,0,1,90,True
377,-346.0,447,0,1,80,True
378,-336.0,429,0,1,72,True
379,-198.0,275,0,1,56,True
380,-381.0,473,0,1,71,True
381,-404.0,514,0,1,89,True
382,-374.0,473,0,1,78,True
383,-587.0,716,0,1,108,True
384,-532.0,674,0,1,121,True
385,-403.0,511,0,1,87,True
386,-1026.0,1219,0,1,172,True
387,-477.0,584,0,1,86,True
388,-784.0,962,0,1,157,True
389,-652.0,818,0,1,145,True
390,-409.0,512,0,1,82,True
391,-1284.0,1500,0,0,216,False
392,-783.0,968,0,1,164,True
393,-514.0,641,0,1,106,True
394,-152.0,210,0,1,37,True
395,-653.0,792,0,1,118,True
396,-513.0,634,0,1,100,True
397,-390.0,498,0,1,87,True
398,-220.0,294,0,1,53,True
399,-543.0,684,0,1,120,True
400,-699.0,847,0,1,127,True
401,-607.0,741,0,1,113,True
402,-847.0,1029,0,1,161,True
403,-114.0,161,0,1,26,True
404,-520.0,644,0,1,103,True
405,-449.0,554,0,1,84,True
406,-299.0,397,0,1,77,True
407,-492.0,600,1,1,96,True
408,-431.0,548,0,1,96,True
409,-1075.0,1269,0,1,173,True
410,-1058.0,1250,0,1,171,True
411,-914.0,1098,0,1,163,True
412,-196.0,267,0,1,50,True
413,-325.0,423,0,1,77,True
414,-254.0,341,0,1,66,True
415,-468.0,580,0,1,91,True
416,-555.0,703,0,1,127,True
417,-1292.0,1500,0,0,208,False
418,-804.0,969,1,1,153,True
419,-920.0,1107,0,1,166,True
420,-179.0,252,0,1,52,True
421,-511.0,633,0,1,101,True
422,-362.0,460,0,1,77,True
423,-933.0,1148,0,1,194,True
424,-598.0,731,0,1,112,True
425,-1058.0,1253,0,1,174,True
426,-439.0,544,0,1,84,True
427,-859.0,1032,0,1,152,True
428,-345.0,448,0,1,82,True
429,-506.0,631,0,1,104,True
430,-380.0,486,0,1,85,True
431,-409.0,524,0,1,94,True
432,-273.0,367,0,1,73,True
433,-308.0,394,0,1,65,True
434,-647.0,802,0,1,134,True
435,-1080.0,1301,0,1,200,True
436,-812.0,987,0,1,154,True
437,-201.0,266,0,1,44,True
438,-353.0,452,0,1,78,True
439,-762.0,940,0,1,157,True
440,-736.0,915,0,1,158,True
441,-318.0,403,0,1,64,True
442,-244.0,315,0,1,50,True
443,-710.0,890,0,1,159,True
444,-425.0,543,0,1,97,True
445,-308.0,390,0,1,61,True
446,-441.0,546,0,1,84,True
447,-619.0,758,0,1,118,True
448,-553.0,681,0,1,107,True
449,-1038.0,1244,0,1,185,True
450,-932.0,1118,0,1,165,True
451,-363.0,483,0,1,99,True
452,-859.0,1030,0,1,150,True
453,-812.0,998,0,1,165,True
454,-824.0,1011,0,1,166,True
455,-222.0,304,0,1,61,True
456,-490.0,600,0,1,89,True
457,-492.0,613,0,1,100,True
458,-592.0,720,0,1,107,True
459,-581.0,726,0,1,124,True
460,-212.0,296,0,1,63,True
461,-316.0,423,0,1,86,True
462,-462.0,599,0,1,116,True
463,-587.0,743,0,1,135,True
464,-271.0,364,0,1,72,True
465,-942.0,1127,0,1,164,True
466,-363.0,459,0,1,75,True
467,-657.0,830,0,1,152,True
468,-470.0,575,0,1,84,True
469,-822.0,1005,0,1,162,True
470,-500.0,604,0,1,83,True
471,-746.0,883,0,1,116,True
472,-189.0,259,0,1,49,True
473,-754.0,946,0,1,171,True
474,-610.0,774,0,1,143,True
475,-369.0,472,0,1,82,True
476,-727.0,884,1,1,145,True
477,-502.0,623,0,1,100,True
478,-735.0,916,0,1,160,True
479,-333.0,428,0,1,74,True
480,-462.0,590,0,1,107,True
481,-312.0,408,0,1,75,True
482,-415.0,521,0,1,85,True
483,-493.0,603,0,1,89,True
484,-913.0,1086,1,1,161,True
485,-548.0,668,0,1,99,True
486,-414.0,523,0,1,88,True
487,-405.0,516,0,1,90,True
488,-697.0,862,0,1,144,True
489,-837.0,1017,0,1,159,True
490,-803.0,980,0,1,156,True
491,-240.0,316,0,1,55,True
