Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
197,-2370.0,969,158,1,True
198,-1543.0,628,104,1,True
199,-1312.0,541,88,1,True
200,-1047.0,474,66,1,True
201,-843.0,351,57,1,True
202,-2030.0,854,133,1,True
203,-1063.0,463,69,1,True
204,-2683.0,1219,165,1,True
205,-1767.0,717,119,1,True
206,-1512.0,642,99,1,True
207,-1262.0,527,84,1,True
208,-1058.0,440,71,1,True
209,-1005.0,378,72,1,True
210,-1669.0,673,113,1,True
211,-1235.0,491,85,1,True
212,-2583.0,1083,169,1,True
213,-2025.0,813,137,1,True
214,-1682.0,668,115,1,True
215,-1842.0,801,118,1,True
216,-1483.0,622,98,1,True
217,-886.0,331,64,1,True
218,-964.0,400,65,1,True
219,-257.0,134,16,1,True
220,-2415.0,1014,158,1,True
221,-1318.0,520,91,1,True
222,-317.0,140,22,1,True
223,-1397.0,563,95,1,True
224,-1106.0,452,75,1,True
225,-2528.0,1046,167,1,True
226,-1685.0,761,105,1,True
227,-1047.0,420,72,1,True
228,-977.0,368,70,1,True
229,-1285.0,469,93,1,True
230,-2566.0,1084,167,1,True
231,-1858.0,727,128,1,True
232,-724.0,295,50,1,True
233,-2338.0,982,153,1,True
234,-1409.0,566,96,1,True
235,-693.0,264,50,1,True
236,-1244.0,572,77,1,True
237,-2465.0,1055,159,1,True
238,-1538.0,614,105,1,True
239,-2316.0,933,156,1,True
240,-1216.0,463,86,1,True
241,-1425.0,537,101,1,True
242,-1043.0,470,66,1,True
243,-2464.0,1027,162,1,True
244,-2414.0,959,164,1,True
245,-996.0,351,74,1,True
246,-2377.0,949,161,1,True
247,-1704.0,726,111,1,True
248,-2470.0,1060,159,1,True
249,-1025.0,461,65,1,True
250,-1829.0,788,118,1,True
251,-1519.0,604,104,1,True
252,-881.0,353,61,1,True
253,-1705.0,709,113,1,True
254,-1335.0,510,94,1,True
255,-917.0,344,66,1,True
256,-1243.0,490,86,1,True
257,-2549.0,1022,172,1,True
258,-1259.0,488,88,1,True
259,-2735.0,1163,177,1,True
260,-2559.0,1113,163,1,True
261,-1905.0,774,128,1,True
262,-2263.0,934,150,1,True
263,-562.0,223,40,1,True
264,-587.0,221,43,1,True
265,-604.0,229,44,1,True
266,-824.0,296,61,1,True
267,-424.0,184,29,1,True
268,-1675.0,679,113,1,True
269,-2267.0,911,153,1,True
270,-1082.0,518,65,1,True
271,-1297.0,571,83,1,True
272,-1099.0,472,72,1,True
273,-1642.0,709,106,1,True
274,-2303.0,911,157,1,True
275,-973.0,409,65,1,True
276,-356.0,152,25,1,True
277,-931.0,367,65,1,True
278,-1041.0,396,74,1,True
279,-3218.0,1331,212,1,True
280,-1684.0,652,117,1,True
281,-886.0,349,62,1,True
282,-1714.0,646,121,1,True
283,-2456.0,992,165,1,True
284,-1482.0,585,102,1,True
285,-1492.0,568,105,1,True
286,-1182.0,474,81,1,True
287,-2477.0,1004,166,1,True
288,-1417.0,574,96,1,True
289,-1156.0,448,81,1,True
290,-2511.0,1056,164,1,True
291,-1665.0,633,117,1,True
292,-1618.0,640,111,1,True
293,-2682.0,1245,162,1,True
294,-1406.0,563,96,1,True
295,-1512.0,606,103,1,True
296,-1488.0,618,99,1,True
297,-1200.0,456,85,1,True
298,-2679.0,1206,166,1,True
299,-1795.0,691,125,1,True
300,-2406.0,969,162,1,True
301,-1442.0,572,99,1,True
302,-2176.0,856,149,1,True
303,-2484.0,1101,156,1,True
304,-1812.0,780,117,1,True
305,-1067.0,422,74,1,True
306,-657.0,237,49,1,True
307,-3389.0,1457,217,1,True
308,-1026.0,390,73,1,True
309,-1145.0,491,75,1,True
310,-1712.0,707,114,1,True
311,-2211.0,963,141,1,True
312,-1134.0,462,77,1,True
313,-2493.0,1056,162,1,True
314,-1342.0,499,96,1,True
315,-2475.0,1065,159,1,True
316,-420.0,171,30,1,True
317,-2097.0,912,134,1,True
318,-2300.0,962,151,1,True
319,-2255.0,926,150,1,True
320,-2236.0,952,145,1,True
321,-1085.0,431,75,1,True
322,-1116.0,489,72,1,True
323,-2302.0,892,159,1,True
324,-421.0,208,26,1,True
325,-1203.0,495,81,1,True
326,-1622.0,734,101,1,True
327,-1580.0,656,105,1,True
328,-1270.0,472,91,1,True
329,-1672.0,685,112,1,True
330,-2291.0,989,147,1,True
331,-473.0,170,36,1,True
332,-2518.0,1072,163,1,True
333,-2379.0,1023,153,1,True
334,-749.0,293,53,1,True
335,-1300.0,538,87,1,True
336,-3337.0,1423,215,1,True
337,-1814.0,728,123,1,True
338,-2168.0,866,147,1,True
339,-3410.0,1433,222,1,True
340,-1251.0,462,90,1,True
341,-1584.0,660,105,1,True
342,-2003.0,782,138,1,True
343,-1421.0,587,95,1,True
344,-908.0,362,63,1,True
345,-1229.0,422,92,1,True
346,-1499.0,647,97,1,True
347,-1432.0,571,98,1,True
348,-2485.0,1057,161,1,True
349,-2007.0,795,137,1,True
350,-1289.0,554,84,1,True
351,-1132.0,478,75,1,True
352,-1982.0,788,135,1,True
353,-1450.0,643,92,1,True
354,-1262.0,527,84,1,True
355,-1102.0,403,80,1,True
356,-1560.0,582,111,1,True
357,-2200.0,871,150,1,True
358,-1690.0,703,112,1,True
359,-764.0,290,55,1,True
360,-975.0,393,67,1,True
361,-1011.0,447,65,1,True
362,-1584.0,651,106,1,True
363,-2300.0,881,160,1,True
364,-2483.0,1019,165,1,True
365,-1532.0,608,105,1,True
366,-1472.0,593,100,1,True
367,-2179.0,886,146,1,True
368,-1050.0,441,70,1,True
369,-2542.0,1105,162,1,True
370,-1336.0,520,93,1,True
371,-886.0,340,63,1,True
372,-1532.0,626,103,1,True
373,-1365.0,594,88,1,True
374,-1173.0,465,81,1,True
375,-1830.0,717,126,1,True
376,-1344.0,555,90,1,True
377,-925.0,361,65,1,True
378,-871.0,343,61,1,True
379,-1290.0,492,91,1,True
380,-1106.0,470,73,1,True
381,-990.0,372,71,1,True
382,-1630.0,652,111,1,True
383,-3415.0,1492,216,1,True
384,-1336.0,592,85,1,True
385,-1582.0,676,103,1,True
386,-2537.0,1046,168,1,True
387,-1156.0,466,79,1,True
388,-1418.0,575,96,1,True
389,-1217.0,473,85,1,True
390,-1013.0,377,73,1,True
391,-572.0,269,36,1,True
392,-2200.0,862,151,1,True
393,-1143.0,444,80,1,True
394,-857.0,320,62,1,True
395,-2072.0,860,137,1,True
396,-1621.0,634,112,1,True
397,-2359.0,931,161,1,True
398,-676.0,247,50,1,True
399,-2762.0,1244,171,1,True
400,-1558.0,652,103,1,True
