Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
174,-2747.0,1202,174,1,0,True
175,-1644.0,684,109,1,0,True
176,-1389.0,555,95,1,0,True
177,-963.0,399,65,1,0,True
178,-1607.0,656,108,1,0,True
179,-1858.0,709,130,1,0,True
180,-3408.0,1500,212,0,0,False
181,-1095.0,504,68,1,0,True
182,-3018.0,1338,189,1,0,True
183,-1880.0,812,121,1,0,True
184,-836.0,326,59,1,0,True
185,-1170.0,408,87,1,0,True
186,-3385.0,1363,227,1,0,True
187,-2443.0,1042,158,1,0,True
188,-2275.0,928,152,1,0,True
189,-1758.0,735,116,1,0,True
190,-1467.0,651,93,1,0,True
191,-1696.0,691,114,1,0,True
192,-1075.0,439,73,1,0,True
193,-2578.0,1123,164,1,0,True
194,-1870.0,766,125,1,0,True
195,-833.0,332,58,1,0,True
196,-1232.0,470,87,1,0,True
197,-2601.0,1128,166,1,0,True
198,-2392.0,1045,152,1,0,True
199,-1249.0,541,81,1,0,True
200,-2355.0,945,159,1,0,True
201,-1919.0,752,132,1,0,True
202,-2491.0,1036,164,1,0,True
203,-1441.0,607,95,1,0,True
204,-1891.0,814,122,1,0,True
205,-889.0,361,61,1,0,True
206,-1653.0,693,109,1,0,True
207,-1114.0,487,72,1,0,True
208,-1285.0,595,79,1,0,True
209,-1106.0,443,76,1,0,True
210,-1493.0,623,99,1,0,True
211,-626.0,242,45,1,0,True
212,-2455.0,1000,164,1,0,True
213,-2432.0,1004,161,1,0,True
214,-2587.0,1132,164,1,0,True
215,-2173.0,907,143,1,0,True
216,-1619.0,623,113,1,0,True
217,-964.0,382,67,1,0,True
218,-1328.0,521,92,1,0,True
219,-1379.0,545,95,1,0,True
220,-2573.0,1100,166,1,0,True
221,-2472.0,1035,162,1,0,True
222,-669.0,240,50,1,0,True
223,-1388.0,563,94,1,0,True
224,-1453.0,556,102,1,0,True
225,-2404.0,994,159,1,0,True
226,-2123.0,911,137,1,0,True
227,-935.0,344,68,1,0,True
228,-1534.0,610,105,1,0,True
229,-2004.0,846,131,1,0,True
230,-453.0,195,31,1,0,True
231,-1391.0,521,99,1,0,True
232,-470.0,185,34,1,0,True
233,-1861.0,730,128,1,0,True
234,-1470.0,636,95,1,0,True
235,-663.0,252,48,1,0,True
236,-803.0,311,57,1,0,True
237,-1551.0,699,97,1,0,True
238,-2496.0,1041,164,1,0,True
239,-2627.0,1163,165,1,0,True
240,-764.0,290,55,1,0,True
241,-1757.0,752,114,1,0,True
242,-641.0,257,45,1,0,True
243,-2248.0,955,146,1,0,True
244,-2647.0,1183,165,1,0,True
245,-712.0,265,52,1,0,True
246,-2113.0,874,140,1,0,True
247,-1822.0,763,120,1,0,True
248,-2423.0,1040,156,1,0,True
249,-2459.0,1049,159,1,0,True
250,-176.0,98,11,1,0,True
251,-1666.0,670,113,1,0,True
252,-1459.0,544,104,1,0,True
253,-1882.0,805,122,1,0,True
254,-2111.0,827,145,1,0,True
255,-1126.0,418,81,1,0,True
256,-1214.0,515,80,1,0,True
257,-1620.0,777,96,1,0,True
258,-2628.0,1173,164,1,0,True
259,-2641.0,1213,161,1,0,True
260,-1268.0,515,86,1,0,True
261,-2533.0,1087,163,1,0,True
262,-1729.0,688,118,1,0,True
263,-555.0,216,40,1,0,True
264,-268.0,100,21,1,0,True
265,-1293.0,531,87,1,0,True
266,-1239.0,468,88,1,0,True
267,-1197.0,480,82,1,0,True
268,-968.0,368,69,1,0,True
269,-2716.0,1225,168,1,0,True
270,-1253.0,581,77,1,0,True
271,-961.0,451,59,1,0,True
272,-1480.0,601,100,1,0,True
273,-1829.0,725,125,1,0,True
274,-2444.0,1043,158,1,0,True
275,-2919.0,1212,192,1,0,True
276,-1459.0,553,103,1,0,True
277,-1023.0,405,71,1,0,True
278,-1143.0,480,76,1,0,True
279,-2201.0,881,149,1,0,True
280,-3435.0,1500,215,0,0,False
281,-595.0,202,46,1,0,True
282,-1379.0,527,97,1,0,True
283,-946.0,409,62,1,0,True
284,-2282.0,935,152,1,0,True
285,-1241.0,470,88,1,0,True
286,-2309.0,1034,144,1,0,True
287,-1726.0,694,117,1,0,True
288,-1128.0,456,77,1,0,True
289,-1086.0,432,75,1,0,True
290,-2500.0,1054,163,1,0,True
291,-3474.0,1452,227,1,0,True
292,-1719.0,696,116,1,0,True
293,-2286.0,912,155,1,0,True
294,-1187.0,452,84,1,0,True
295,-1289.0,581,81,1,0,True
296,-1251.0,525,83,1,0,True
297,-1226.0,491,84,1,0,True
298,-2583.0,1146,162,1,0,True
299,-1619.0,614,114,1,0,True
300,-2358.0,984,155,1,0,True
301,-1475.0,587,101,1,0,True
302,-1798.0,712,123,1,0,True
303,-3354.0,1500,206,0,0,False
304,-1837.0,742,124,1,0,True
305,-1210.0,493,82,1,0,True
306,-620.0,263,42,1,0,True
307,-2537.0,1019,171,1,0,True
308,-1011.0,402,70,1,0,True
309,-1284.0,513,88,1,0,True
310,-1521.0,633,101,1,0,True
311,-1591.0,622,110,1,0,True
312,-1291.0,547,85,1,0,True
313,-2470.0,1051,160,1,0,True
314,-2579.0,1124,164,1,0,True
315,-1363.0,556,92,1,0,True
316,-1207.0,544,76,1,0,True
317,-1404.0,561,96,1,0,True
318,-2658.0,1176,167,1,0,True
319,-2607.0,1152,164,1,0,True
320,-1261.0,499,87,1,0,True
321,-926.0,380,63,1,0,True
322,-1280.0,518,87,1,0,True
323,-2451.0,1095,153,1,0,True
324,-543.0,222,38,1,0,True
325,-1264.0,547,82,1,0,True
326,-812.0,329,56,1,0,True
327,-1847.0,725,127,1,0,True
328,-999.0,426,66,1,0,True
329,-1386.0,615,88,1,0,True
330,-1828.0,751,122,1,0,True
331,-671.0,251,49,1,0,True
332,-2531.0,1040,168,1,0,True
333,-1495.0,562,106,1,0,True
334,-801.0,309,57,1,0,True
335,-1128.0,420,81,1,0,True
336,-1496.0,608,101,1,0,True
337,-1246.0,484,87,1,0,True
338,-2477.0,1004,166,1,0,True
339,-1644.0,702,107,1,0,True
340,-1444.0,583,98,1,0,True
341,-1537.0,613,105,1,0,True
342,-2547.0,1110,162,1,0,True
343,-1244.0,509,84,1,0,True
344,-1120.0,403,82,1,0,True
345,-1456.0,604,97,1,0,True
346,-2511.0,1083,161,1,0,True
347,-1025.0,398,72,1,0,True
348,-1315.0,472,96,1,0,True
349,-937.0,355,67,1,0,True
350,-724.0,268,53,1,0,True
351,-1026.0,462,65,1,0,True
352,-1973.0,833,129,1,0,True
353,-2310.0,918,157,1,0,True
354,-1180.0,499,78,1,0,True
355,-2323.0,1021,147,1,0,True
356,-2438.0,1100,151,1,0,True
357,-2470.0,997,166,1,0,True
358,-989.0,371,71,1,0,True
359,-142.0,82,9,1,0,True
360,-1112.0,422,79,1,0,True
361,-1379.0,518,98,1,0,True
362,-1403.0,569,95,1,0,True
363,-2261.0,905,153,1,0,True
364,-2829.0,1257,177,1,0,True
365,-898.0,361,62,1,0,True
366,-1414.0,580,95,1,0,True
367,-1477.0,652,94,1,0,True
368,-1255.0,529,83,1,0,True
369,-3444.0,1500,216,0,0,False
370,-1609.0,631,111,1,0,True
371,-1470.0,600,99,1,0,True
372,-1632.0,699,106,1,0,True
373,-1533.0,699,95,1,0,True
374,-1636.0,649,112,1,0,True
375,-1781.0,722,120,1,0,True
376,-961.0,397,65,1,0,True
377,-1432.0,598,95,1,0,True
378,-941.0,359,67,1,0,True
379,-1056.0,402,75,1,0,True
380,-924.0,351,66,1,0,True
381,-1280.0,482,91,1,0,True
382,-1334.0,536,91,1,0,True
383,-2347.0,946,158,1,0,True
384,-542.0,212,39,1,0,True
385,-2323.0,922,158,1,0,True
386,-1805.0,764,118,1,0,True
387,-909.0,345,65,1,0,True
388,-2145.0,861,145,1,0,True
389,-1200.0,465,84,1,0,True
390,-1116.0,489,72,1,0,True
391,-349.0,181,21,1,0,True
392,-1581.0,666,104,1,0,True
393,-846.0,354,57,1,0,True
394,-1200.0,456,85,1,0,True
395,-2471.0,989,167,1,0,True
396,-1355.0,566,90,1,0,True
397,-1405.0,571,95,1,0,True
398,-872.0,335,62,1,0,True
399,-2187.0,831,153,1,0,True
400,-1307.0,554,86,1,0,True
401,-2469.0,1059,159,1,0,True
402,-3117.0,1248,210,1,0,True
403,-1237.0,484,86,1,0,True
404,-1729.0,715,115,1,0,True
405,-1181.0,446,84,1,0,True
406,-1281.0,537,85,1,0,True
407,-2646.0,1191,164,1,0,True
408,-2353.0,979,155,1,0,True
409,-2332.0,1030,147,1,0,True
410,-1529.0,614,104,1,0,True
411,-2290.0,952,151,1,0,True
412,-1404.0,579,94,1,0,True
413,-1132.0,460,77,1,0,True
414,-3377.0,1463,215,1,0,True
415,-2476.0,1057,160,1,0,True
416,-1004.0,386,71,1,0,True
417,-2600.0,1136,165,1,0,True
418,-1578.0,681,102,1,0,True
419,-1664.0,731,106,1,0,True
420,-1352.0,518,95,1,0,True
421,-1404.0,561,96,1,0,True
422,-903.0,357,63,1,0,True
423,-1500.0,585,104,1,0,True
