Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
182,-330.0,429,0,1,78,True
183,-859.0,1050,0,1,170,True
184,-309.0,403,0,1,73,True
185,-254.0,343,0,1,68,True
186,-569.0,680,0,1,90,True
187,-477.0,603,0,1,105,True
188,-1164.0,1403,0,1,218,True
189,-360.0,470,0,1,89,True
190,-577.0,702,0,1,104,True
191,-707.0,875,0,1,147,True
192,-331.0,442,0,1,90,True
193,-564.0,692,0,1,107,True
194,-815.0,987,1,1,160,True
195,-464.0,581,0,1,96,True
196,-500.0,619,0,1,98,True
197,-922.0,1112,0,1,169,True
198,-457.0,581,0,1,103,True
199,-330.0,430,0,1,79,True
200,-383.0,497,0,1,93,True
201,-939.0,1112,1,1,161,True
202,-695.0,851,0,1,135,True
203,-542.0,669,0,1,106,True
204,-811.0,987,0,1,155,True
205,-423.0,506,0,1,62,True
206,-831.0,1014,0,1,162,True
207,-478.0,589,0,1,90,True
208,-394.0,503,0,1,88,True
209,-465.0,588,0,1,102,True
210,-731.0,910,0,1,158,True
211,-989.0,1215,0,1,205,True
212,-1040.0,1222,0,1,161,True
213,-814.0,994,0,1,159,True
214,-822.0,1002,0,1,159,True
215,-654.0,814,0,1,139,True
216,-718.0,878,0,1,139,True
217,-279.0,365,0,1,65,True
218,-733.0,913,0,1,159,True
219,-398.0,508,0,1,89,True
220,-932.0,1138,0,1,185,True
221,-804.0,976,1,1,160,True
222,-324.0,412,0,1,67,True
223,-445.0,553,0,1,87,True
224,-526.0,655,0,1,108,True
225,-325.0,432,0,1,86,True
226,-866.0,1048,0,1,161,True
227,-351.0,440,0,1,68,True
228,-491.0,614,0,1,102,True
229,-429.0,549,0,1,99,True
230,-389.0,500,0,1,90,True
231,-756.0,922,0,1,145,True
232,-127.0,187,0,1,39,True
233,-1278.0,1500,0,0,222,False
234,-374.0,487,0,1,92,True
235,-249.0,336,0,1,66,True
236,-926.0,1128,0,1,181,True
237,-695.0,857,0,1,141,True
238,-453.0,582,0,1,108,True
239,-439.0,556,0,1,96,True
240,-394.0,500,0,1,85,True
241,-335.0,441,0,1,85,True
242,-250.0,336,0,1,65,True
243,-783.0,963,0,1,159,True
244,-1014.0,1219,0,1,184,True
245,-258.0,338,0,1,59,True
246,-948.0,1135,0,1,166,True
247,-214.0,279,0,1,44,True
248,-904.0,1087,1,1,171,True
249,-490.0,619,0,1,108,True
250,-239.0,323,0,1,63,True
251,-658.0,797,0,1,118,True
252,-436.0,554,0,1,97,True
253,-717.0,880,0,1,142,True
254,-241.0,315,0,1,53,True
255,-320.0,420,0,1,79,True
256,-412.0,512,0,1,79,True
257,-428.0,534,0,1,85,True
258,-710.0,866,0,1,135,True
259,-1275.0,1500,1,0,234,False
260,-726.0,903,0,1,156,True
261,-738.0,906,1,1,156,True
262,-854.0,1038,1,1,172,True
263,-92.0,144,0,1,31,True
264,-145.0,205,0,1,39,True
265,-328.0,414,0,1,65,True
266,-279.0,367,0,1,67,True
267,-383.0,467,0,1,63,True
268,-545.0,671,0,1,105,True
269,-1019.0,1203,0,1,163,True
270,-1270.0,1500,0,0,230,False
271,-465.0,589,0,1,103,True
272,-447.0,554,0,1,86,True
273,-795.0,959,0,1,143,True
274,-754.0,920,0,1,145,True
275,-324.0,406,0,1,61,True
276,-846.0,1002,3,1,162,True
277,-408.0,516,0,1,87,True
278,-244.0,324,0,1,59,True
279,-857.0,1030,1,1,161,True
280,-801.0,979,0,1,157,True
281,-312.0,400,0,1,67,True
282,-867.0,1025,1,1,146,True
283,-954.0,1140,0,1,165,True
284,-887.0,1072,0,1,164,True
285,-282.0,371,0,1,68,True
286,-393.0,501,0,1,87,True
287,-412.0,527,0,1,94,True
288,-997.0,1186,0,1,168,True
289,-541.0,663,0,1,101,True
290,-950.0,1133,0,1,162,True
291,-976.0,1153,1,1,165,True
292,-386.0,493,0,1,86,True
293,-596.0,749,0,1,132,True
294,-302.0,401,0,1,78,True
295,-839.0,1010,0,1,150,True
296,-1048.0,1232,1,1,172,True
297,-454.0,558,0,1,83,True
298,-848.0,1010,0,1,141,True
299,-874.0,1055,0,1,160,True
300,-529.0,665,0,1,115,True
301,-450.0,569,0,1,98,True
302,-742.0,907,0,1,144,True
303,-436.0,544,0,1,87,True
304,-402.0,517,0,1,94,True
305,-433.0,538,0,1,84,True
306,-249.0,339,0,1,69,True
307,-795.0,961,1,1,154,True
308,-177.0,234,0,1,36,True
309,-375.0,475,0,1,79,True
310,-879.0,1055,0,1,155,True
311,-805.0,983,0,1,157,True
312,-448.0,547,0,1,78,True
313,-806.0,992,0,1,165,True
314,-684.0,850,0,1,145,True
315,-822.0,1012,0,1,169,True
316,-480.0,585,0,1,84,True
317,-742.0,913,0,1,150,True
318,-762.0,938,0,1,155,True
319,-530.0,653,0,1,102,True
320,-958.0,1133,0,1,154,True
321,-737.0,907,0,1,149,True
322,-390.0,498,0,1,87,True
323,-1264.0,1500,0,0,236,False
324,-126.0,171,0,1,24,True
325,-390.0,469,0,1,58,True
326,-425.0,536,0,1,90,True
327,-1071.0,1265,0,1,173,True
328,-520.0,669,0,1,128,True
329,-901.0,1075,0,1,153,True
330,-847.0,1023,0,1,155,True
331,-160.0,222,0,1,41,True
332,-826.0,1007,0,1,160,True
333,-532.0,651,0,1,98,True
334,-229.0,311,0,1,61,True
335,-546.0,680,0,1,113,True
336,-477.0,587,0,1,89,True
337,-730.0,887,0,1,136,True
338,-1281.0,1500,1,0,228,False
339,-493.0,625,0,1,111,True
340,-729.0,891,0,1,141,True
341,-826.0,1015,0,1,168,True
342,-908.0,1108,1,1,188,True
343,-621.0,764,0,1,122,True
344,-211.0,289,0,1,57,True
345,-319.0,426,0,1,86,True
346,-1274.0,1500,0,0,226,False
347,-723.0,882,0,1,138,True
348,-978.0,1153,1,1,163,True
349,-726.0,887,0,1,140,True
350,-278.0,360,0,1,61,True
351,-211.0,278,0,1,46,True
352,-582.0,710,0,1,107,True
353,-354.0,465,0,1,90,True
354,-362.0,461,0,1,78,True
355,-257.0,342,0,1,64,True
356,-1119.0,1347,1,1,216,True
357,-837.0,1018,0,1,160,True
358,-408.0,510,0,1,81,True
359,-275.0,377,0,1,81,True
360,-1283.0,1500,1,0,226,False
361,-438.0,538,0,1,79,True
362,-547.0,664,0,1,96,True
363,-791.0,938,0,1,126,True
364,-778.0,950,0,1,151,True
365,-768.0,937,0,1,148,True
366,-501.0,629,0,1,107,True
367,-1030.0,1211,1,1,169,True
368,-441.0,544,0,1,82,True
369,-457.0,568,0,1,90,True
370,-1285.0,1500,0,0,215,False
371,-352.0,437,0,1,64,True
372,-469.0,586,0,1,96,True
373,-449.0,565,0,1,95,True
374,-789.0,964,0,1,154,True
375,-356.0,460,0,1,83,True
376,-327.0,422,0,1,74,True
377,-298.0,385,0,1,66,True
378,-372.0,470,0,1,77,True
379,-299.0,383,0,1,63,True
380,-280.0,366,0,1,65,True
381,-392.0,507,0,1,94,True
382,-456.0,587,0,1,110,True
383,-778.0,959,0,1,160,True
384,-767.0,939,0,1,151,True
385,-355.0,453,0,1,77,True
386,-508.0,641,0,1,112,True
387,-141.0,199,0,1,37,True
388,-905.0,1085,0,1,159,True
389,-129.0,171,0,1,21,True
390,-470.0,581,0,1,90,True
391,-492.0,609,0,1,96,True
392,-521.0,645,0,1,103,True
393,-470.0,593,0,1,102,True
394,-136.0,190,0,1,33,True
395,-538.0,685,0,1,126,True
396,-467.0,591,0,1,103,True
397,-362.0,457,0,1,74,True
398,-255.0,332,1,1,65,True
399,-684.0,803,0,1,98,True
400,-734.0,912,0,1,157,True
401,-355.0,462,0,1,86,True
402,-867.0,1054,0,1,166,True
403,-126.0,181,0,1,34,True
404,-404.0,494,0,1,69,True
405,-519.0,645,0,1,105,True
406,-507.0,625,1,1,106,True
407,-732.0,878,0,1,125,True
408,-815.0,991,0,1,155,True
409,-780.0,965,0,1,164,True
410,-917.0,1094,0,1,156,True
411,-1280.0,1500,0,0,220,False
