Episode,Total Reward,Steps,Falls
242,-118.0,118,0,True
243,-1550.0,461,11,True
244,-621.0,225,4,True
245,-2383.0,700,17,False
246,-85.0,85,0,True
247,-319.0,121,2,True
248,-106.0,106,0,True
249,-355.0,157,2,True
250,-124.0,124,0,True
251,-89.0,89,0,True
252,-110.0,110,0,True
253,-124.0,124,0,True
254,-596.0,200,4,True
255,-109.0,109,0,True
256,-105.0,105,0,True
257,-373.0,175,2,True
258,-139.0,139,0,True
259,-124.0,124,0,True
260,-99.0,99,0,True
261,-443.0,146,3,True
262,-2086.0,700,14,False
263,-120.0,120,0,True
264,-86.0,86,0,True
265,-81.0,81,0,True
266,-382.0,184,2,True
267,-110.0,110,0,True
268,-80.0,80,0,True
269,-877.0,283,6,True
270,-134.0,134,0,True
271,-72.0,72,0,True
272,-102.0,102,0,True
273,-98.0,98,0,True
274,-143.0,143,0,True
275,-154.0,154,0,True
276,-80.0,80,0,True
277,-80.0,80,0,True
278,-231.0,132,1,True
279,-154.0,154,0,True
280,-113.0,113,0,True
281,-193.0,94,1,True
282,-104.0,104,0,True
283,-382.0,184,2,True
284,-1176.0,384,8,True
285,-218.0,119,1,True
286,-79.0,79,0,True
287,-367.0,169,2,True
288,-77.0,77,0,True
289,-280.0,181,1,True
290,-83.0,83,0,True
291,-106.0,106,0,True
292,-174.0,174,0,True
293,-79.0,79,0,True
294,-320.0,122,2,True
295,-139.0,139,0,True
296,-83.0,83,0,True
297,-105.0,105,0,True
298,-114.0,114,0,True
299,-66.0,66,0,True
300,-1314.0,423,9,True
301,-964.0,271,7,True
302,-214.0,115,1,True
303,-1547.0,557,10,True
304,-76.0,76,0,True
305,-154.0,154,0,True
306,-147.0,147,0,True
307,-113.0,113,0,True
308,-1749.0,561,12,True
309,-375.0,177,2,True
310,-92.0,92,0,True
311,-85.0,85,0,True
312,-128.0,128,0,True
313,-253.0,154,1,True
314,-87.0,87,0,True
315,-92.0,92,0,True
316,-110.0,110,0,True
317,-2086.0,700,14,False
318,-120.0,120,0,True
319,-174.0,174,0,True
320,-1905.0,618,13,True
321,-1703.0,515,12,True
322,-63.0,63,0,True
323,-71.0,71,0,True
324,-94.0,94,0,True
325,-92.0,92,0,True
326,-2029.0,544,15,True
327,-104.0,104,0,True
328,-562.0,166,4,True
329,-52.0,52,0,True
330,-101.0,101,0,True
331,-263.0,164,1,True
332,-99.0,99,0,True
333,-1856.0,569,13,True
334,-64.0,64,0,True
335,-122.0,122,0,True
336,-94.0,94,0,True
337,-52.0,52,0,True
338,-372.0,174,2,True
339,-122.0,122,0,True
340,-104.0,104,0,True
341,-127.0,127,0,True
342,-1561.0,571,10,True
343,-103.0,103,0,True
344,-332.0,134,2,True
345,-1052.0,260,8,True
346,-125.0,125,0,True
347,-173.0,173,0,True
348,-582.0,186,4,True
349,-90.0,90,0,True
350,-1355.0,464,9,True
351,-60.0,60,0,True
352,-95.0,95,0,True
353,-80.0,80,0,True
354,-52.0,52,0,True
355,-104.0,104,0,True
356,-90.0,90,0,True
357,-101.0,101,0,True
358,-99.0,99,0,True
359,-83.0,83,0,True
360,-1714.0,625,11,True
361,-1789.0,700,11,False
362,-74.0,74,0,True
363,-117.0,117,0,True
364,-149.0,149,0,True
365,-144.0,144,0,True
366,-174.0,174,0,True
367,-436.0,139,3,True
368,-1300.0,409,9,True
369,-130.0,130,0,True
370,-525.0,228,3,True
371,-92.0,92,0,True
372,-572.0,176,4,True
373,-81.0,81,0,True
374,-72.0,72,0,True
375,-102.0,102,0,True
376,-191.0,92,1,True
377,-117.0,117,0,True
378,-1676.0,587,11,True
379,-74.0,74,0,True
380,-105.0,105,0,True
381,-92.0,92,0,True
382,-144.0,144,0,True
383,-100.0,100,0,True
384,-396.0,198,2,True
385,-147.0,147,0,True
386,-607.0,211,4,True
387,-77.0,77,0,True
388,-108.0,108,0,True
389,-87.0,87,0,True
390,-74.0,74,0,True
391,-141.0,141,0,True
392,-363.0,165,2,True
393,-136.0,136,0,True
394,-1588.0,598,10,True
395,-353.0,155,2,True
396,-478.0,181,3,True
397,-92.0,92,0,True
398,-979.0,286,7,True
399,-1246.0,454,8,True
400,-97.0,97,0,True
401,-105.0,105,0,True
402,-272.0,74,2,True
403,-133.0,133,0,True
404,-184.0,184,0,True
405,-135.0,135,0,True
406,-124.0,124,0,True
407,-312.0,114,2,True
408,-106.0,106,0,True
409,-1919.0,632,13,True
410,-151.0,151,0,True
411,-226.0,127,1,True
412,-352.0,154,2,True
413,-753.0,258,5,True
414,-381.0,183,2,True
415,-143.0,143,0,True
416,-490.0,193,3,True
417,-584.0,188,4,True
418,-39.0,39,0,True
419,-74.0,74,0,True
420,-122.0,122,0,True
421,-142.0,142,0,True
422,-60.0,60,0,True
423,-840.0,246,6,True
424,-133.0,133,0,True
425,-2053.0,667,14,True
426,-499.0,202,3,True
427,-112.0,112,0,True
428,-94.0,94,0,True
429,-354.0,156,2,True
430,-390.0,192,2,True
431,-92.0,92,0,True
432,-58.0,58,0,True
433,-110.0,110,0,True
434,-309.0,111,2,True
435,-79.0,79,0,True
436,-296.0,197,1,True
437,-403.0,205,2,True
438,-768.0,273,5,True
439,-115.0,115,0,True
440,-103.0,103,0,True
441,-128.0,128,0,True
442,-405.0,207,2,True
443,-142.0,142,0,True
444,-2086.0,700,14,False
445,-272.0,173,1,True
446,-79.0,79,0,True
447,-138.0,138,0,True
448,-2284.0,700,16,False
449,-139.0,139,0,True
450,-102.0,102,0,True
451,-146.0,146,0,True
452,-91.0,91,0,True
453,-138.0,138,0,True
454,-1715.0,527,12,True
455,-163.0,163,0,True
456,-374.0,176,2,True
457,-117.0,117,0,True
458,-486.0,189,3,True
459,-157.0,157,0,True
460,-80.0,80,0,True
461,-61.0,61,0,True
462,-85.0,85,0,True
463,-115.0,115,0,True
464,-136.0,136,0,True
465,-119.0,119,0,True
466,-158.0,158,0,True
467,-47.0,47,0,True
468,-269.0,170,1,True
469,-383.0,185,2,True
470,-355.0,157,2,True
471,-151.0,151,0,True
472,-1899.0,612,13,True
473,-506.0,209,3,True
474,-95.0,95,0,True
475,-181.0,181,0,True
476,-108.0,108,0,True
477,-100.0,100,0,True
478,-73.0,73,0,True
479,-108.0,108,0,True
480,-148.0,148,0,True
481,-117.0,117,0,True
482,-1038.0,345,7,True
483,-218.0,119,1,True
484,-111.0,111,0,True
485,-340.0,142,2,True
486,-359.0,161,2,True
487,-980.0,287,7,True
488,-137.0,137,0,True
489,-98.0,98,0,True
490,-137.0,137,0,True
491,-156.0,156,0,True
492,-124.0,124,0,True
493,-104.0,104,0,True
494,-62.0,62,0,True
495,-150.0,150,0,True
496,-210.0,111,1,True
497,-159.0,159,0,True
498,-107.0,107,0,True
499,-888.0,294,6,True
500,-62.0,62,0,True
501,-71.0,71,0,True
502,-122.0,122,0,True
503,-95.0,95,0,True
504,-114.0,114,0,True
505,-102.0,102,0,True
506,-104.0,104,0,True
507,-450.0,153,3,True
508,-360.0,162,2,True
509,-113.0,113,0,True
510,-84.0,84,0,True
511,-77.0,77,0,True
512,-722.0,227,5,True
513,-88.0,88,0,True
514,-103.0,103,0,True
515,-920.0,326,6,True
516,-278.0,179,1,True
517,-1124.0,332,8,True
518,-52.0,52,0,True
519,-512.0,215,3,True
520,-138.0,138,0,True
521,-861.0,267,6,True
522,-137.0,137,0,True
523,-127.0,127,0,True
524,-742.0,247,5,True
525,-125.0,125,0,True
526,-114.0,114,0,True
527,-78.0,78,0,True
528,-58.0,58,0,True
529,-153.0,153,0,True
530,-1283.0,392,9,True
531,-76.0,76,0,True
532,-55.0,55,0,True
533,-123.0,123,0,True
534,-516.0,219,3,True
535,-564.0,168,4,True
536,-103.0,103,0,True
537,-338.0,140,2,True
538,-726.0,231,5,True
539,-2086.0,700,14,False
540,-114.0,114,0,True
541,-385.0,187,2,True
542,-126.0,126,0,True
543,-92.0,92,0,True
544,-125.0,125,0,True
545,-341.0,143,2,True
546,-60.0,60,0,True
547,-368.0,170,2,True
548,-1690.0,502,12,True
549,-54.0,54,0,True
550,-112.0,112,0,True
551,-101.0,101,0,True
552,-628.0,232,4,True
553,-79.0,79,0,True
554,-2268.0,684,16,True
555,-117.0,117,0,True
556,-2581.0,700,19,False
557,-176.0,176,0,True
558,-166.0,67,1,True
559,-369.0,171,2,True
560,-92.0,92,0,True
561,-153.0,153,0,True
562,-490.0,193,3,True
563,-68.0,68,0,True
564,-108.0,108,0,True
565,-117.0,117,0,True
566,-2061.0,675,14,True
567,-127.0,127,0,True
568,-354.0,156,2,True
569,-204.0,105,1,True
570,-120.0,120,0,True
571,-63.0,63,0,True
572,-1878.0,690,12,True
573,-147.0,147,0,True
574,-180.0,81,1,True
575,-170.0,170,0,True
576,-2086.0,700,14,False
577,-88.0,88,0,True
578,-1742.0,554,12,True
579,-426.0,129,3,True
580,-2284.0,700,16,False
581,-142.0,142,0,True
582,-391.0,193,2,True
583,-241.0,142,1,True
584,-90.0,90,0,True
585,-107.0,107,0,True
586,-473.0,176,3,True
587,-139.0,139,0,True
588,-51.0,51,0,True
589,-89.0,89,0,True
590,-100.0,100,0,True
591,-141.0,141,0,True
592,-84.0,84,0,True
593,-116.0,116,0,True
594,-2383.0,700,17,False
595,-398.0,200,2,True
596,-1569.0,579,10,True
597,-123.0,123,0,True
598,-97.0,97,0,True
599,-77.0,77,0,True
600,-53.0,53,0,True
601,-54.0,54,0,True
602,-106.0,106,0,True
603,-172.0,172,0,True
604,-110.0,110,0,True
605,-80.0,80,0,True
606,-119.0,119,0,True
607,-2185.0,700,15,False
608,-85.0,85,0,True
609,-1857.0,570,13,True
610,-98.0,98,0,True
611,-98.0,98,0,True
612,-133.0,133,0,True
613,-111.0,111,0,True
614,-87.0,87,0,True
615,-708.0,213,5,True
616,-97.0,97,0,True
617,-61.0,61,0,True
618,-1318.0,427,9,True
619,-118.0,118,0,True
620,-75.0,75,0,True
621,-79.0,79,0,True
622,-53.0,53,0,True
623,-219.0,120,1,True
624,-1855.0,667,12,True
625,-379.0,181,2,True
626,-134.0,134,0,True
627,-1338.0,447,9,True
628,-102.0,102,0,True
629,-172.0,172,0,True
630,-99.0,99,0,True
631,-175.0,76,1,True
632,-94.0,94,0,True
633,-1114.0,322,8,True
634,-122.0,122,0,True
635,-354.0,156,2,True
636,-130.0,130,0,True
637,-1555.0,565,10,True
638,-1595.0,506,11,True
639,-2284.0,700,16,False
640,-1888.0,700,12,False
641,-382.0,184,2,True
642,-134.0,134,0,True
643,-140.0,140,0,True
644,-95.0,95,0,True
645,-1769.0,581,12,True
646,-101.0,101,0,True
647,-113.0,113,0,True
648,-1406.0,416,10,True
649,-1695.0,408,13,True
650,-2054.0,668,14,True
651,-73.0,73,0,True
652,-113.0,113,0,True
653,-508.0,211,3,True
654,-79.0,79,0,True
655,-2086.0,700,14,False
656,-117.0,117,0,True
657,-287.0,89,2,True
658,-156.0,156,0,True
659,-58.0,58,0,True
660,-1615.0,526,11,True
661,-2383.0,700,17,False
662,-106.0,106,0,True
663,-141.0,141,0,True
664,-2284.0,700,16,False
665,-82.0,82,0,True
666,-63.0,63,0,True
667,-196.0,97,1,True
668,-2185.0,700,15,False
669,-154.0,154,0,True
670,-307.0,109,2,True
671,-160.0,160,0,True
672,-1888.0,700,12,False
673,-470.0,173,3,True
674,-1116.0,324,8,True
675,-74.0,74,0,True
676,-73.0,73,0,True
677,-106.0,106,0,True
678,-120.0,120,0,True
679,-119.0,119,0,True
680,-94.0,94,0,True
681,-101.0,101,0,True
682,-107.0,107,0,True
683,-165.0,165,0,True
684,-85.0,85,0,True
685,-1492.0,403,11,True
686,-621.0,225,4,True
687,-128.0,128,0,True
688,-2383.0,700,17,False
689,-974.0,281,7,True
690,-86.0,86,0,True
691,-104.0,104,0,True
692,-140.0,140,0,True
693,-129.0,129,0,True
694,-117.0,117,0,True
695,-102.0,102,0,True
696,-260.0,161,1,True
697,-631.0,235,4,True
698,-135.0,135,0,True
699,-188.0,188,0,True
700,-93.0,93,0,True
701,-85.0,85,0,True
702,-176.0,176,0,True
703,-136.0,136,0,True
704,-180.0,81,1,True
705,-1570.0,481,11,True
706,-291.0,192,1,True
707,-123.0,123,0,True
708,-200.0,101,1,True
709,-1901.0,614,13,True
710,-101.0,101,0,True
711,-107.0,107,0,True
712,-991.0,298,7,True
713,-1458.0,468,10,True
714,-170.0,170,0,True
715,-97.0,97,0,True
716,-140.0,140,0,True
717,-94.0,94,0,True
718,-142.0,142,0,True
719,-380.0,182,2,True
720,-772.0,178,6,True
721,-394.0,196,2,True
722,-109.0,109,0,True
723,-1684.0,595,11,True
724,-89.0,89,0,True
725,-86.0,86,0,True
726,-76.0,76,0,True
727,-1288.0,397,9,True
728,-47.0,47,0,True
729,-102.0,102,0,True
730,-64.0,64,0,True
731,-162.0,162,0,True
732,-80.0,80,0,True
733,-1332.0,441,9,True
734,-101.0,101,0,True
735,-91.0,91,0,True
736,-528.0,231,3,True
737,-76.0,76,0,True
738,-462.0,165,3,True
739,-166.0,166,0,True
740,-82.0,82,0,True
741,-110.0,110,0,True
742,-113.0,113,0,True
743,-66.0,66,0,True
744,-36.0,36,0,True
745,-130.0,130,0,True
746,-1922.0,635,13,True
747,-113.0,113,0,True
748,-77.0,77,0,True
749,-1488.0,498,10,True
750,-605.0,209,4,True
751,-352.0,154,2,True
752,-133.0,133,0,True
753,-96.0,96,0,True
754,-101.0,101,0,True
755,-378.0,180,2,True
756,-145.0,145,0,True
757,-358.0,160,2,True
758,-207.0,108,1,True
759,-80.0,80,0,True
760,-86.0,86,0,True
761,-73.0,73,0,True
762,-50.0,50,0,True
763,-125.0,125,0,True
764,-123.0,123,0,True
765,-1002.0,210,8,True
766,-1781.0,494,13,True
767,-85.0,85,0,True
768,-98.0,98,0,True
769,-345.0,147,2,True
770,-313.0,115,2,True
771,-102.0,102,0,True
772,-928.0,334,6,True
773,-1092.0,300,8,True
774,-119.0,119,0,True
775,-96.0,96,0,True
776,-1388.0,398,10,True
777,-148.0,148,0,True
778,-91.0,91,0,True
779,-91.0,91,0,True
780,-61.0,61,0,True
781,-65.0,65,0,True
782,-1834.0,547,13,True
783,-80.0,80,0,True
784,-356.0,158,2,True
785,-54.0,54,0,True
786,-398.0,200,2,True
787,-67.0,67,0,True
788,-902.0,308,6,True
789,-877.0,283,6,True
790,-893.0,299,6,True
791,-1011.0,318,7,True
792,-1903.0,616,13,True
793,-113.0,113,0,True
794,-368.0,170,2,True
795,-82.0,82,0,True
796,-52.0,52,0,True
797,-80.0,80,0,True
798,-134.0,134,0,True
799,-470.0,173,3,True
800,-150.0,150,0,True
801,-121.0,121,0,True
802,-505.0,208,3,True
803,-144.0,144,0,True
804,-87.0,87,0,True
805,-393.0,195,2,True
806,-864.0,270,6,True
807,-87.0,87,0,True
808,-180.0,81,1,True
809,-63.0,63,0,True
810,-947.0,353,6,True
811,-229.0,130,1,True
812,-117.0,117,0,True
813,-126.0,126,0,True
814,-113.0,113,0,True
815,-85.0,85,0,True
816,-623.0,227,4,True
817,-160.0,160,0,True
818,-88.0,88,0,True
819,-179.0,179,0,True
820,-111.0,111,0,True
821,-329.0,131,2,True
822,-1481.0,491,10,True
823,-139.0,139,0,True
824,-86.0,86,0,True
825,-153.0,153,0,True
826,-116.0,116,0,True
827,-386.0,188,2,True
828,-114.0,114,0,True
829,-158.0,158,0,True
830,-754.0,259,5,True
831,-49.0,49,0,True
832,-102.0,102,0,True
833,-98.0,98,0,True
834,-56.0,56,0,True
835,-103.0,103,0,True
836,-168.0,168,0,True
837,-161.0,62,1,True
838,-158.0,158,0,True
839,-120.0,120,0,True
840,-125.0,125,0,True
841,-639.0,243,4,True
842,-105.0,105,0,True
843,-117.0,117,0,True
844,-108.0,108,0,True
845,-901.0,307,6,True
846,-116.0,116,0,True
847,-80.0,80,0,True
848,-72.0,72,0,True
849,-71.0,71,0,True
850,-109.0,109,0,True
851,-379.0,181,2,True
852,-120.0,120,0,True
853,-92.0,92,0,True
854,-578.0,182,4,True
855,-131.0,131,0,True
856,-1577.0,488,11,True
857,-82.0,82,0,True
858,-116.0,116,0,True
859,-92.0,92,0,True
860,-91.0,91,0,True
861,-172.0,172,0,True
862,-405.0,207,2,True
863,-54.0,54,0,True
864,-607.0,211,4,True
865,-80.0,80,0,True
866,-472.0,175,3,True
867,-138.0,138,0,True
868,-397.0,199,2,True
869,-67.0,67,0,True
870,-401.0,203,2,True
871,-121.0,121,0,True
872,-848.0,254,6,True
873,-86.0,86,0,True
874,-1799.0,512,13,True
875,-146.0,146,0,True
876,-106.0,106,0,True
877,-174.0,174,0,True
878,-158.0,158,0,True
879,-2482.0,700,18,False
880,-260.0,161,1,True
881,-68.0,68,0,True
882,-74.0,74,0,True
883,-121.0,121,0,True
884,-150.0,150,0,True
885,-2482.0,700,18,False
886,-63.0,63,0,True
887,-243.0,144,1,True
888,-197.0,98,1,True
889,-124.0,124,0,True
890,-2185.0,700,15,False
891,-394.0,196,2,True
892,-141.0,141,0,True
893,-77.0,77,0,True
894,-180.0,180,0,True
895,-71.0,71,0,True
896,-169.0,169,0,True
897,-65.0,65,0,True
898,-128.0,128,0,True
899,-2185.0,700,15,False
900,-118.0,118,0,True
901,-93.0,93,0,True
902,-88.0,88,0,True
903,-2086.0,700,14,False
904,-745.0,250,5,True
905,-131.0,131,0,True
906,-397.0,199,2,True
907,-104.0,104,0,True
908,-370.0,172,2,True
909,-68.0,68,0,True
910,-137.0,137,0,True
911,-80.0,80,0,True
912,-127.0,127,0,True
913,-103.0,103,0,True
914,-459.0,162,3,True
915,-76.0,76,0,True
916,-72.0,72,0,True
917,-135.0,135,0,True
918,-214.0,115,1,True
919,-112.0,112,0,True
920,-74.0,74,0,True
921,-82.0,82,0,True
922,-1333.0,442,9,True
923,-74.0,74,0,True
924,-167.0,167,0,True
925,-84.0,84,0,True
926,-112.0,112,0,True
927,-187.0,187,0,True
928,-95.0,95,0,True
929,-124.0,124,0,True
930,-162.0,162,0,True
931,-997.0,304,7,True
932,-586.0,190,4,True
933,-115.0,115,0,True
934,-80.0,80,0,True
935,-85.0,85,0,True
936,-108.0,108,0,True
937,-88.0,88,0,True
938,-51.0,51,0,True
939,-111.0,111,0,True
940,-108.0,108,0,True
941,-342.0,144,2,True
942,-1823.0,536,13,True
943,-225.0,126,1,True
944,-129.0,129,0,True
945,-100.0,100,0,True
946,-90.0,90,0,True
947,-315.0,117,2,True
948,-94.0,94,0,True
949,-1395.0,405,10,True
950,-1987.0,700,13,False
951,-735.0,240,5,True
952,-126.0,126,0,True
953,-182.0,83,1,True
954,-2185.0,700,15,False
955,-86.0,86,0,True
956,-92.0,92,0,True
957,-66.0,66,0,True
958,-79.0,79,0,True
959,-65.0,65,0,True
960,-109.0,109,0,True
961,-367.0,169,2,True
962,-128.0,128,0,True
963,-87.0,87,0,True
964,-984.0,291,7,True
965,-2185.0,700,15,False
966,-62.0,62,0,True
967,-120.0,120,0,True
968,-103.0,103,0,True
969,-93.0,93,0,True
970,-54.0,54,0,True
971,-1232.0,341,9,True
972,-92.0,92,0,True
973,-73.0,73,0,True
974,-91.0,91,0,True
975,-88.0,88,0,True
976,-352.0,154,2,True
977,-86.0,86,0,True
978,-145.0,145,0,True
979,-1086.0,393,7,True
980,-638.0,242,4,True
981,-112.0,112,0,True
982,-123.0,123,0,True
983,-396.0,198,2,True
984,-1445.0,455,10,True
985,-1918.0,631,13,True
986,-341.0,143,2,True
987,-2086.0,700,14,False
988,-65.0,65,0,True
989,-352.0,154,2,True
990,-1956.0,471,15,True
991,-75.0,75,0,True
992,-166.0,166,0,True
993,-140.0,140,0,True
994,-401.0,203,2,True
995,-137.0,137,0,True
