Episode,Total Reward,Steps,Falls,Rollbacks
211,-46.0,49,0,3,True
212,-95.0,97,0,2,True
213,-284.0,300,0,16,True
214,-60.0,62,0,2,True
215,-62.0,63,0,1,True
216,-108.0,108,0,0,True
217,-73.0,74,0,1,True
218,-91.0,92,0,1,True
219,-189.0,196,0,7,True
220,-601.0,651,0,50,True
221,-219.0,228,0,9,True
222,-83.0,83,0,0,True
223,-124.0,125,0,1,True
224,-121.0,121,0,0,True
225,-57.0,58,0,1,True
226,-76.0,77,0,1,True
227,-144.0,144,0,0,True
228,-110.0,112,0,2,True
229,-532.0,570,0,38,True
230,-63.0,64,0,1,True
231,-86.0,87,0,1,True
232,-62.0,63,0,1,True
233,-59.0,61,0,2,True
234,-105.0,105,0,0,True
235,-647.0,700,0,53,False
236,-167.0,173,0,6,True
237,-57.0,59,0,2,True
238,-62.0,64,0,2,True
239,-204.0,214,0,10,True
240,-60.0,61,0,1,True
241,-105.0,106,0,1,True
242,-159.0,160,0,1,True
243,-180.0,188,0,8,True
244,-95.0,96,0,1,True
245,-63.0,64,0,1,True
246,-83.0,84,0,1,True
247,-78.0,78,0,0,True
248,-168.0,171,0,3,True
249,-127.0,127,0,0,True
250,-168.0,170,0,2,True
251,-94.0,94,0,0,True
252,-43.0,46,0,3,True
253,-55.0,56,0,1,True
254,-203.0,206,0,3,True
255,-46.0,47,0,1,True
256,-117.0,117,0,0,True
257,-124.0,125,0,1,True
258,-91.0,92,0,1,True
259,-116.0,117,0,1,True
260,-92.0,92,0,0,True
261,-186.0,193,0,7,True
262,-48.0,48,0,0,True
263,-90.0,92,0,2,True
264,-50.0,51,0,1,True
265,-123.0,124,0,1,True
266,-68.0,69,0,1,True
267,-115.0,115,0,0,True
268,-111.0,114,0,3,True
269,-66.0,66,0,0,True
270,-388.0,424,0,36,True
271,-89.0,92,0,3,True
272,-80.0,80,0,0,True
273,-95.0,97,0,2,True
274,-98.0,99,0,1,True
275,-124.0,127,0,3,True
276,-78.0,78,0,0,True
277,-123.0,123,0,0,True
278,-385.0,414,0,29,True
279,-136.0,136,0,0,True
280,-60.0,61,0,1,True
281,-119.0,120,0,1,True
282,-112.0,113,0,1,True
283,-653.0,700,0,47,False
284,-118.0,118,0,0,True
285,-90.0,91,0,1,True
286,-81.0,82,0,1,True
287,-99.0,102,0,3,True
288,-78.0,79,0,1,True
289,-661.0,700,0,39,False
290,-80.0,80,0,0,True
291,-99.0,99,0,0,True
292,-670.0,700,0,30,False
293,-89.0,89,0,0,True
294,-68.0,71,0,3,True
295,-55.0,56,0,1,True
296,-96.0,97,0,1,True
297,-124.0,129,0,5,True
298,-100.0,101,0,1,True
299,-664.0,700,0,36,False
300,-97.0,98,0,1,True
301,-54.0,55,0,1,True
302,-109.0,111,0,2,True
303,-97.0,97,0,0,True
304,-109.0,110,0,1,True
305,-104.0,104,0,0,True
306,-375.0,409,0,34,True
307,-66.0,67,0,1,True
308,-196.0,207,0,11,True
309,-40.0,41,0,1,True
310,-47.0,48,0,1,True
311,-151.0,161,0,10,True
312,-86.0,86,0,0,True
313,-42.0,43,0,1,True
314,-59.0,61,0,2,True
315,-213.0,232,0,19,True
316,-71.0,72,0,1,True
317,-129.0,129,0,0,True
318,-108.0,108,0,0,True
319,-80.0,83,0,3,True
320,-134.0,134,0,0,True
321,-122.0,123,0,1,True
322,-464.0,499,0,35,True
323,-92.0,100,0,8,True
324,-138.0,141,0,3,True
325,-52.0,53,0,1,True
326,-67.0,68,0,1,True
327,-90.0,93,0,3,True
328,-69.0,70,0,1,True
329,-131.0,131,0,0,True
330,-140.0,141,0,1,True
331,-90.0,93,0,3,True
332,-177.0,192,0,15,True
333,-83.0,90,0,7,True
334,-64.0,65,0,1,True
335,-501.0,539,0,38,True
336,-654.0,700,0,46,False
337,-81.0,81,0,0,True
338,-97.0,100,0,3,True
339,-841.0,700,2,57,False
340,-67.0,68,0,1,True
341,-113.0,113,0,0,True
342,-115.0,117,0,2,True
343,-136.0,141,0,5,True
344,-72.0,73,0,1,True
345,-52.0,53,0,1,True
346,-71.0,72,0,1,True
347,-83.0,83,0,0,True
348,-175.0,179,0,4,True
349,-163.0,163,0,0,True
350,-337.0,362,0,25,True
351,-123.0,123,0,0,True
352,-71.0,72,0,1,True
353,-75.0,75,0,0,True
354,-116.0,116,0,0,True
355,-88.0,92,0,4,True
356,-215.0,225,0,10,True
357,-71.0,72,0,1,True
358,-138.0,138,0,0,True
359,-56.0,57,0,1,True
360,-90.0,93,0,3,True
361,-82.0,83,0,1,True
362,-78.0,79,0,1,True
363,-102.0,103,0,1,True
364,-66.0,67,0,1,True
365,-93.0,95,0,2,True
366,-55.0,56,0,1,True
367,-104.0,109,0,5,True
368,-661.0,700,0,39,False
369,-73.0,73,0,0,True
370,-56.0,56,0,0,True
371,-76.0,77,0,1,True
372,-48.0,49,0,1,True
373,-154.0,154,0,0,True
374,-141.0,141,0,0,True
375,-77.0,78,0,1,True
376,-314.0,340,0,26,True
377,-52.0,53,0,1,True
378,-68.0,69,0,1,True
379,-644.0,700,0,56,False
380,-36.0,36,0,0,True
381,-65.0,66,0,1,True
382,-105.0,106,0,1,True
383,-78.0,78,0,0,True
384,-82.0,83,0,1,True
385,-195.0,220,0,25,True
386,-84.0,84,0,0,True
387,-90.0,90,0,0,True
388,-161.0,168,0,7,True
389,-71.0,72,0,1,True
390,-50.0,54,0,4,True
391,-663.0,700,0,37,False
392,-100.0,100,0,0,True
393,-91.0,92,0,1,True
394,-414.0,451,0,37,True
395,-72.0,73,0,1,True
396,-103.0,103,0,0,True
397,-68.0,68,0,0,True
398,-657.0,700,0,43,False
399,-72.0,73,0,1,True
400,-51.0,52,0,1,True
401,-121.0,121,0,0,True
402,-100.0,102,0,2,True
403,-117.0,117,0,0,True
404,-135.0,146,0,11,True
405,-372.0,400,0,28,True
406,-139.0,145,0,6,True
407,-124.0,126,0,2,True
408,-77.0,77,0,0,True
409,-52.0,53,0,1,True
410,-72.0,73,0,1,True
411,-163.0,165,0,2,True
412,-125.0,125,0,0,True
413,-80.0,80,0,0,True
414,-135.0,142,0,7,True
415,-52.0,55,0,3,True
416,-140.0,145,0,5,True
417,-69.0,70,0,1,True
418,-177.0,183,0,6,True
419,-80.0,80,0,0,True
420,-121.0,121,0,0,True
421,-91.0,91,0,0,True
422,-75.0,76,0,1,True
423,-46.0,46,0,0,True
424,-91.0,94,0,3,True
425,-110.0,110,0,0,True
426,-105.0,107,0,2,True
427,-129.0,129,0,0,True
428,-142.0,144,0,2,True
429,-60.0,60,0,0,True
430,-78.0,80,0,2,True
431,-197.0,203,0,6,True
432,-115.0,115,0,0,True
433,-76.0,76,0,0,True
434,-840.0,700,2,58,False
435,-161.0,164,0,3,True
436,-79.0,84,0,5,True
437,-651.0,700,0,49,False
438,-46.0,47,0,1,True
439,-148.0,166,0,18,True
440,-236.0,255,0,19,True
441,-52.0,52,0,0,True
442,-336.0,357,0,21,True
443,-124.0,127,0,3,True
444,-109.0,110,0,1,True
445,-95.0,100,0,5,True
446,-73.0,76,0,3,True
447,-98.0,99,0,1,True
448,-93.0,96,0,3,True
449,-187.0,195,0,8,True
