Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger,Rollbacks
175,-1580.0,719,98,1,0,True
176,-1435.0,574,98,1,0,True
177,-1218.0,501,82,1,0,True
178,-1286.0,533,86,1,0,True
179,-2320.0,955,154,1,0,True
180,-2718.0,1227,168,1,0,True
181,-2296.0,976,149,1,0,True
182,-2669.0,1097,177,1,0,True
183,-2318.0,971,152,1,0,True
184,-1032.0,378,75,1,0,True
185,-1007.0,380,72,1,0,True
186,-1246.0,529,82,1,0,True
187,-1481.0,584,102,1,0,True
188,-2570.0,1169,158,1,0,True
189,-1849.0,754,124,1,0,True
190,-1754.0,695,120,1,0,True
191,-1289.0,500,90,1,0,True
192,-1340.0,560,89,1,0,True
193,-2502.0,1065,162,1,0,True
194,-3100.0,1231,210,1,0,True
195,-1182.0,501,78,1,0,True
196,-1267.0,514,86,1,0,True
197,-2145.0,888,142,1,0,True
198,-2497.0,1006,168,1,0,True
199,-1270.0,535,84,1,0,True
200,-2140.0,910,139,1,0,True
201,-1641.0,645,113,1,0,True
202,-2425.0,952,166,1,0,True
203,-921.0,384,62,1,0,True
204,-1519.0,613,103,1,0,True
205,-1800.0,732,121,1,0,True
206,-1588.0,673,104,1,0,True
207,-1133.0,524,70,1,0,True
208,-1022.0,404,71,1,0,True
209,-835.0,352,56,1,0,True
210,-1513.0,598,104,1,0,True
211,-1226.0,482,85,1,0,True
212,-2465.0,1019,163,1,0,True
213,-2351.0,959,157,1,0,True
214,-1282.0,529,86,1,0,True
215,-1941.0,738,136,1,0,True
216,-3561.0,1500,229,0,0,False
217,-1045.0,391,75,1,0,True
218,-1843.0,712,128,1,0,True
219,-1258.0,487,88,1,0,True
220,-2575.0,1120,164,1,0,True
221,-2696.0,1223,166,1,0,True
222,-1039.0,421,71,1,0,True
223,-883.0,355,61,1,0,True
224,-1487.0,572,104,1,0,True
225,-2389.0,961,161,1,0,True
226,-1958.0,836,127,1,0,True
227,-546.0,225,38,1,0,True
228,-1608.0,675,106,1,0,True
229,-1143.0,453,79,1,0,True
230,-162.0,102,9,1,0,True
231,-1265.0,503,87,1,0,True
232,-411.0,180,28,1,0,True
233,-1872.0,723,130,1,0,True
234,-1664.0,731,106,1,0,True
235,-858.0,312,63,1,0,True
236,-2470.0,988,167,1,0,True
237,-1987.0,811,133,1,0,True
238,-1872.0,777,124,1,0,True
239,-1004.0,395,70,1,0,True
240,-780.0,297,56,1,0,True
241,-1428.0,648,89,1,0,True
242,-3307.0,1303,225,1,0,True
243,-2283.0,918,154,1,0,True
244,-2507.0,1079,161,1,0,True
245,-1321.0,541,89,1,0,True
246,-1674.0,651,116,1,0,True
247,-1323.0,552,88,1,0,True
248,-2278.0,967,148,1,0,True
249,-1182.0,546,73,1,0,True
250,-1086.0,459,72,1,0,True
251,-1800.0,705,124,1,0,True
252,-2221.0,874,152,1,0,True
253,-2351.0,1022,150,1,0,True
254,-707.0,278,50,1,0,True
255,-1438.0,604,95,1,0,True
256,-1414.0,589,94,1,0,True
257,-1237.0,475,87,1,0,True
258,-2550.0,1095,164,1,0,True
259,-1789.0,748,118,1,0,True
260,-2346.0,927,160,1,0,True
261,-2301.0,936,154,1,0,True
262,-1651.0,610,118,1,0,True
263,-1002.0,420,67,1,0,True
264,-486.0,192,35,1,0,True
265,-1325.0,536,90,1,0,True
266,-874.0,328,63,1,0,True
267,-131.0,71,9,1,0,True
268,-2060.0,839,138,1,0,True
