Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
196,-1513.0,616,102,1,True
197,-2416.0,970,163,1,True
198,-821.0,338,56,1,True
199,-1077.0,423,75,1,True
200,-1057.0,403,75,1,True
201,-2627.0,1154,166,1,True
202,-2322.0,921,158,1,True
203,-1447.0,595,97,1,True
204,-2403.0,1002,158,1,True
205,-1281.0,492,90,1,True
206,-1903.0,754,130,1,True
207,-1020.0,393,72,1,True
208,-420.0,162,31,1,True
209,-1093.0,484,70,1,True
210,-2491.0,1063,161,1,True
211,-1275.0,540,84,1,True
212,-1878.0,756,127,1,True
213,-3435.0,1500,215,0,False
214,-2290.0,952,151,1,True
215,-1155.0,474,78,1,True
216,-2502.0,1038,165,1,True
217,-931.0,403,61,1,True
218,-1169.0,542,72,1,True
219,-2376.0,1002,155,1,True
220,-2601.0,1155,163,1,True
221,-2513.0,1013,169,1,True
222,-1077.0,432,74,1,True
223,-1337.0,557,89,1,True
224,-1088.0,488,69,1,True
225,-2278.0,913,154,1,True
226,-2151.0,822,150,1,True
227,-1133.0,488,74,1,True
228,-1636.0,622,115,1,True
229,-2516.0,1061,164,1,True
230,-1682.0,767,104,1,True
231,-1150.0,451,80,1,True
232,-1124.0,461,76,1,True
233,-2380.0,1033,152,1,True
234,-869.0,359,59,1,True
235,-1437.0,648,90,1,True
236,-1338.0,522,93,1,True
237,-2356.0,1018,151,1,True
238,-2450.0,1031,160,1,True
239,-2280.0,987,146,1,True
240,-461.0,194,32,1,True
241,-481.0,223,31,1,True
242,-692.0,272,49,1,True
243,-2548.0,1084,165,1,True
244,-2826.0,1281,174,1,True
245,-1089.0,408,78,1,True
246,-1395.0,579,93,1,True
247,-2338.0,973,154,1,True
248,-2349.0,993,153,1,True
249,-1246.0,520,83,1,True
250,-567.0,228,40,1,True
251,-2080.0,859,138,1,True
252,-2487.0,1077,159,1,True
253,-2498.0,1133,154,1,True
254,-719.0,299,49,1,True
255,-1303.0,487,93,1,True
256,-1656.0,696,109,1,True
257,-1078.0,424,75,1,True
258,-2666.0,1247,160,1,True
259,-1154.0,446,81,1,True
260,-2406.0,1014,157,1,True
261,-1711.0,679,117,1,True
262,-2285.0,911,155,1,True
263,-1191.0,519,77,1,True
264,-792.0,318,55,1,True
265,-1015.0,424,68,1,True
266,-1473.0,594,100,1,True
267,-608.0,251,42,1,True
268,-2387.0,986,158,1,True
269,-2648.0,1157,168,1,True
270,-2258.0,974,145,1,True
271,-2302.0,865,162,1,True
272,-1232.0,533,80,1,True
273,-2653.0,1090,176,1,True
274,-1560.0,627,106,1,True
275,-1053.0,444,70,1,True
276,-1432.0,580,97,1,True
277,-958.0,421,62,1,True
278,-235.0,121,15,1,True
279,-1700.0,731,110,1,True
280,-1609.0,640,110,1,True
281,-885.0,339,63,1,True
282,-2481.0,1062,160,1,True
283,-1480.0,538,107,1,True
284,-1940.0,809,128,1,True
285,-1218.0,483,84,1,True
286,-1631.0,617,115,1,True
287,-2957.0,1241,193,1,True
288,-2331.0,1020,148,1,True
289,-2410.0,991,160,1,True
290,-2553.0,1017,173,1,True
291,-2604.0,1149,164,1,True
292,-2586.0,1167,160,1,True
293,-2674.0,1174,169,1,True
294,-720.0,282,51,1,True
295,-1207.0,553,75,1,True
296,-2339.0,956,156,1,True
297,-1703.0,716,112,1,True
298,-2106.0,840,143,1,True
299,-3534.0,1500,226,0,False
300,-2617.0,1117,169,1,True
301,-844.0,316,61,1,True
