Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger
205,-483.0,594,0,1,True
206,-1225.0,1463,0,1,True
207,-357.0,462,0,1,True
208,-436.0,558,0,1,True
209,-309.0,396,0,1,True
210,-848.0,1033,0,1,True
211,-1033.0,1253,0,1,True
212,-1037.0,1224,0,1,True
213,-923.0,1114,0,1,True
214,-917.0,1103,0,1,True
215,-582.0,713,0,1,True
216,-1063.0,1290,0,1,True
217,-415.0,509,0,1,True
218,-520.0,649,0,1,True
219,-973.0,1157,0,1,True
220,-885.0,1073,0,1,True
221,-712.0,877,0,1,True
222,-130.0,185,0,1,True
223,-397.0,504,0,1,True
224,-304.0,381,0,1,True
225,-540.0,664,0,1,True
226,-1095.0,1291,0,1,True
227,-410.0,519,0,1,True
228,-1230.0,1469,0,1,True
229,-547.0,681,0,1,True
230,-226.0,300,0,1,True
231,-454.0,570,0,1,True
232,-173.0,246,0,1,True
233,-844.0,1020,0,1,True
234,-664.0,831,0,1,True
235,-211.0,285,0,1,True
236,-506.0,615,0,1,True
237,-909.0,1097,0,1,True
238,-490.0,611,0,1,True
239,-866.0,1049,0,1,True
240,-323.0,409,0,1,True
241,-476.0,596,0,1,True
242,-1280.0,1500,0,0,False
243,-727.0,883,0,1,True
244,-775.0,913,0,1,True
245,-316.0,415,0,1,True
246,-1142.0,1371,0,1,True
247,-596.0,747,0,1,True
248,-929.0,1113,0,1,True
249,-354.0,457,0,1,True
250,-232.0,308,0,1,True
251,-1009.0,1202,0,1,True
252,-852.0,1041,0,1,True
253,-498.0,612,0,1,True
254,-236.0,316,0,1,True
255,-428.0,539,0,1,True
256,-286.0,378,0,1,True
257,-403.0,496,0,1,True
258,-628.0,784,0,1,True
259,-541.0,687,0,1,True
260,-552.0,685,0,1,True
261,-903.0,1095,0,1,True
262,-590.0,717,0,1,True
263,-375.0,467,0,1,True
264,-423.0,514,0,1,True
265,-243.0,330,0,1,True
266,-304.0,402,0,1,True
267,-99.0,140,0,1,True
268,-872.0,1064,0,1,True
269,-971.0,1159,0,1,True
270,-459.0,569,0,1,True
271,-281.0,360,0,1,True
272,-456.0,566,0,1,True
273,-1038.0,1229,0,1,True
274,-833.0,1011,0,1,True
275,-260.0,337,0,1,True
276,-447.0,536,0,1,True
277,-236.0,312,0,1,True
278,-188.0,255,0,1,True
279,-843.0,1026,0,1,True
280,-853.0,1037,0,1,True
281,-295.0,382,0,1,True
282,-877.0,1055,0,1,True
283,-750.0,916,0,1,True
284,-865.0,1048,0,1,True
285,-365.0,483,0,1,True
286,-515.0,627,0,1,True
287,-630.0,763,0,1,True
288,-553.0,686,0,1,True
289,-985.0,1176,0,1,True
290,-937.0,1127,0,1,True
291,-1223.0,1454,0,1,True
292,-622.0,762,0,1,True
293,-754.0,920,0,1,True
294,-296.0,376,0,1,True
295,-414.0,531,0,1,True
296,-800.0,961,0,1,True
297,-403.0,512,0,1,True
298,-582.0,702,0,1,True
299,-334.0,430,0,1,True
300,-763.0,943,0,1,True
301,-193.0,249,0,1,True
302,-713.0,878,0,1,True
303,-265.0,354,0,1,True
304,-1010.0,1200,0,1,True
305,-423.0,520,0,1,True
306,-406.0,497,0,1,True
307,-1020.0,1208,0,1,True
308,-303.0,385,0,1,True
309,-555.0,665,0,1,True
310,-701.0,849,0,1,True
311,-907.0,1094,0,1,True
312,-359.0,459,0,1,True
313,-808.0,985,0,1,True
314,-344.0,442,0,1,True
315,-926.0,1130,0,1,True
316,-401.0,508,0,1,True
317,-409.0,518,0,1,True
318,-716.0,878,0,1,True
319,-848.0,1034,0,1,True
320,-493.0,615,0,1,True
321,-410.0,500,0,1,True
322,-455.0,569,0,1,True
323,-780.0,954,0,1,True
324,-282.0,373,0,1,True
325,-315.0,395,0,1,True
326,-538.0,655,0,1,True
327,-802.0,982,0,1,True
328,-386.0,493,0,1,True
329,-641.0,786,0,1,True
330,-990.0,1179,0,1,True
331,-328.0,423,0,1,True
332,-688.0,847,0,1,True
333,-1126.0,1320,0,1,True
334,-323.0,418,0,1,True
335,-462.0,579,0,1,True
336,-1120.0,1309,0,1,True
337,-429.0,538,0,1,True
338,-988.0,1187,0,1,True
339,-493.0,616,0,1,True
340,-595.0,751,0,1,True
341,-1148.0,1389,0,1,True
342,-537.0,667,0,1,True
343,-774.0,939,1,1,True
344,-284.0,374,0,1,True
345,-287.0,380,0,1,True
346,-1073.0,1258,0,1,True
347,-385.0,508,0,1,True
348,-850.0,1021,0,1,True
349,-1139.0,1397,0,1,True
350,-299.0,393,0,1,True
351,-325.0,434,0,1,True
352,-730.0,909,0,1,True
353,-540.0,653,0,1,True
354,-300.0,396,0,1,True
355,-195.0,268,0,1,True
356,-1092.0,1298,0,1,True
357,-434.0,535,0,1,True
358,-321.0,427,0,1,True
359,-169.0,234,0,1,True
360,-321.0,406,0,1,True
361,-444.0,560,0,1,True
362,-752.0,881,0,1,True
363,-914.0,1098,0,1,True
364,-718.0,893,0,1,True
365,-452.0,571,0,1,True
366,-330.0,416,0,1,True
367,-801.0,983,0,1,True
368,-616.0,739,0,1,True
369,-619.0,750,0,1,True
370,-843.0,1024,0,1,True
371,-258.0,341,0,1,True
372,-534.0,626,0,1,True
373,-827.0,1004,0,1,True
374,-455.0,578,0,1,True
375,-790.0,968,0,1,True
376,-322.0,426,0,1,True
377,-460.0,572,0,1,True
378,-244.0,326,0,1,True
379,-269.0,364,0,1,True
380,-298.0,399,0,1,True
381,-421.0,533,0,1,True
382,-493.0,614,0,1,True
383,-887.0,1070,0,1,True
384,-197.0,262,0,1,True
385,-1014.0,1199,0,1,True
386,-880.0,1063,0,1,True
387,-428.0,525,0,1,True
388,-1167.0,1386,0,1,True
389,-764.0,930,0,1,True
390,-515.0,630,0,1,True
