Episode,Total Reward,Steps,Falls,Rollbacks
209,-67.0,67,0,0,True
210,-380.0,182,2,0,True
211,-334.0,136,2,0,True
212,-72.0,72,0,0,True
213,-110.0,110,0,0,True
214,-66.0,66,0,0,True
215,-357.0,159,2,0,True
216,-89.0,89,0,0,True
217,-91.0,91,0,0,True
218,-129.0,129,0,0,True
219,-126.0,126,0,0,True
220,-93.0,93,0,0,True
221,-1034.0,341,7,0,True
222,-374.0,176,2,0,True
223,-223.0,124,1,0,True
224,-123.0,123,0,0,True
225,-517.0,220,3,0,True
226,-1489.0,499,10,0,True
227,-224.0,125,1,0,True
228,-126.0,126,0,0,True
229,-71.0,71,0,0,True
230,-145.0,145,0,0,True
231,-2151.0,666,15,0,True
232,-91.0,91,0,0,True
233,-92.0,92,0,0,True
234,-1789.0,700,11,0,False
235,-143.0,143,0,0,True
236,-342.0,144,2,0,True
237,-985.0,391,6,0,True
238,-391.0,193,2,0,True
239,-80.0,80,0,0,True
240,-387.0,189,2,0,True
241,-115.0,115,0,0,True
242,-124.0,124,0,0,True
243,-1987.0,700,13,0,False
244,-92.0,92,0,0,True
245,-66.0,66,0,0,True
246,-1789.0,700,11,0,False
247,-783.0,189,6,0,True
248,-1221.0,429,8,0,True
249,-95.0,95,0,0,True
250,-125.0,125,0,0,True
251,-74.0,74,0,0,True
252,-555.0,159,4,0,True
253,-468.0,171,3,0,True
254,-111.0,111,0,0,True
255,-127.0,127,0,0,True
256,-102.0,102,0,0,True
257,-918.0,324,6,0,True
258,-105.0,105,0,0,True
259,-130.0,130,0,0,True
260,-103.0,103,0,0,True
261,-123.0,123,0,0,True
262,-67.0,67,0,0,True
263,-492.0,195,3,0,True
264,-187.0,88,1,0,True
265,-123.0,123,0,0,True
266,-128.0,128,0,0,True
267,-80.0,80,0,0,True
268,-353.0,155,2,0,True
269,-117.0,117,0,0,True
270,-76.0,76,0,0,True
271,-97.0,97,0,0,True
272,-118.0,118,0,0,True
273,-109.0,109,0,0,True
274,-117.0,117,0,0,True
275,-751.0,256,5,0,True
276,-136.0,136,0,0,True
277,-989.0,296,7,0,True
278,-129.0,129,0,0,True
279,-1140.0,348,8,0,True
280,-78.0,78,0,0,True
281,-809.0,314,5,0,True
282,-90.0,90,0,0,True
283,-63.0,63,0,0,True
284,-102.0,102,0,0,True
285,-94.0,94,0,0,True
286,-1191.0,399,8,0,True
287,-370.0,172,2,0,True
288,-125.0,125,0,0,True
289,-881.0,287,6,0,True
290,-260.0,161,1,0,True
291,-50.0,50,0,0,True
292,-498.0,201,3,0,True
293,-498.0,201,3,0,True
294,-351.0,153,2,0,True
295,-385.0,187,2,0,True
296,-396.0,198,2,0,True
297,-129.0,129,0,0,True
298,-119.0,119,0,0,True
299,-998.0,305,7,0,True
300,-87.0,87,0,0,True
301,-81.0,81,0,0,True
302,-165.0,165,0,0,True
303,-1987.0,700,13,0,False
304,-1208.0,416,8,0,True
305,-403.0,205,2,0,True
306,-78.0,78,0,0,True
307,-1987.0,700,13,0,False
308,-140.0,140,0,0,True
309,-2383.0,700,17,0,False
310,-106.0,106,0,0,True
311,-155.0,56,1,0,True
312,-111.0,111,0,0,True
313,-141.0,141,0,0,True
314,-92.0,92,0,0,True
315,-156.0,156,0,0,True
316,-108.0,108,0,0,True
317,-98.0,98,0,0,True
318,-572.0,176,4,0,True
319,-947.0,353,6,0,True
320,-362.0,164,2,0,True
321,-156.0,156,0,0,True
322,-76.0,76,0,0,True
323,-70.0,70,0,0,True
324,-77.0,77,0,0,True
325,-81.0,81,0,0,True
326,-563.0,167,4,0,True
327,-93.0,93,0,0,True
328,-95.0,95,0,0,True
329,-123.0,123,0,0,True
330,-93.0,93,0,0,True
331,-100.0,100,0,0,True
332,-333.0,135,2,0,True
333,-620.0,224,4,0,True
334,-123.0,123,0,0,True
335,-2185.0,700,15,0,False
336,-93.0,93,0,0,True
337,-84.0,84,0,0,True
338,-111.0,111,0,0,True
339,-1987.0,700,13,0,False
340,-62.0,62,0,0,True
341,-372.0,174,2,0,True
342,-91.0,91,0,0,True
343,-2185.0,700,15,0,False
344,-398.0,200,2,0,True
345,-96.0,96,0,0,True
346,-1796.0,608,12,0,True
347,-2185.0,700,15,0,False
348,-69.0,69,0,0,True
349,-100.0,100,0,0,True
350,-54.0,54,0,0,True
351,-316.0,118,2,0,True
352,-1258.0,367,9,0,True
353,-602.0,206,4,0,True
354,-351.0,153,2,0,True
355,-2185.0,700,15,0,False
356,-114.0,114,0,0,True
357,-1345.0,454,9,0,True
358,-64.0,64,0,0,True
359,-109.0,109,0,0,True
360,-402.0,204,2,0,True
361,-138.0,138,0,0,True
362,-132.0,132,0,0,True
363,-106.0,106,0,0,True
364,-925.0,331,6,0,True
365,-150.0,150,0,0,True
366,-65.0,65,0,0,True
367,-153.0,153,0,0,True
368,-75.0,75,0,0,True
369,-122.0,122,0,0,True
370,-1360.0,469,9,0,True
371,-118.0,118,0,0,True
372,-102.0,102,0,0,True
373,-138.0,138,0,0,True
374,-1146.0,354,8,0,True
375,-153.0,153,0,0,True
376,-1430.0,440,10,0,True
377,-111.0,111,0,0,True
378,-94.0,94,0,0,True
379,-98.0,98,0,0,True
380,-220.0,121,1,0,True
381,-58.0,58,0,0,True
382,-107.0,107,0,0,True
383,-148.0,148,0,0,True
384,-75.0,75,0,0,True
385,-170.0,170,0,0,True
386,-83.0,83,0,0,True
387,-1980.0,693,13,0,True
388,-145.0,145,0,0,True
389,-105.0,105,0,0,True
390,-1812.0,624,12,0,True
391,-1079.0,386,7,0,True
392,-1987.0,700,13,0,False
393,-99.0,99,0,0,True
394,-60.0,60,0,0,True
395,-104.0,104,0,0,True
396,-134.0,134,0,0,True
397,-78.0,78,0,0,True
398,-99.0,99,0,0,True
399,-124.0,124,0,0,True
400,-81.0,81,0,0,True
401,-97.0,97,0,0,True
402,-159.0,159,0,0,True
403,-343.0,145,2,0,True
404,-402.0,204,2,0,True
405,-141.0,141,0,0,True
406,-1468.0,478,10,0,True
407,-57.0,57,0,0,True
408,-1560.0,570,10,0,True
409,-1474.0,583,9,0,True
410,-1380.0,489,9,0,True
411,-122.0,122,0,0,True
412,-174.0,174,0,0,True
413,-1335.0,444,9,0,True
414,-103.0,103,0,0,True
415,-370.0,172,2,0,True
416,-115.0,115,0,0,True
417,-78.0,78,0,0,True
418,-222.0,123,1,0,True
419,-72.0,72,0,0,True
420,-104.0,104,0,0,True
421,-334.0,136,2,0,True
422,-77.0,77,0,0,True
423,-1911.0,624,13,0,True
424,-75.0,75,0,0,True
425,-907.0,214,7,0,True
426,-146.0,146,0,0,True
427,-67.0,67,0,0,True
428,-121.0,121,0,0,True
429,-59.0,59,0,0,True
430,-1362.0,372,10,0,True
431,-1818.0,432,14,0,True
