Environment,Agent,param_name,param_value,MeanReward,StdReward,BaseReward,Uplift
CliffWalking-v0,FullModel_P_1_2,penalty,1.2,-172.334,154.9712,-407.348,235.014
Taxi-v3,FullModel_P_1_1,penalty,1.1,-565.804,270.6851,-1645.24,1079.4360000000001
