Environment,Agent,param_name,param_value,MeanReward,StdReward,BaseReward,Uplift
CliffWalking-v0,FullModel_lambda_0_6,lambda,0.6,-176.215,158.4674,-409.432,233.217
Taxi-v3,FullModel_lambda_0_8,lambda,0.8,-573.301,269.4029,-1657.99,1084.6889999999999
