Episode,TotalReward,Steps,drop_passsenger_pick_ghost,delivered_passenger, Status
197,-2188.0,868,149,1,True
198,-2496.0,1059,162,1,True
199,-1036.0,418,71,1,True
200,-1381.0,592,90,1,True
201,-1754.0,749,114,1,True
202,-1231.0,451,89,1,True
203,-1366.0,505,98,1,True
204,-2526.0,1062,165,1,True
205,-2522.0,1013,170,1,True
206,-1153.0,463,79,1,True
207,-1015.0,370,74,1,True
208,-480.0,177,36,1,True
209,-896.0,350,63,1,True
210,-1682.0,731,108,1,True
211,-1357.0,514,96,1,True
212,-2000.0,797,136,1,True
213,-1413.0,570,96,1,True
214,-2694.0,1176,171,1,True
215,-2073.0,843,139,1,True
216,-1543.0,637,103,1,True
217,-939.0,339,69,1,True
218,-1500.0,576,105,1,True
219,-2411.0,1019,157,1,True
220,-2220.0,918,147,1,True
221,-1772.0,749,116,1,True
222,-411.0,171,29,1,True
223,-1299.0,564,84,1,True
224,-1282.0,502,89,1,True
225,-2062.0,841,138,1,True
226,-2878.0,1270,181,1,True
227,-693.0,264,50,1,True
228,-1371.0,564,92,1,True
229,-1574.0,677,102,1,True
230,-293.0,161,17,1,True
231,-1206.0,480,83,1,True
232,-1135.0,436,80,1,True
233,-2460.0,1014,163,1,True
234,-1736.0,695,118,1,True
235,-779.0,314,54,1,True
236,-1340.0,569,88,1,True
237,-1953.0,840,126,1,True
238,-2638.0,1138,169,1,True
239,-1318.0,556,87,1,True
240,-474.0,207,32,1,True
241,-1178.0,488,79,1,True
242,-981.0,408,66,1,True
243,-2480.0,998,167,1,True
244,-1569.0,618,108,1,True
245,-1704.0,708,113,1,True
246,-2636.0,1163,166,1,True
247,-1102.0,466,73,1,True
248,-1393.0,577,93,1,True
249,-1381.0,547,95,1,True
250,-855.0,318,62,1,True
251,-1972.0,787,134,1,True
252,-2440.0,1048,157,1,True
253,-2585.0,1121,165,1,True
254,-3176.0,1298,211,1,True
255,-1182.0,456,83,1,True
256,-1231.0,505,83,1,True
257,-1275.0,549,83,1,True
258,-1916.0,794,127,1,True
259,-1293.0,504,90,1,True
260,-2471.0,1061,159,1,True
261,-1897.0,793,125,1,True
262,-2590.0,1054,173,1,True
263,-727.0,280,52,1,True
264,-1145.0,473,77,1,True
265,-1132.0,505,72,1,True
266,-868.0,358,59,1,True
267,-1100.0,428,77,1,True
268,-2511.0,1137,155,1,True
269,-1409.0,557,97,1,True
270,-1375.0,595,89,1,True
271,-1428.0,585,96,1,True
272,-1255.0,529,83,1,True
273,-2558.0,1013,174,1,True
274,-1178.0,479,80,1,True
275,-961.0,370,68,1,True
276,-1306.0,517,90,1,True
277,-1228.0,502,83,1,True
278,-1142.0,425,82,1,True
279,-1668.0,699,110,1,True
280,-1967.0,773,135,1,True
281,-908.0,362,63,1,True
282,-1384.0,559,94,1,True
283,-2392.0,991,158,1,True
284,-2292.0,936,153,1,True
285,-1587.0,582,114,1,True
286,-1260.0,507,86,1,True
287,-1647.0,678,110,1,True
288,-1128.0,429,80,1,True
289,-1690.0,622,121,1,True
290,-2429.0,992,162,1,True
291,-2556.0,1083,166,1,True
292,-1763.0,740,116,1,True
293,-1919.0,806,126,1,True
294,-1259.0,506,86,1,True
295,-1162.0,499,76,1,True
296,-2335.0,970,154,1,True
297,-1147.0,493,75,1,True
298,-2527.0,1054,166,1,True
299,-1547.0,641,103,1,True
300,-1778.0,737,118,1,True
301,-2346.0,972,155,1,True
302,-2454.0,1098,153,1,True
303,-1821.0,762,120,1,True
304,-2385.0,966,160,1,True
305,-1338.0,558,89,1,True
306,-1016.0,389,72,1,True
307,-2243.0,896,152,1,True
308,-1245.0,501,85,1,True
309,-1233.0,498,84,1,True
310,-2291.0,971,149,1,True
311,-1873.0,778,124,1,True
312,-1974.0,816,131,1,True
313,-2077.0,802,144,1,True
314,-1827.0,813,115,1,True
315,-1779.0,702,122,1,True
316,-1221.0,477,85,1,True
317,-3480.0,1500,220,0,False
318,-1709.0,677,117,1,True
319,-2333.0,905,161,1,True
320,-1806.0,756,119,1,True
321,-1069.0,397,77,1,True
322,-1186.0,460,83,1,True
323,-1816.0,793,116,1,True
324,-1032.0,414,71,1,True
325,-1279.0,481,91,1,True
326,-1390.0,547,96,1,True
327,-2503.0,1057,163,1,True
328,-1450.0,616,95,1,True
