Episode,TotalReward,Steps,Drop,Delivered,Rollbacks
207,-297.0,385,0,1,67
208,-155.0,209,0,1,33
209,-234.0,303,0,1,48
210,-689.0,826,0,1,116
211,-441.0,568,0,1,106
212,-817.0,989,0,1,151
213,-858.0,1000,0,0,142
214,-862.0,1000,1,0,147
215,-854.0,1000,0,0,146
216,-852.0,1000,0,0,148
217,-215.0,296,0,1,60
218,-316.0,403,0,1,66
219,-395.0,504,0,1,88
220,-862.0,1000,0,0,138
221,-846.0,1000,0,0,154
222,-120.0,174,0,1,33
223,-382.0,495,0,1,92
224,-343.0,445,0,1,81
225,-467.0,591,0,1,103
226,-695.0,871,0,1,155
227,-225.0,311,0,1,65
228,-843.0,1000,0,0,157
229,-726.0,899,0,1,152
230,-389.0,492,0,1,82
231,-431.0,538,0,1,86
232,-264.0,342,0,1,57
233,-534.0,662,0,1,107
234,-768.0,929,0,1,140
235,-453.0,554,0,1,80
236,-339.0,424,0,1,64
237,-848.0,1000,0,0,152
238,-854.0,1000,0,0,146
239,-726.0,896,0,1,149
240,-387.0,484,0,1,76
241,-839.0,1000,0,0,161
242,-261.0,345,0,1,63
243,-687.0,826,1,1,127
244,-837.0,1000,0,0,163
245,-315.0,420,0,1,84
246,-828.0,1000,0,0,172
247,-503.0,636,0,1,112
248,-520.0,652,0,1,111
249,-432.0,534,0,1,81
250,-251.0,339,0,1,67
251,-610.0,756,0,1,125
252,-429.0,559,0,1,109
253,-840.0,1000,0,0,160
254,-255.0,332,0,1,56
255,-563.0,698,0,1,114
256,-453.0,564,0,1,90
257,-618.0,783,0,1,144
258,-865.0,1000,0,0,135
259,-829.0,1000,0,0,171
260,-854.0,1000,0,0,146
261,-849.0,1000,0,0,151
262,-712.0,876,0,1,143
263,-257.0,336,0,1,58
264,-428.0,530,0,1,81
265,-365.0,464,0,1,78
266,-477.0,605,0,1,107
267,-176.0,237,0,1,40
268,-850.0,1000,0,0,150
269,-731.0,887,0,1,135
270,-608.0,755,0,1,126
271,-375.0,493,0,1,97
272,-413.0,522,0,1,88
273,-654.0,816,0,1,141
274,-520.0,662,0,1,121
275,-270.0,355,0,1,64
276,-764.0,940,0,1,155
277,-516.0,644,0,1,107
278,-219.0,297,0,1,57
279,-871.0,1000,1,0,138
280,-844.0,1000,0,0,156
281,-472.0,587,0,1,94
282,-513.0,634,0,1,100
283,-512.0,629,1,1,105
284,-817.0,1000,0,0,183
285,-464.0,584,0,1,99
286,-397.0,499,0,1,81
287,-798.0,956,0,1,137
288,-623.0,750,0,1,106
289,-320.0,439,0,1,98
290,-773.0,932,0,1,138
291,-646.0,795,0,1,128
292,-857.0,1000,0,0,143
293,-853.0,1000,0,0,147
294,-476.0,586,0,1,89
295,-343.0,442,0,1,78
296,-845.0,1000,0,0,155
297,-343.0,442,0,1,78
298,-808.0,992,0,1,163
299,-627.0,791,0,1,143
300,-581.0,723,0,1,121
301,-454.0,561,0,1,86
302,-502.0,629,0,1,106
303,-654.0,763,3,1,115
304,-474.0,593,0,1,98
305,-276.0,370,0,1,73
306,-366.0,458,0,1,71
307,-733.0,899,0,1,145
308,-214.0,291,0,1,56
309,-369.0,487,0,1,97
310,-699.0,861,0,1,141
311,-325.0,419,0,1,73
312,-334.0,429,0,1,74
313,-683.0,856,0,1,152
314,-848.0,1000,0,0,152
315,-845.0,1000,0,0,155
316,-600.0,707,0,1,86
317,-706.0,873,0,1,146
318,-855.0,1000,1,0,154
319,-853.0,1000,0,0,147
320,-848.0,1000,0,0,152
321,-273.0,356,0,1,62
322,-479.0,584,0,1,84
323,-669.0,832,0,1,142
324,-364.0,443,1,1,67
325,-220.0,293,0,1,52
326,-404.0,516,0,1,91
327,-266.0,352,0,1,65
328,-379.0,476,0,1,76
329,-789.0,970,0,1,160
330,-552.0,678,0,1,105
331,-182.0,251,0,1,48
332,-853.0,1000,0,0,147
333,-832.0,1000,0,0,168
334,-296.0,386,0,1,69
335,-458.0,572,0,1,93
336,-734.0,889,1,1,143
337,-270.0,366,0,1,75
338,-811.0,993,0,1,161
339,-722.0,884,0,1,141
340,-410.0,515,0,1,84
341,-853.0,1000,1,0,156
342,-313.0,409,0,1,75
343,-308.0,391,0,1,62
344,-309.0,397,0,1,67
345,-374.0,489,0,1,94
346,-652.0,817,0,1,144
347,-363.0,474,0,1,90
348,-809.0,992,0,1,162
349,-549.0,681,0,1,111
350,-297.0,389,0,1,71
351,-331.0,417,0,1,65
352,-757.0,918,0,1,140
353,-389.0,491,0,1,81
354,-303.0,392,0,1,68
355,-414.0,527,0,1,92
356,-524.0,658,0,1,113
357,-562.0,678,1,1,104
358,-473.0,591,0,1,97
359,-216.0,292,0,1,55
360,-488.0,601,0,1,92
361,-388.0,496,0,1,87
362,-299.0,378,0,1,58
363,-853.0,1000,0,0,147
364,-440.0,564,0,1,103
365,-850.0,1000,0,0,150
366,-279.0,355,0,1,55
367,-821.0,952,0,1,110
368,-353.0,453,0,1,79
369,-488.0,610,0,1,101
370,-837.0,1000,0,0,163
371,-298.0,389,0,1,70
372,-453.0,572,0,1,98
373,-466.0,586,0,1,99
374,-412.0,527,0,1,94
375,-605.0,755,0,1,129
376,-371.0,470,0,1,78
377,-353.0,453,0,1,79
378,-697.0,873,0,1,155
379,-205.0,277,0,1,51
380,-417.0,523,0,1,85
381,-340.0,445,0,1,84
382,-847.0,1000,0,0,153
383,-694.0,861,0,1,146
384,-255.0,338,0,1,62
385,-721.0,891,0,1,149
386,-553.0,686,0,1,112
387,-237.0,316,0,1,58
388,-403.0,516,0,1,92
389,-841.0,1000,0,0,159
390,-447.0,562,1,1,103
391,-292.0,394,0,1,81
392,-850.0,1000,0,0,150
393,-483.0,607,0,1,103
394,-349.0,443,0,1,73
395,-845.0,1000,0,0,155
396,-427.0,548,0,1,100
397,-179.0,239,0,1,39
398,-257.0,335,0,1,57
399,-641.0,773,0,1,111
400,-265.0,355,0,1,69
401,-816.0,999,0,1,162
402,-569.0,700,0,1,110
403,-134.0,197,0,1,42
404,-475.0,569,0,1,73
405,-499.0,644,0,1,124
406,-370.0,475,0,1,84
407,-583.0,716,0,1,112
408,-858.0,1000,0,0,142
409,-850.0,1000,0,0,150
410,-550.0,669,0,1,98
411,-484.0,618,0,1,113
412,-376.0,477,0,1,80
413,-175.0,239,0,1,43
414,-250.0,329,0,1,58
415,-315.0,397,0,1,61
416,-787.0,974,0,1,166
417,-844.0,1000,0,0,156
418,-480.0,601,0,1,100
419,-535.0,658,0,1,102
420,-44.0,73,0,1,8
421,-420.0,546,0,1,105
422,-835.0,1000,0,0,165
423,-851.0,1000,0,0,149
424,-845.0,1000,0,0,155
425,-799.0,951,1,1,140
426,-404.0,517,0,1,92
427,-516.0,626,0,1,89
428,-485.0,600,0,1,94
429,-768.0,927,0,1,138
430,-414.0,521,0,1,86
431,-284.0,378,0,1,73
432,-258.0,342,0,1,63
433,-318.0,412,0,1,73
434,-795.0,967,0,1,151
435,-299.0,395,0,1,75
436,-370.0,460,0,1,69
437,-343.0,448,0,1,84
438,-154.0,214,0,1,39
439,-847.0,1000,0,0,153
440,-741.0,892,0,1,130
441,-830.0,1000,0,0,170
442,-272.0,366,0,1,73
443,-827.0,1000,0,0,173
444,-799.0,986,0,1,166
445,-286.0,370,0,1,63
446,-377.0,493,0,1,95
447,-806.0,986,0,1,159
448,-607.0,746,1,1,127
449,-526.0,651,0,1,104
450,-721.0,895,0,1,153
451,-844.0,1000,0,0,156
452,-455.0,577,0,1,101
453,-418.0,541,0,1,102
454,-844.0,1000,0,0,156
455,-265.0,356,0,1,70
456,-299.0,398,0,1,78
457,-353.0,452,0,1,78
458,-847.0,1000,0,0,153
459,-852.0,1000,0,0,148
460,-302.0,395,0,1,72
461,-263.0,360,0,1,76
462,-853.0,1000,0,0,147
463,-651.0,813,0,1,141
464,-569.0,712,0,1,122
465,-857.0,1000,0,0,143
466,-318.0,403,0,1,64
467,-389.0,498,0,1,88
468,-201.0,279,0,1,57
469,-831.0,1000,0,0,169
470,-414.0,499,0,1,64
471,-845.0,1000,0,0,155
472,-155.0,210,0,1,34
473,-856.0,1000,1,0,153
474,-542.0,672,0,1,109
475,-276.0,370,0,1,73
476,-833.0,1000,0,0,167
477,-847.0,1000,0,0,153
478,-537.0,666,0,1,108
479,-464.0,574,0,1,89
480,-827.0,1000,0,0,173
481,-844.0,1000,0,0,156
482,-228.0,306,0,1,57
483,-462.0,573,0,1,90
484,-848.0,1000,0,0,152
485,-423.0,541,0,1,97
486,-372.0,484,0,1,91
487,-472.0,601,0,1,108
488,-500.0,624,0,1,103
489,-542.0,681,0,1,118
490,-857.0,1000,0,0,143
491,-465.0,598,0,1,112
492,-383.0,498,0,1,94
493,-489.0,614,0,1,104
494,-851.0,1000,0,0,149
495,-841.0,1000,0,0,159
496,-293.0,374,0,1,60
497,-779.0,957,0,1,157
498,-137.0,193,0,1,35
499,-399.0,514,0,1,94
500,-386.0,484,0,1,77
501,-361.0,461,0,1,79
502,-362.0,459,0,1,76
503,-849.0,1000,0,0,151
504,-576.0,710,0,1,113
505,-856.0,1000,1,0,153
506,-379.0,495,0,1,95
507,-346.0,442,0,1,75
508,-243.0,330,0,1,66
509,-196.0,259,0,1,42
510,-853.0,1000,0,0,147
511,-402.0,515,0,1,92
512,-53.0,87,0,1,13
513,-597.0,738,0,1,120
514,-701.0,845,0,1,123
515,-238.0,311,0,1,52
516,-519.0,645,0,1,105
517,-335.0,426,0,1,70
518,-858.0,1000,2,0,160
519,-852.0,1000,0,0,148
520,-191.0,261,0,1,49
521,-846.0,1000,0,0,154
522,-814.0,996,0,1,161
